Scenario,Mean_LOF,Std_LOF,Mean_Missense,Std_Missense,Mean_Synonymous,Std_Synonymous
centerE16N4geo50000,0.000755665340677243,7.20401741202108e-07,0.006091934391559392,2.2054884764135295e-06,0.014727931780069117,2.203244748813103e-06
centerE16N4geo100000,0.000755002778377498,6.047604237245124e-07,0.006092973766755038,1.5853688895963572e-06,0.014726242295930975,1.7766810625319903e-06
centerE16N4geo150000,0.0007544049091238773,6.534926279088636e-07,0.006093212862389186,2.0272682164364023e-06,0.014725003309464224,1.8291838184558619e-06
centerE9N9geo50000,0.0007533859869331341,8.784739691549971e-07,0.0060919794548279504,1.8604285090072364e-06,0.014724655255178885,1.621702433815364e-06
centerE9N9geo100000,0.0007524863150267464,3.125476676483878e-07,0.0060922407261172285,1.5731625859223157e-06,0.014727676799312745,1.9257742444608215e-06
centerE9N9geo150000,0.0007525003412493182,9.130892883744406e-07,0.006092370398350998,1.7277839464614263e-06,0.014726687321456239,2.198365903340233e-06
centerE6N4geo50000,0.0007523893439095335,7.200388120701914e-07,0.006100278823976836,1.3097494678205656e-06,0.014715487819700418,1.2673235974274713e-06
centerE6N4geo100000,0.0007540053285433779,6.462038030881702e-07,0.006097556898049845,1.5417418582621188e-06,0.014720516113237034,1.5985304285165676e-06
centerE6N4geo150000,0.0007536128470273723,7.617125904669429e-07,0.006096789055780549,1.5143124694718607e-06,0.014723413673854449,1.529191723647672e-06
uniformgeo,0.0007526396015955673,7.780116729881213e-07,0.0060933760026386004,9.912935195707008e-07,0.014727982685290741,1.5776403670769586e-06
centerX19Y4pca0.0015,0.0007792355381743359,8.075449620894633e-07,0.006095897971313115,1.750027991039785e-06,0.014769570795838998,2.870020292924265e-06
centerX19Y4pca0.0025,0.0007833132005490177,8.702493875913765e-07,0.006093098262942406,1.936314361692353e-06,0.014795225250363853,2.1597884882748726e-06
centerX19Y4pca0.005,0.0007899038334712536,1.0560000384770234e-06,0.006094999976941693,1.8691459658337987e-06,0.014840738499079483,2.4624387119547576e-06
uniformpca,0.0007982373464892032,8.023400269536875e-07,0.0060978372248064695,1.460358595617887e-06,0.014903808207140832,2.5629283524908903e-06
