X1	X2	Clust
3460123	3460123	5SD_IS
5032983	5032983	5SD_IS
5537161	5537161	5SD_IS
3302341	3302341	5SD_IS
3471997	3471997	5SD_IS
2239291	2239291	5SD_IS
4024364	4024364	5SD_IS
2144242	2144242	5SD_IS
4763568	4763568	5SD_IS
1850265	1850265	5SD_IS
3098610	3098610	5SD_IS
2632832	2632832	5SD_IS
4203706	4203706	5SD_IS
3321658	3321658	5SD_IS
4098516	4098516	5SD_IS
4778441	4778441	5SD_IS
1896837	1896837	5SD_IS
4788297	4788297	5SD_IS
2583087	2583087	5SD_IS
1357935	1357935	5SD_IS
5282929	5282929	5SD_IS
3372218	3372218	5SD_IS
4987945	4987945	5SD_IS
2691888	2691888	5SD_IS
1048630	1048630	5SD_IS
2051838	2051838	5SD_IS
2030545	2030545	5SD_IS
4062886	4062886	5SD_IS
2319952	2319952	5SD_IS
3095238	3095238	5SD_IS
1911141	1911141	5SD_IS
2426061	2426061	5SD_IS
4784691	4784691	5SD_IS
4218024	4218024	5SD_IS
1841714	1841714	5SD_IS
1141148	1141148	5SD_IS
5958112	5958112	5SD_IS
1110363	1110363	5SD_IS
4035824	4035824	5SD_IS
3652094	3652094	5SD_IS
5914624	5914624	5SD_IS
4000280	4000280	5SD_IS
4262748	4262748	5SD_IS
3628603	3628603	5SD_IS
3053453	3053453	5SD_IS
3210193	3210193	5SD_IS
4683037	4683037	5SD_IS
1439794	1439794	5SD_IS
4049658	4049658	5SD_IS
1075872	1075872	5SD_IS
4275639	4275639	5SD_IS
4064503	4064503	5SD_IS
5629719	5629719	5SD_IS
5416196	5416196	5SD_IS
4620659	4620659	5SD_IS
2749382	2749382	5SD_IS
2493630	2493630	5SD_IS
1431688	1431688	5SD_IS
5155277	5155277	5SD_IS
1064593	1064593	5SD_IS
2672957	2672957	5SD_IS
5780246	5780246	5SD_IS
2646389	2646389	5SD_IS
1785331	1785331	5SD_IS
4147967	4147967	5SD_IS
1291725	1291725	5SD_IS
4249737	4249737	5SD_IS
5210655	5210655	5SD_IS
5040507	5040507	5SD_IS
5165037	5165037	5SD_IS
5211619	5211619	5SD_IS
5244522	5244522	5SD_IS
5224811	5224811	5SD_IS
5645198	5645198	5SD_IS
6011569	6011569	5SD_IS
2686366	2686366	5SD_IS
2673369	2673369	5SD_IS
1117452	1117452	5SD_IS
3197553	3197553	5SD_IS
1064604	1064604	5SD_IS
4159747	4159747	5SD_IS
3077282	3077282	5SD_IS
3796577	3796577	5SD_IS
4054142	4054142	5SD_IS
4157723	4157723	5SD_IS
1953732	1953732	5SD_IS
2380115	2380115	5SD_IS
5032606	5032606	5SD_IS
4512579	4512579	5SD_IS
3454021	3454021	5SD_IS
4184546	4184546	5SD_IS
3075992	3075992	5SD_IS
1561489	1561489	5SD_IS
5087689	5087689	5SD_IS
2924854	2924854	5SD_IS
3668812	3668812	5SD_IS
4933597	4933597	5SD_IS
1894884	1894884	5SD_IS
4620633	4620633	5SD_IS
1218276	1218276	5SD_IS
3491944	3491944	5SD_IS
2149262	2149262	5SD_IS
5822093	5822093	5SD_IS
4726017	4726017	5SD_IS
1220171	1220171	5SD_IS
4522023	4522023	5SD_IS
5144204	5144204	5SD_IS
4357425	4357425	5SD_IS
5195586	5195586	5SD_IS
4378190	4378190	5SD_IS
4424748	4424748	5SD_IS
5363304	5363304	5SD_IS
4352245	4352245	5SD_IS
3261623	3261623	5SD_IS
3985386	3985386	5SD_IS
2376885	2376885	5SD_IS
1770731	1770731	5SD_IS
4740278	4740278	5SD_IS
1790167	1790167	5SD_IS
4056040	4056040	5SD_IS
5429634	5429634	5SD_IS
1522205	1522205	5SD_IS
4499424	4499424	5SD_IS
2168691	2168691	5SD_IS
3481237	3481237	5SD_IS
5706874	5706874	5SD_IS
1855010	1855010	5SD_IS
3427345	3427345	5SD_IS
2800629	2800629	5SD_IS
2951359	2951359	5SD_IS
1160136	1160136	5SD_IS
3683456	3683456	5SD_IS
1680216	1680216	5SD_IS
3290055	3290055	5SD_IS
4265611	4265611	5SD_IS
5094218	5094218	5SD_IS
4439425	4439425	5SD_IS
2500434	2500434	5SD_IS
2460130	2460130	5SD_IS
3774656	3774656	5SD_IS
2310356	2310356	5SD_IS
1244166	1244166	5SD_IS
3949343	3949343	5SD_IS
2150031	2150031	5SD_IS
3642218	3642218	5SD_IS
4546045	4546045	5SD_IS
5347930	5347930	5SD_IS
3122098	3122098	5SD_IS
4981145	4981145	5SD_IS
5999607	5999607	5SD_IS
2264013	2264013	5SD_IS
1271986	1271986	5SD_IS
2803560	2803560	5SD_IS
1063394	1063394	5SD_IS
1220790	1220790	5SD_IS
5433035	5433035	5SD_IS
3701516	3701516	5SD_IS
4235862	4235862	5SD_IS
2802252	2802252	5SD_IS
4017838	4017838	5SD_IS
4252384	4252384	5SD_IS
4681030	4681030	5SD_IS
5324272	5324272	5SD_IS
1198064	1198064	5SD_IS
5174769	5174769	5SD_IS
5782117	5782117	5SD_IS
1541251	1541251	5SD_IS
5929959	5929959	5SD_IS
5628376	5628376	5SD_IS
3210352	3210352	5SD_IS
2286511	2286511	5SD_IS
3375924	3375924	5SD_IS
4265331	4265331	5SD_IS
1826181	1826181	5SD_IS
3168090	3168090	5SD_IS
5235072	5235072	5SD_IS
5319069	5319069	5SD_IS
3417327	3417327	5SD_IS
4572334	4572334	5SD_IS
2383789	2383789	5SD_IS
2905190	2905190	5SD_IS
1323710	1323710	5SD_IS
4560125	4560125	5SD_IS
5831205	5831205	5SD_IS
3636213	3636213	5SD_IS
1009658	1009658	5SD_IS
2927650	2927650	5SD_IS
5049955	5049955	5SD_IS
5634446	5634446	5SD_IS
3890985	3890985	5SD_IS
2434979	2434979	5SD_IS
4655070	4655070	5SD_IS
3768684	3768684	5SD_IS
4056961	4056961	5SD_IS
6019716	6019716	5SD_IS
1054128	1054128	5SD_IS
5378547	5378547	5SD_IS
1467609	1467609	5SD_IS
3527056	3527056	5SD_IS
3884191	3884191	5SD_IS
3887373	3887373	5SD_IS
4208351	4208351	5SD_IS
1646679	1646679	5SD_IS
3537099	3537099	5SD_IS
2105371	2105371	5SD_IS
3935408	3935408	5SD_IS
3534919	3534919	5SD_IS
4686752	4686752	5SD_IS
2966605	2966605	5SD_IS
2311857	2311857	5SD_IS
5698169	5698169	5SD_IS
4953973	4953973	5SD_IS
2905391	2905391	5SD_IS
1871531	1871531	5SD_IS
1918865	1918865	5SD_IS
1713196	1713196	5SD_IS
4232733	4232733	5SD_IS
1851507	1851507	5SD_IS
4994617	4994617	5SD_IS
