X1	X2	Clust
3470641	3470641	7SDWB_IS
5024109	5024109	7SDWB_IS
5563382	5563382	7SDWB_IS
3317753	3317753	7SDWB_IS
3505763	3505763	7SDWB_IS
2243721	2243721	7SDWB_IS
4053420	4053420	7SDWB_IS
2130074	2130074	7SDWB_IS
4763568	4763568	7SDWB_IS
1881412	1881412	7SDWB_IS
3066866	3066866	7SDWB_IS
2649876	2649876	7SDWB_IS
4214330	4214330	7SDWB_IS
3316385	3316385	7SDWB_IS
4079907	4079907	7SDWB_IS
4766788	4766788	7SDWB_IS
1893836	1893836	7SDWB_IS
4761060	4761060	7SDWB_IS
2551925	2551925	7SDWB_IS
1340604	1340604	7SDWB_IS
5277831	5277831	7SDWB_IS
3345275	3345275	7SDWB_IS
5024879	5024879	7SDWB_IS
2661571	2661571	7SDWB_IS
1020938	1020938	7SDWB_IS
2061644	2061644	7SDWB_IS
2008944	2008944	7SDWB_IS
4073720	4073720	7SDWB_IS
2353731	2353731	7SDWB_IS
3127076	3127076	7SDWB_IS
1911090	1911090	7SDWB_IS
2401876	2401876	7SDWB_IS
4824679	4824679	7SDWB_IS
4224295	4224295	7SDWB_IS
1833060	1833060	7SDWB_IS
1160172	1160172	7SDWB_IS
5976475	5976475	7SDWB_IS
1127226	1127226	7SDWB_IS
4042273	4042273	7SDWB_IS
3670620	3670620	7SDWB_IS
5929224	5929224	7SDWB_IS
4033043	4033043	7SDWB_IS
4276850	4276850	7SDWB_IS
3618695	3618695	7SDWB_IS
3064193	3064193	7SDWB_IS
3216504	3216504	7SDWB_IS
4684822	4684822	7SDWB_IS
1419752	1419752	7SDWB_IS
4051596	4051596	7SDWB_IS
1102453	1102453	7SDWB_IS
4284372	4284372	7SDWB_IS
4092793	4092793	7SDWB_IS
5625148	5625148	7SDWB_IS
5407253	5407253	7SDWB_IS
4621741	4621741	7SDWB_IS
2736655	2736655	7SDWB_IS
2507546	2507546	7SDWB_IS
1432654	1432654	7SDWB_IS
5188645	5188645	7SDWB_IS
1069769	1069769	7SDWB_IS
2656167	2656167	7SDWB_IS
5757354	5757354	7SDWB_IS
2660373	2660373	7SDWB_IS
1777928	1777928	7SDWB_IS
4144000	4144000	7SDWB_IS
1320357	1320357	7SDWB_IS
4228513	4228513	7SDWB_IS
5203044	5203044	7SDWB_IS
5019286	5019286	7SDWB_IS
5153883	5153883	7SDWB_IS
5205317	5205317	7SDWB_IS
5272260	5272260	7SDWB_IS
5217009	5217009	7SDWB_IS
5661030	5661030	7SDWB_IS
6010507	6010507	7SDWB_IS
2680279	2680279	7SDWB_IS
2664128	2664128	7SDWB_IS
1094947	1094947	7SDWB_IS
3206179	3206179	7SDWB_IS
1044749	1044749	7SDWB_IS
4159747	4159747	7SDWB_IS
3108147	3108147	7SDWB_IS
3781764	3781764	7SDWB_IS
4059520	4059520	7SDWB_IS
4161041	4161041	7SDWB_IS
1947607	1947607	7SDWB_IS
2402544	2402544	7SDWB_IS
5029173	5029173	7SDWB_IS
4525452	4525452	7SDWB_IS
3454021	3454021	7SDWB_IS
4184546	4184546	7SDWB_IS
3093866	3093866	7SDWB_IS
1547525	1547525	7SDWB_IS
5073663	5073663	7SDWB_IS
2926357	2926357	7SDWB_IS
3668563	3668563	7SDWB_IS
4942271	4942271	7SDWB_IS
1891516	1891516	7SDWB_IS
4598777	4598777	7SDWB_IS
1218151	1218151	7SDWB_IS
3497218	3497218	7SDWB_IS
2147909	2147909	7SDWB_IS
5812014	5812014	7SDWB_IS
4726017	4726017	7SDWB_IS
1224065	1224065	7SDWB_IS
4527559	4527559	7SDWB_IS
5153912	5153912	7SDWB_IS
4366168	4366168	7SDWB_IS
5215509	5215509	7SDWB_IS
4389494	4389494	7SDWB_IS
4454829	4454829	7SDWB_IS
5350495	5350495	7SDWB_IS
4365459	4365459	7SDWB_IS
3267197	3267197	7SDWB_IS
3959129	3959129	7SDWB_IS
2397365	2397365	7SDWB_IS
1744922	1744922	7SDWB_IS
4746963	4746963	7SDWB_IS
1772594	1772594	7SDWB_IS
4060825	4060825	7SDWB_IS
5417898	5417898	7SDWB_IS
1532491	1532491	7SDWB_IS
4504350	4504350	7SDWB_IS
2172352	2172352	7SDWB_IS
3512642	3512642	7SDWB_IS
5735589	5735589	7SDWB_IS
1848994	1848994	7SDWB_IS
3428810	3428810	7SDWB_IS
2804541	2804541	7SDWB_IS
2951359	2951359	7SDWB_IS
1181964	1181964	7SDWB_IS
3714608	3714608	7SDWB_IS
1669179	1669179	7SDWB_IS
3301014	3301014	7SDWB_IS
4279351	4279351	7SDWB_IS
5102969	5102969	7SDWB_IS
4457880	4457880	7SDWB_IS
2511958	2511958	7SDWB_IS
2465378	2465378	7SDWB_IS
3809490	3809490	7SDWB_IS
2298436	2298436	7SDWB_IS
1268164	1268164	7SDWB_IS
3977558	3977558	7SDWB_IS
2136474	2136474	7SDWB_IS
3614326	3614326	7SDWB_IS
4552920	4552920	7SDWB_IS
5338844	5338844	7SDWB_IS
3114707	3114707	7SDWB_IS
4977015	4977015	7SDWB_IS
5994641	5994641	7SDWB_IS
2247630	2247630	7SDWB_IS
1254988	1254988	7SDWB_IS
2794889	2794889	7SDWB_IS
1089782	1089782	7SDWB_IS
1212787	1212787	7SDWB_IS
