X1	X2	Clust
3467097	3467097	UNIFWB_IS
4998089	4998089	UNIFWB_IS
5563382	5563382	UNIFWB_IS
3317820	3317820	UNIFWB_IS
3496260	3496260	UNIFWB_IS
2231366	2231366	UNIFWB_IS
4044029	4044029	UNIFWB_IS
2114304	2114304	UNIFWB_IS
4760308	4760308	UNIFWB_IS
1865131	1865131	UNIFWB_IS
3041996	3041996	UNIFWB_IS
2652253	2652253	UNIFWB_IS
4214330	4214330	UNIFWB_IS
3309753	3309753	UNIFWB_IS
4101020	4101020	UNIFWB_IS
4772083	4772083	UNIFWB_IS
1901736	1901736	UNIFWB_IS
4732515	4732515	UNIFWB_IS
2530415	2530415	UNIFWB_IS
1322587	1322587	UNIFWB_IS
5274090	5274090	UNIFWB_IS
3318744	3318744	UNIFWB_IS
5017786	5017786	UNIFWB_IS
2633795	2633795	UNIFWB_IS
1015409	1015409	UNIFWB_IS
2050203	2050203	UNIFWB_IS
1991145	1991145	UNIFWB_IS
4062328	4062328	UNIFWB_IS
2354988	2354988	UNIFWB_IS
3121573	3121573	UNIFWB_IS
1886500	1886500	UNIFWB_IS
2383521	2383521	UNIFWB_IS
4823093	4823093	UNIFWB_IS
4222590	4222590	UNIFWB_IS
1847851	1847851	UNIFWB_IS
1156341	1156341	UNIFWB_IS
5965304	5965304	UNIFWB_IS
1126311	1126311	UNIFWB_IS
4035824	4035824	UNIFWB_IS
3646909	3646909	UNIFWB_IS
5919785	5919785	UNIFWB_IS
4032443	4032443	UNIFWB_IS
4253922	4253922	UNIFWB_IS
3627705	3627705	UNIFWB_IS
3042002	3042002	UNIFWB_IS
3198903	3198903	UNIFWB_IS
4662934	4662934	UNIFWB_IS
1416014	1416014	UNIFWB_IS
4026610	4026610	UNIFWB_IS
1085114	1085114	UNIFWB_IS
4284372	4284372	UNIFWB_IS
4083126	4083126	UNIFWB_IS
5620713	5620713	UNIFWB_IS
5410868	5410868	UNIFWB_IS
4602615	4602615	UNIFWB_IS
2722582	2722582	UNIFWB_IS
2490936	2490936	UNIFWB_IS
1404517	1404517	UNIFWB_IS
5188108	5188108	UNIFWB_IS
1040984	1040984	UNIFWB_IS
2638939	2638939	UNIFWB_IS
5759575	5759575	UNIFWB_IS
2646259	2646259	UNIFWB_IS
1774276	1774276	UNIFWB_IS
4129979	4129979	UNIFWB_IS
1311739	1311739	UNIFWB_IS
