X1	X2	Clust
3456865	3456865	UNIF_IS
4992949	4992949	UNIF_IS
5552581	5552581	UNIF_IS
3302596	3302596	UNIF_IS
3469022	3469022	UNIF_IS
2222476	2222476	UNIF_IS
4030295	4030295	UNIF_IS
2124037	2124037	UNIF_IS
4758847	4758847	UNIF_IS
1831610	1831610	UNIF_IS
3049357	3049357	UNIF_IS
2638370	2638370	UNIF_IS
4203706	4203706	UNIF_IS
3304450	3304450	UNIF_IS
4120634	4120634	UNIF_IS
4789002	4789002	UNIF_IS
1916864	1916864	UNIF_IS
4738947	4738947	UNIF_IS
2539781	2539781	UNIF_IS
1332618	1332618	UNIF_IS
5275045	5275045	UNIF_IS
3334176	3334176	UNIF_IS
4994735	4994735	UNIF_IS
2644877	2644877	UNIF_IS
1045757	1045757	UNIF_IS
2032725	2032725	UNIF_IS
2008944	2008944	UNIF_IS
4056961	4056961	UNIF_IS
2322489	2322489	UNIF_IS
3095238	3095238	UNIF_IS
1877385	1877385	UNIF_IS
2392277	2392277	UNIF_IS
4785869	4785869	UNIF_IS
4218364	4218364	UNIF_IS
1855010	1855010	UNIF_IS
1141148	1141148	UNIF_IS
5958198	5958198	UNIF_IS
1109827	1109827	UNIF_IS
4026970	4026970	UNIF_IS
3625943	3625943	UNIF_IS
5902957	5902957	UNIF_IS
4001121	4001121	UNIF_IS
4244893	4244893	UNIF_IS
3638108	3638108	UNIF_IS
3030095	3030095	UNIF_IS
3178829	3178829	UNIF_IS
4649412	4649412	UNIF_IS
1439794	1439794	UNIF_IS
4009368	4009368	UNIF_IS
1063308	1063308	UNIF_IS
4276651	4276651	UNIF_IS
4064503	4064503	UNIF_IS
5625148	5625148	UNIF_IS
5424895	5424895	UNIF_IS
4591951	4591951	UNIF_IS
2730990	2730990	UNIF_IS
2485565	2485565	UNIF_IS
1392528	1392528	UNIF_IS
5166059	5166059	UNIF_IS
1024017	1024017	UNIF_IS
2656167	2656167	UNIF_IS
5794401	5794401	UNIF_IS
2633332	2633332	UNIF_IS
1781528	1781528	UNIF_IS
4123648	4123648	UNIF_IS
1284924	1284924	UNIF_IS
4214825	4214825	UNIF_IS
5226710	5226710	UNIF_IS
5008819	5008819	UNIF_IS
5184683	5184683	UNIF_IS
5193794	5193794	UNIF_IS
5249222	5249222	UNIF_IS
5211619	5211619	UNIF_IS
5650871	5650871	UNIF_IS
5973595	5973595	UNIF_IS
2714239	2714239	UNIF_IS
2646300	2646300	UNIF_IS
1112415	1112415	UNIF_IS
3174714	3174714	UNIF_IS
1061141	1061141	UNIF_IS
4134917	4134917	UNIF_IS
3077313	3077313	UNIF_IS
3814421	3814421	UNIF_IS
4039313	4039313	UNIF_IS
4157723	4157723	UNIF_IS
1911090	1911090	UNIF_IS
2384111	2384111	UNIF_IS
5064941	5064941	UNIF_IS
4516412	4516412	UNIF_IS
3438693	3438693	UNIF_IS
4156034	4156034	UNIF_IS
3059347	3059347	UNIF_IS
1554402	1554402	UNIF_IS
5049948	5049948	UNIF_IS
2900669	2900669	UNIF_IS
3654334	3654334	UNIF_IS
4934496	4934496	UNIF_IS
1905018	1905018	UNIF_IS
4585015	4585015	UNIF_IS
1219945	1219945	UNIF_IS
3462960	3462960	UNIF_IS
2113132	2113132	UNIF_IS
5778649	5778649	UNIF_IS
4717228	4717228	UNIF_IS
1191617	1191617	UNIF_IS
4525452	4525452	UNIF_IS
5142268	5142268	UNIF_IS
4361229	4361229	UNIF_IS
5179715	5179715	UNIF_IS
4371238	4371238	UNIF_IS
4424748	4424748	UNIF_IS
5346696	5346696	UNIF_IS
4325023	4325023	UNIF_IS
3249100	3249100	UNIF_IS
3932115	3932115	UNIF_IS
2369463	2369463	UNIF_IS
1743783	1743783	UNIF_IS
