X1	X2	Clust
5615648	5615648	closest_10kWB
1863239	1863239	closest_10kWB
5326366	5326366	closest_10kWB
1459523	1459523	closest_10kWB
1367176	1367176	closest_10kWB
3243233	3243233	closest_10kWB
3247325	3247325	closest_10kWB
5832781	5832781	closest_10kWB
1449246	1449246	closest_10kWB
5317506	5317506	closest_10kWB
3394257	3394257	closest_10kWB
1208867	1208867	closest_10kWB
2566315	2566315	closest_10kWB
3820210	3820210	closest_10kWB
4598356	4598356	closest_10kWB
4597402	4597402	closest_10kWB
5225429	5225429	closest_10kWB
5628161	5628161	closest_10kWB
3469713	3469713	closest_10kWB
4085278	4085278	closest_10kWB
3269944	3269944	closest_10kWB
1243231	1243231	closest_10kWB
5298464	5298464	closest_10kWB
1433882	1433882	closest_10kWB
5292984	5292984	closest_10kWB
1433070	1433070	closest_10kWB
1459596	1459596	closest_10kWB
5288947	5288947	closest_10kWB
1461055	1461055	closest_10kWB
5819855	5819855	closest_10kWB
5679502	5679502	closest_10kWB
1163639	1163639	closest_10kWB
3809545	3809545	closest_10kWB
5773970	5773970	closest_10kWB
2757846	2757846	closest_10kWB
2757724	2757724	closest_10kWB
4831261	4831261	closest_10kWB
1487098	1487098	closest_10kWB
1483401	1483401	closest_10kWB
5298783	5298783	closest_10kWB
4120787	4120787	closest_10kWB
5218730	5218730	closest_10kWB
5341026	5341026	closest_10kWB
3465894	3465894	closest_10kWB
3225958	3225958	closest_10kWB
5806264	5806264	closest_10kWB
5806544	5806544	closest_10kWB
2599819	2599819	closest_10kWB
1365069	1365069	closest_10kWB
3322895	3322895	closest_10kWB
3227950	3227950	closest_10kWB
2545711	2545711	closest_10kWB
3237783	3237783	closest_10kWB
3053000	3053000	closest_10kWB
1461939	1461939	closest_10kWB
1461416	1461416	closest_10kWB
1245242	1245242	closest_10kWB
1422164	1422164	closest_10kWB
2580953	2580953	closest_10kWB
4587758	4587758	closest_10kWB
3729117	3729117	closest_10kWB
1851704	1851704	closest_10kWB
4053941	4053941	closest_10kWB
5918626	5918626	closest_10kWB
5922837	5922837	closest_10kWB
2610468	2610468	closest_10kWB
1286888	1286888	closest_10kWB
4049106	4049106	closest_10kWB
5929638	5929638	closest_10kWB
5231796	5231796	closest_10kWB
4379350	4379350	closest_10kWB
4048491	4048491	closest_10kWB
1371756	1371756	closest_10kWB
3331437	3331437	closest_10kWB
4036951	4036951	closest_10kWB
1363355	1363355	closest_10kWB
1307815	1307815	closest_10kWB
3336103	3336103	closest_10kWB
1310673	1310673	closest_10kWB
4029053	4029053	closest_10kWB
1357816	1357816	closest_10kWB
3348551	3348551	closest_10kWB
3353456	3353456	closest_10kWB
5219105	5219105	closest_10kWB
1275434	1275434	closest_10kWB
4062239	4062239	closest_10kWB
4062424	4062424	closest_10kWB
5911257	5911257	closest_10kWB
1238467	1238467	closest_10kWB
5872185	5872185	closest_10kWB
3274375	3274375	closest_10kWB
2586657	2586657	closest_10kWB
5878844	5878844	closest_10kWB
5880237	5880237	closest_10kWB
3280953	3280953	closest_10kWB
4075337	4075337	closest_10kWB
2587462	2587462	closest_10kWB
5227298	5227298	closest_10kWB
3959137	3959137	closest_10kWB
3745273	3745273	closest_10kWB
4137968	4137968	closest_10kWB
5890820	5890820	closest_10kWB
5891843	5891843	closest_10kWB
5892971	5892971	closest_10kWB
1701760	1701760	closest_10kWB
2595109	2595109	closest_10kWB
4069291	4069291	closest_10kWB
2750052	2750052	closest_10kWB
5894263	5894263	closest_10kWB
5897264	5897264	closest_10kWB
5823511	5823511	closest_10kWB
5902931	5902931	closest_10kWB
1392393	1392393	closest_10kWB
2599359	2599359	closest_10kWB
2551158	2551158	closest_10kWB
4140853	4140853	closest_10kWB
4606804	4606804	closest_10kWB
4144646	4144646	closest_10kWB
1060908	1060908	closest_10kWB
3889645	3889645	closest_10kWB
1066334	1066334	closest_10kWB
4027399	4027399	closest_10kWB
4233032	4233032	closest_10kWB
1069645	1069645	closest_10kWB
5444973	5444973	closest_10kWB
3131710	3131710	closest_10kWB
4617834	4617834	closest_10kWB
5442774	5442774	closest_10kWB
2441127	2441127	closest_10kWB
5442308	5442308	closest_10kWB
5695101	5695101	closest_10kWB
3134956	3134956	closest_10kWB
5441870	5441870	closest_10kWB
3135040	3135040	closest_10kWB
3135503	3135503	closest_10kWB
3136231	3136231	closest_10kWB
2522528	2522528	closest_10kWB
5679527	5679527	closest_10kWB
2522637	2522637	closest_10kWB
2288849	2288849	closest_10kWB
3137468	3137468	closest_10kWB
5433674	5433674	closest_10kWB
4221075	4221075	closest_10kWB
1722725	1722725	closest_10kWB
5662127	5662127	closest_10kWB
2426213	2426213	closest_10kWB
3115081	3115081	closest_10kWB
2383080	2383080	closest_10kWB
5489000	5489000	closest_10kWB
1022351	1022351	closest_10kWB
3952243	3952243	closest_10kWB
3145763	3145763	closest_10kWB
3374006	3374006	closest_10kWB
2393495	2393495	closest_10kWB
5482618	5482618	closest_10kWB
1731136	1731136	closest_10kWB
5637236	5637236	closest_10kWB
5638839	5638839	closest_10kWB
4259361	4259361	closest_10kWB
5430044	5430044	closest_10kWB
3924405	3924405	closest_10kWB
2775061	2775061	closest_10kWB
2414493	2414493	closest_10kWB
1044501	1044501	closest_10kWB
4254405	4254405	closest_10kWB
1046381	1046381	closest_10kWB
4254184	4254184	closest_10kWB
2431251	2431251	closest_10kWB
1047210	1047210	closest_10kWB
4024209	4024209	closest_10kWB
1049116	1049116	closest_10kWB
1628748	1628748	closest_10kWB
3916432	3916432	closest_10kWB
4256617	4256617	closest_10kWB
2561604	2561604	closest_10kWB
1086203	1086203	closest_10kWB
3813740	3813740	closest_10kWB
5391193	5391193	closest_10kWB
1219882	1219882	closest_10kWB
1135111	1135111	closest_10kWB
4044064	4044064	closest_10kWB
4182358	4182358	closest_10kWB
5744761	5744761	closest_10kWB
5745797	5745797	closest_10kWB
1532399	1532399	closest_10kWB
2486074	2486074	closest_10kWB
5376811	5376811	closest_10kWB
2317334	2317334	closest_10kWB
4363100	4363100	closest_10kWB
3807720	3807720	closest_10kWB
5217512	5217512	closest_10kWB
5372553	5372553	closest_10kWB
2505291	2505291	closest_10kWB
1520333	1520333	closest_10kWB
5757944	5757944	closest_10kWB
3838355	3838355	closest_10kWB
3192757	3192757	closest_10kWB
5767259	5767259	closest_10kWB
2508149	2508149	closest_10kWB
4152628	4152628	closest_10kWB
1511960	1511960	closest_10kWB
4151259	4151259	closest_10kWB
5687624	5687624	closest_10kWB
4193177	4193177	closest_10kWB
5212620	5212620	closest_10kWB
3855464	3855464	closest_10kWB
1089777	1089777	closest_10kWB
5691984	5691984	closest_10kWB
1593819	1593819	closest_10kWB
5687123	5687123	closest_10kWB
3381261	3381261	closest_10kWB
5692552	5692552	closest_10kWB
4845828	4845828	closest_10kWB
5694841	5694841	closest_10kWB
2524554	2524554	closest_10kWB
5416941	5416941	closest_10kWB
3143086	3143086	closest_10kWB
1102592	1102592	closest_10kWB
5685823	5685823	closest_10kWB
5412995	5412995	closest_10kWB
4209631	4209631	closest_10kWB
1575422	1575422	closest_10kWB
4036258	4036258	closest_10kWB
2460571	2460571	closest_10kWB
5689025	5689025	closest_10kWB
5719317	5719317	closest_10kWB
2461927	2461927	closest_10kWB
2463933	2463933	closest_10kWB
3859455	3859455	closest_10kWB
3858165	3858165	closest_10kWB
2315988	2315988	closest_10kWB
3857743	3857743	closest_10kWB
4211616	4211616	closest_10kWB
3826015	3826015	closest_10kWB
3689597	3689597	closest_10kWB
3409732	3409732	closest_10kWB
1416476	1416476	closest_10kWB
1101925	1101925	closest_10kWB
1200615	1200615	closest_10kWB
1105834	1105834	closest_10kWB
1108929	1108929	closest_10kWB
3843273	3843273	closest_10kWB
2814726	2814726	closest_10kWB
1500012	1500012	closest_10kWB
1195193	1195193	closest_10kWB
