X1	X2	Clust
2048065	2048065	closest_10k
3568931	3568931	closest_10k
3568803	3568803	closest_10k
4350407	4350407	closest_10k
1431313	1431313	closest_10k
1430326	1430326	closest_10k
5441870	5441870	closest_10k
5442308	5442308	closest_10k
4351294	4351294	closest_10k
1653663	1653663	closest_10k
5442774	5442774	closest_10k
5119878	5119878	closest_10k
2414122	2414122	closest_10k
5444973	5444973	closest_10k
5589124	5589124	closest_10k
2545711	2545711	closest_10k
4831261	4831261	closest_10k
1442358	1442358	closest_10k
5603148	5603148	closest_10k
4382193	4382193	closest_10k
1663063	1663063	closest_10k
2879351	2879351	closest_10k
2427446	2427446	closest_10k
2617185	2617185	closest_10k
5589715	5589715	closest_10k
2349397	2349397	closest_10k
1421720	1421720	closest_10k
4357057	4357057	closest_10k
3562973	3562973	closest_10k
2723499	2723499	closest_10k
2817264	2817264	closest_10k
1917515	1917515	closest_10k
2815441	2815441	closest_10k
4367698	4367698	closest_10k
1438687	1438687	closest_10k
5433674	5433674	closest_10k
2368255	2368255	closest_10k
5617050	5617050	closest_10k
3639319	3639319	closest_10k
2363401	2363401	closest_10k
1463034	1463034	closest_10k
5181561	5181561	closest_10k
4888980	4888980	closest_10k
1460529	1460529	closest_10k
5412995	5412995	closest_10k
1432957	1432957	closest_10k
3578743	3578743	closest_10k
4845828	4845828	closest_10k
5615290	5615290	closest_10k
1458189	1458189	closest_10k
1638549	1638549	closest_10k
3577939	3577939	closest_10k
5614642	5614642	closest_10k
2357156	2357156	closest_10k
4365874	4365874	closest_10k
5430044	5430044	closest_10k
3571634	3571634	closest_10k
3655536	3655536	closest_10k
4361467	4361467	closest_10k
4895400	4895400	closest_10k
1447518	1447518	closest_10k
3575483	3575483	closest_10k
2566315	2566315	closest_10k
5612449	5612449	closest_10k
4355966	4355966	closest_10k
4269154	4269154	closest_10k
5416941	5416941	closest_10k
3575101	3575101	closest_10k
2407112	2407112	closest_10k
2342173	2342173	closest_10k
1787522	1787522	closest_10k
4548102	4548102	closest_10k
4426450	4426450	closest_10k
2863753	2863753	closest_10k
4374361	4374361	closest_10k
1353125	1353125	closest_10k
2790792	2790792	closest_10k
1352638	1352638	closest_10k
2788395	2788395	closest_10k
1797623	1797623	closest_10k
4332354	4332354	closest_10k
1392393	1392393	closest_10k
3683474	3683474	closest_10k
2486074	2486074	closest_10k
1350497	1350497	closest_10k
2786443	2786443	closest_10k
1701760	1701760	closest_10k
3531112	3531112	closest_10k
3687779	3687779	closest_10k
4342800	4342800	closest_10k
2636388	2636388	closest_10k
1941080	1941080	closest_10k
3693552	3693552	closest_10k
1343425	1343425	closest_10k
4425451	4425451	closest_10k
2915073	2915073	closest_10k
3529477	3529477	closest_10k
3692248	3692248	closest_10k
3530449	3530449	closest_10k
4441516	4441516	closest_10k
5666494	5666494	closest_10k
2385805	2385805	closest_10k
2306984	2306984	closest_10k
1052692	1052692	closest_10k
5505452	5505452	closest_10k
3537687	3537687	closest_10k
3593222	3593222	closest_10k
4409340	4409340	closest_10k
2399450	2399450	closest_10k
5489000	5489000	closest_10k
1377194	1377194	closest_10k
5938438	5938438	closest_10k
4553077	4553077	closest_10k
1377881	1377881	closest_10k
5600334	5600334	closest_10k
5482618	5482618	closest_10k
1388474	1388474	closest_10k
1450701	1450701	closest_10k
3552080	3552080	closest_10k
1389769	1389769	closest_10k
1927100	1927100	closest_10k
2580953	2580953	closest_10k
4368083	4368083	closest_10k
2397289	2397289	closest_10k
4800216	4800216	closest_10k
4312669	4312669	closest_10k
4800961	4800961	closest_10k
4919129	4919129	closest_10k
1934131	1934131	closest_10k
2869064	2869064	closest_10k
4914510	4914510	closest_10k
4370949	4370949	closest_10k
5930908	5930908	closest_10k
4415051	4415051	closest_10k
4369888	4369888	closest_10k
4414361	4414361	closest_10k
2508149	2508149	closest_10k
5159607	5159607	closest_10k
2505291	2505291	closest_10k
4001200	4001200	closest_10k
3637233	3637233	closest_10k
1635854	1635854	closest_10k
2414714	2414714	closest_10k
4587758	4587758	closest_10k
4859621	4859621	closest_10k
1552835	1552835	closest_10k
2414400	2414400	closest_10k
5983570	5983570	closest_10k
2418221	2418221	closest_10k
2588804	2588804	closest_10k
4218661	4218661	closest_10k
4351925	4351925	closest_10k
1380468	1380468	closest_10k
2408223	2408223	closest_10k
6022955	6022955	closest_10k
4862793	4862793	closest_10k
5326366	5326366	closest_10k
2625477	2625477	closest_10k
3637138	3637138	closest_10k
1539674	1539674	closest_10k
3611939	3611939	closest_10k
1540403	1540403	closest_10k
4300187	4300187	closest_10k
3608481	3608481	closest_10k
6023331	6023331	closest_10k
5317506	5317506	closest_10k
4939919	4939919	closest_10k
1600846	1600846	closest_10k
1544872	1544872	closest_10k
2591323	2591323	closest_10k
4886411	4886411	closest_10k
4296378	4296378	closest_10k
5106668	5106668	closest_10k
2407780	2407780	closest_10k
4767845	4767845	closest_10k
3633581	3633581	closest_10k
4944448	4944448	closest_10k
1385039	1385039	closest_10k
1578230	1578230	closest_10k
4304540	4304540	closest_10k
3629935	3629935	closest_10k
1385375	1385375	closest_10k
5292984	5292984	closest_10k
3603763	3603763	closest_10k
4259361	4259361	closest_10k
5288947	5288947	closest_10k
4205781	4205781	closest_10k
3588410	3588410	closest_10k
1028893	1028893	closest_10k
5101314	5101314	closest_10k
4847390	4847390	closest_10k
1029138	1029138	closest_10k
2857630	2857630	closest_10k
6011456	6011456	closest_10k
3825311	3825311	closest_10k
3597063	3597063	closest_10k
2416513	2416513	closest_10k
5186810	5186810	closest_10k
1582206	1582206	closest_10k
4857435	4857435	closest_10k
2864982	2864982	closest_10k
4905233	4905233	closest_10k
3625495	3625495	closest_10k
4274731	4274731	closest_10k
2455015	2455015	closest_10k
6014520	6014520	closest_10k
5526114	5526114	closest_10k
2651120	2651120	closest_10k
2941022	2941022	closest_10k
2419159	2419159	closest_10k
5530766	5530766	closest_10k
2592668	2592668	closest_10k
3635076	3635076	closest_10k
1490124	1490124	closest_10k
2268915	2268915	closest_10k
4861712	4861712	closest_10k
4579318	4579318	closest_10k
2842617	2842617	closest_10k
2595109	2595109	closest_10k
1625433	1625433	closest_10k
2599182	2599182	closest_10k
3626609	3626609	closest_10k
1485150	1485150	closest_10k
2930041	2930041	closest_10k
1627344	1627344	closest_10k
2839634	2839634	closest_10k
4243352	4243352	closest_10k
4329883	4329883	closest_10k
4244439	4244439	closest_10k
1427696	1427696	closest_10k
1635166	1635166	closest_10k
3635162	3635162	closest_10k
3648753	3648753	closest_10k
2586657	2586657	closest_10k
2375802	2375802	closest_10k
3630538	3630538	closest_10k
5376811	5376811	closest_10k
1047396	1047396	closest_10k
2376288	2376288	closest_10k
5177101	5177101	closest_10k
2834558	2834558	closest_10k
1479409	1479409	closest_10k
2381165	2381165	closest_10k
4335561	4335561	closest_10k
2587462	2587462	closest_10k
4321314	4321314	closest_10k
2903402	2903402	closest_10k
1619069	1619069	closest_10k
4232493	4232493	closest_10k
5975677	5975677	closest_10k
1040431	1040431	closest_10k
2610468	2610468	closest_10k
2402990	2402990	closest_10k
4322197	4322197	closest_10k
5180181	5180181	closest_10k
2139252	2139252	closest_10k
2933193	2933193	closest_10k
1416476	1416476	closest_10k
2910973	2910973	closest_10k
5341026	5341026	closest_10k
2853413	2853413	closest_10k
1528122	1528122	closest_10k
1524702	1524702	closest_10k
2615271	2615271	closest_10k
5630056	5630056	closest_10k
