X1	X2	Clust
3376455	3376455	8SD_IS
5067383	5067383	8SD_IS
5560834	5560834	8SD_IS
3223660	3223660	8SD_IS
3356290	3356290	8SD_IS
2272372	2272372	8SD_IS
3918270	3918270	8SD_IS
2150354	2150354	8SD_IS
4724530	4724530	8SD_IS
1753609	1753609	8SD_IS
3201361	3201361	8SD_IS
2575399	2575399	8SD_IS
4150782	4150782	8SD_IS
3360335	3360335	8SD_IS
3964922	3964922	8SD_IS
4633621	4633621	8SD_IS
1845405	1845405	8SD_IS
4897676	4897676	8SD_IS
2634099	2634099	8SD_IS
1372250	1372250	8SD_IS
5252249	5252249	8SD_IS
3514235	3514235	8SD_IS
4897479	4897479	8SD_IS
2741398	2741398	8SD_IS
5945222	5945222	8SD_IS
2040923	2040923	8SD_IS
1939215	1939215	8SD_IS
4044509	4044509	8SD_IS
2292677	2292677	8SD_IS
2995810	2995810	8SD_IS
1839305	1839305	8SD_IS
2468631	2468631	8SD_IS
4676365	4676365	8SD_IS
4167922	4167922	8SD_IS
1784337	1784337	8SD_IS
1143535	1143535	8SD_IS
5945246	5945246	8SD_IS
1115869	1115869	8SD_IS
4011340	4011340	8SD_IS
3714040	3714040	8SD_IS
5805952	5805952	8SD_IS
3895712	3895712	8SD_IS
4352520	4352520	8SD_IS
3512713	3512713	8SD_IS
3107065	3107065	8SD_IS
3261895	3261895	8SD_IS
4654510	4654510	8SD_IS
1356512	1356512	8SD_IS
3963709	3963709	8SD_IS
5980255	5980255	8SD_IS
4236898	4236898	8SD_IS
3957314	3957314	8SD_IS
5605011	5605011	8SD_IS
5268934	5268934	8SD_IS
4592534	4592534	8SD_IS
2678717	2678717	8SD_IS
2564568	2564568	8SD_IS
1366584	1366584	8SD_IS
5093333	5093333	8SD_IS
6013715	6013715	8SD_IS
2581168	2581168	8SD_IS
5616149	5616149	8SD_IS
2691145	2691145	8SD_IS
1727753	1727753	8SD_IS
4097231	4097231	8SD_IS
1161138	1161138	8SD_IS
4418163	4418163	8SD_IS
5054876	5054876	8SD_IS
5117140	5117140	8SD_IS
5014505	5014505	8SD_IS
5175908	5175908	8SD_IS
5189639	5189639	8SD_IS
5187567	5187567	8SD_IS
5646636	5646636	8SD_IS
1015569	1015569	8SD_IS
2634406	2634406	8SD_IS
2603078	2603078	8SD_IS
1005743	1005743	8SD_IS
3151532	3151532	8SD_IS
5965269	5965269	8SD_IS
4066311	4066311	8SD_IS
2980311	2980311	8SD_IS
3675457	3675457	8SD_IS
4143679	4143679	8SD_IS
4092447	4092447	8SD_IS
1872428	1872428	8SD_IS
2348246	2348246	8SD_IS
4924420	4924420	8SD_IS
4471932	4471932	8SD_IS
3491820	3491820	8SD_IS
4090620	4090620	8SD_IS
3130848	3130848	8SD_IS
1473472	1473472	8SD_IS
5116208	5116208	8SD_IS
2873408	2873408	8SD_IS
3561160	3561160	8SD_IS
4897819	4897819	8SD_IS
1841461	1841461	8SD_IS
4745240	4745240	8SD_IS
1192065	1192065	8SD_IS
3550578	3550578	8SD_IS
2070231	2070231	8SD_IS
5879664	5879664	8SD_IS
4671574	4671574	8SD_IS
1173609	1173609	8SD_IS
4480662	4480662	8SD_IS
5126811	5126811	8SD_IS
4319125	4319125	8SD_IS
5168727	5168727	8SD_IS
4338535	4338535	8SD_IS
4306131	4306131	8SD_IS
5471825	5471825	8SD_IS
4426137	4426137	8SD_IS
3206034	3206034	8SD_IS
4116625	4116625	8SD_IS
2261355	2261355	8SD_IS
1770870	1770870	8SD_IS
4691526	4691526	8SD_IS
1792800	1792800	8SD_IS
4145359	4145359	8SD_IS
5477506	5477506	8SD_IS
1461504	1461504	8SD_IS
4455474	4455474	8SD_IS
2195363	2195363	8SD_IS
3364687	3364687	8SD_IS
5711536	5711536	8SD_IS
1801021	1801021	8SD_IS
3376671	3376671	8SD_IS
2846130	2846130	8SD_IS
2897933	2897933	8SD_IS
1156192	1156192	8SD_IS
3563378	3563378	8SD_IS
1619114	1619114	8SD_IS
3244254	3244254	8SD_IS
4228039	4228039	8SD_IS
5076519	5076519	8SD_IS
4403055	4403055	8SD_IS
2568601	2568601	8SD_IS
2527192	2527192	8SD_IS
3669209	3669209	8SD_IS
2318742	2318742	8SD_IS
1111967	1111967	8SD_IS
3851426	3851426	8SD_IS
2154349	2154349	8SD_IS
3800132	3800132	8SD_IS
4607678	4607678	8SD_IS
5190841	5190841	8SD_IS
3142089	3142089	8SD_IS
5028542	5028542	8SD_IS
5982363	5982363	8SD_IS
2192501	2192501	8SD_IS
1301847	1301847	8SD_IS
2726977	2726977	8SD_IS
1057680	1057680	8SD_IS
1154607	1154607	8SD_IS
5540009	5540009	8SD_IS
3849005	3849005	8SD_IS
4196637	4196637	8SD_IS
2688226	2688226	8SD_IS
3886578	3886578	8SD_IS
4345000	4345000	8SD_IS
4566255	4566255	8SD_IS
5351728	5351728	8SD_IS
1242321	1242321	8SD_IS
5142917	5142917	8SD_IS
5858253	5858253	8SD_IS
1483148	1483148	8SD_IS
5824586	5824586	8SD_IS
5667958	5667958	8SD_IS
3097753	3097753	8SD_IS
2258486	2258486	8SD_IS
3269621	3269621	8SD_IS
4235936	4235936	8SD_IS
1773356	1773356	8SD_IS
3283921	3283921	8SD_IS
5200600	5200600	8SD_IS
5210539	5210539	8SD_IS
3448469	3448469	8SD_IS
4628035	4628035	8SD_IS
2324593	2324593	8SD_IS
2813043	2813043	8SD_IS
1300522	1300522	8SD_IS
4525830	4525830	8SD_IS
5754333	5754333	8SD_IS
3668221	3668221	8SD_IS
6019831	6019831	8SD_IS
2846149	2846149	8SD_IS
5036849	5036849	8SD_IS
5673449	5673449	8SD_IS
3821104	3821104	8SD_IS
2330321	2330321	8SD_IS
4632537	4632537	8SD_IS
3678318	3678318	8SD_IS
4033109	4033109	8SD_IS
1026260	1026260	8SD_IS
1035054	1035054	8SD_IS
5335431	5335431	8SD_IS
1413495	1413495	8SD_IS
3424977	3424977	8SD_IS
3793180	3793180	8SD_IS
3814318	3814318	8SD_IS
4298877	4298877	8SD_IS
1520680	1520680	8SD_IS
3419314	3419314	8SD_IS
2028531	2028531	8SD_IS
3804904	3804904	8SD_IS
3614857	3614857	8SD_IS
4571514	4571514	8SD_IS
2885849	2885849	8SD_IS
2323343	2323343	8SD_IS
5677634	5677634	8SD_IS
4922568	4922568	8SD_IS
2960105	2960105	8SD_IS
1789952	1789952	8SD_IS
1863692	1863692	8SD_IS
1816754	1816754	8SD_IS
4152359	4152359	8SD_IS
1754469	1754469	8SD_IS
4970387	4970387	8SD_IS
4834837	4834837	8SD_IS
1602978	1602978	8SD_IS
1467304	1467304	8SD_IS
2225313	2225313	8SD_IS
3467553	3467553	8SD_IS
3658827	3658827	8SD_IS
4339921	4339921	8SD_IS
3942721	3942721	8SD_IS
4862700	4862700	8SD_IS
4142941	4142941	8SD_IS
5702462	5702462	8SD_IS
1396808	1396808	8SD_IS
4773615	4773615	8SD_IS
2139470	2139470	8SD_IS
2069824	2069824	8SD_IS
4537638	4537638	8SD_IS
3395575	3395575	8SD_IS
1385478	1385478	8SD_IS
4985388	4985388	8SD_IS
2396517	2396517	8SD_IS
4909553	4909553	8SD_IS
1151023	1151023	8SD_IS
5915000	5915000	8SD_IS
2107630	2107630	8SD_IS
1483981	1483981	8SD_IS
5136613	5136613	8SD_IS
2243047	2243047	8SD_IS
4048665	4048665	8SD_IS
3565224	3565224	8SD_IS
2001697	2001697	8SD_IS
5962485	5962485	8SD_IS
5644449	5644449	8SD_IS
3890394	3890394	8SD_IS
2107029	2107029	8SD_IS
1406016	1406016	8SD_IS
2576483	2576483	8SD_IS
4478269	4478269	8SD_IS
3512745	3512745	8SD_IS
4819695	4819695	8SD_IS
4661826	4661826	8SD_IS
2984781	2984781	8SD_IS
5869585	5869585	8SD_IS
5193721	5193721	8SD_IS
1683534	1683534	8SD_IS
3501898	3501898	8SD_IS
3232180	3232180	8SD_IS
2932211	2932211	8SD_IS
2559922	2559922	8SD_IS
4893596	4893596	8SD_IS
3668671	3668671	8SD_IS
5861302	5861302	8SD_IS
5212614	5212614	8SD_IS
1608190	1608190	8SD_IS
4901988	4901988	8SD_IS
4649437	4649437	8SD_IS
5503529	5503529	8SD_IS
4211538	4211538	8SD_IS
3923907	3923907	8SD_IS
3515979	3515979	8SD_IS
1659289	1659289	8SD_IS
1526268	1526268	8SD_IS
3023671	3023671	8SD_IS
5576807	5576807	8SD_IS
1152207	1152207	8SD_IS
1548683	1548683	8SD_IS
5288920	5288920	8SD_IS
2139412	2139412	8SD_IS
5368148	5368148	8SD_IS
5571204	5571204	8SD_IS
1304026	1304026	8SD_IS
2024185	2024185	8SD_IS
1153935	1153935	8SD_IS
1678130	1678130	8SD_IS
4464901	4464901	8SD_IS
3824041	3824041	8SD_IS
1865196	1865196	8SD_IS
5215086	5215086	8SD_IS
5087484	5087484	8SD_IS
1095076	1095076	8SD_IS
5051580	5051580	8SD_IS
4625244	4625244	8SD_IS
2679237	2679237	8SD_IS
2460252	2460252	8SD_IS
4692719	4692719	8SD_IS
4386445	4386445	8SD_IS
2690938	2690938	8SD_IS
5525025	5525025	8SD_IS
1501589	1501589	8SD_IS
3229874	3229874	8SD_IS
5490080	5490080	8SD_IS
1470999	1470999	8SD_IS
2319976	2319976	8SD_IS
2090851	2090851	8SD_IS
4320756	4320756	8SD_IS
4738450	4738450	8SD_IS
3319413	3319413	8SD_IS
1031138	1031138	8SD_IS
3228020	3228020	8SD_IS
3723160	3723160	8SD_IS
1037221	1037221	8SD_IS
5549848	5549848	8SD_IS
2083830	2083830	8SD_IS
1461707	1461707	8SD_IS
3311870	3311870	8SD_IS
3377732	3377732	8SD_IS
1737885	1737885	8SD_IS
4675891	4675891	8SD_IS
3773581	3773581	8SD_IS
4271613	4271613	8SD_IS
2634648	2634648	8SD_IS
1609855	1609855	8SD_IS
3479148	3479148	8SD_IS
3078032	3078032	8SD_IS
3372181	3372181	8SD_IS
4325128	4325128	8SD_IS
2655870	2655870	8SD_IS
2602513	2602513	8SD_IS
1624019	1624019	8SD_IS
1370577	1370577	8SD_IS
4940592	4940592	8SD_IS
2193494	2193494	8SD_IS
1248118	1248118	8SD_IS
4118104	4118104	8SD_IS
4831097	4831097	8SD_IS
2866013	2866013	8SD_IS
3539553	3539553	8SD_IS
4213292	4213292	8SD_IS
2166379	2166379	8SD_IS
3593001	3593001	8SD_IS
4537609	4537609	8SD_IS
4575720	4575720	8SD_IS
2260273	2260273	8SD_IS
2471702	2471702	8SD_IS
3629794	3629794	8SD_IS
1812905	1812905	8SD_IS
2868690	2868690	8SD_IS
3697264	3697264	8SD_IS
2395231	2395231	8SD_IS
1354793	1354793	8SD_IS
2106297	2106297	8SD_IS
4465935	4465935	8SD_IS
3714865	3714865	8SD_IS
2585839	2585839	8SD_IS
3180652	3180652	8SD_IS
4709437	4709437	8SD_IS
1803643	1803643	8SD_IS
4780737	4780737	8SD_IS
5431314	5431314	8SD_IS
2364130	2364130	8SD_IS
2588768	2588768	8SD_IS
4045253	4045253	8SD_IS
4431270	4431270	8SD_IS
4467742	4467742	8SD_IS
1746352	1746352	8SD_IS
1885673	1885673	8SD_IS
5839460	5839460	8SD_IS
2648334	2648334	8SD_IS
3398277	3398277	8SD_IS
4565402	4565402	8SD_IS
4759505	4759505	8SD_IS
5081083	5081083	8SD_IS
5939863	5939863	8SD_IS
4720509	4720509	8SD_IS
4306825	4306825	8SD_IS
4461842	4461842	8SD_IS
4407787	4407787	8SD_IS
2760225	2760225	8SD_IS
4188499	4188499	8SD_IS
2602259	2602259	8SD_IS
1599632	1599632	8SD_IS
2339648	2339648	8SD_IS
3615762	3615762	8SD_IS
3371357	3371357	8SD_IS
1589809	1589809	8SD_IS
5580727	5580727	8SD_IS
2384358	2384358	8SD_IS
4558600	4558600	8SD_IS
5633717	5633717	8SD_IS
5688569	5688569	8SD_IS
1679759	1679759	8SD_IS
3644750	3644750	8SD_IS
2453429	2453429	8SD_IS
3491650	3491650	8SD_IS
5165747	5165747	8SD_IS
4069408	4069408	8SD_IS
1355044	1355044	8SD_IS
4590533	4590533	8SD_IS
4424667	4424667	8SD_IS
5549201	5549201	8SD_IS
1013516	1013516	8SD_IS
2374759	2374759	8SD_IS
1649063	1649063	8SD_IS
3564658	3564658	8SD_IS
3838616	3838616	8SD_IS
1306790	1306790	8SD_IS
5090090	5090090	8SD_IS
1362738	1362738	8SD_IS
1443713	1443713	8SD_IS
1496636	1496636	8SD_IS
5824200	5824200	8SD_IS
1174898	1174898	8SD_IS
5097891	5097891	8SD_IS
5677902	5677902	8SD_IS
2759153	2759153	8SD_IS
