X1	X2	Clust
3379042	3379042	UNIF_IS
5068719	5068719	UNIF_IS
5563168	5563168	UNIF_IS
3226458	3226458	UNIF_IS
3357796	3357796	UNIF_IS
2274623	2274623	UNIF_IS
3919508	3919508	UNIF_IS
2151218	2151218	UNIF_IS
4726017	4726017	UNIF_IS
1754193	1754193	UNIF_IS
3203741	3203741	UNIF_IS
2578461	2578461	UNIF_IS
4153712	4153712	UNIF_IS
3361673	3361673	UNIF_IS
3965670	3965670	UNIF_IS
4634562	4634562	UNIF_IS
1845559	1845559	UNIF_IS
4900585	4900585	UNIF_IS
2636060	2636060	UNIF_IS
1373114	1373114	UNIF_IS
5253680	5253680	UNIF_IS
3516505	3516505	UNIF_IS
4898605	4898605	UNIF_IS
2744160	2744160	UNIF_IS
5945118	5945118	UNIF_IS
2043466	2043466	UNIF_IS
1939215	1939215	UNIF_IS
4045103	4045103	UNIF_IS
2295020	2295020	UNIF_IS
2996485	2996485	UNIF_IS
1839341	1839341	UNIF_IS
2470623	2470623	UNIF_IS
4676890	4676890	UNIF_IS
4170626	4170626	UNIF_IS
1784735	1784735	UNIF_IS
1145842	1145842	UNIF_IS
5947972	5947972	UNIF_IS
1119812	1119812	UNIF_IS
4011697	4011697	UNIF_IS
3715538	3715538	UNIF_IS
5806212	5806212	UNIF_IS
3896967	3896967	UNIF_IS
4354667	4354667	UNIF_IS
3512875	3512875	UNIF_IS
3108451	3108451	UNIF_IS
3263487	3263487	UNIF_IS
4654737	4654737	UNIF_IS
1356289	1356289	UNIF_IS
3963918	3963918	UNIF_IS
5981123	5981123	UNIF_IS
4240310	4240310	UNIF_IS
3958160	3958160	UNIF_IS
5605485	5605485	UNIF_IS
5268324	5268324	UNIF_IS
4593078	4593078	UNIF_IS
2678207	2678207	UNIF_IS
2566607	2566607	UNIF_IS
1367085	1367085	UNIF_IS
5094204	5094204	UNIF_IS
6014709	6014709	UNIF_IS
2580883	2580883	UNIF_IS
5616116	5616116	UNIF_IS
2692281	2692281	UNIF_IS
1727871	1727871	UNIF_IS
4097556	4097556	UNIF_IS
1162537	1162537	UNIF_IS
4421221	4421221	UNIF_IS
5054876	5054876	UNIF_IS
5119995	5119995	UNIF_IS
5014462	5014462	UNIF_IS
5177113	5177113	UNIF_IS
5190073	5190073	UNIF_IS
5188462	5188462	UNIF_IS
5649747	5649747	UNIF_IS
1017171	1017171	UNIF_IS
2634447	2634447	UNIF_IS
2602969	2602969	UNIF_IS
1005526	1005526	UNIF_IS
3151895	3151895	UNIF_IS
5965269	5965269	UNIF_IS
4066383	4066383	UNIF_IS
2980963	2980963	UNIF_IS
3675634	3675634	UNIF_IS
4144923	4144923	UNIF_IS
4095930	4095930	UNIF_IS
1872604	1872604	UNIF_IS
2350525	2350525	UNIF_IS
4924447	4924447	UNIF_IS
4475652	4475652	UNIF_IS
3493401	3493401	UNIF_IS
4090731	4090731	UNIF_IS
3132454	3132454	UNIF_IS
1473380	1473380	UNIF_IS
5117373	5117373	UNIF_IS
2873362	2873362	UNIF_IS
3560794	3560794	UNIF_IS
4901224	4901224	UNIF_IS
1841720	1841720	UNIF_IS
4748454	4748454	UNIF_IS
1192532	1192532	UNIF_IS
3552577	3552577	UNIF_IS
2070310	2070310	UNIF_IS
5881317	5881317	UNIF_IS
4673039	4673039	UNIF_IS
1173875	1173875	UNIF_IS
4484072	4484072	UNIF_IS
5129154	5129154	UNIF_IS
4322358	4322358	UNIF_IS
5168955	5168955	UNIF_IS
4339518	4339518	UNIF_IS
4306433	4306433	UNIF_IS
5473755	5473755	UNIF_IS
4427497	4427497	UNIF_IS
3206052	3206052	UNIF_IS
4119604	4119604	UNIF_IS
2262752	2262752	UNIF_IS
1772550	1772550	UNIF_IS
4693740	4693740	UNIF_IS
1793612	1793612	UNIF_IS
4147146	4147146	UNIF_IS
5479211	5479211	UNIF_IS
1462981	1462981	UNIF_IS
4456511	4456511	UNIF_IS
2198558	2198558	UNIF_IS
3365592	3365592	UNIF_IS
5714486	5714486	UNIF_IS
1801422	1801422	UNIF_IS
3377235	3377235	UNIF_IS
2847641	2847641	UNIF_IS
2897933	2897933	UNIF_IS
1159528	1159528	UNIF_IS
3565081	3565081	UNIF_IS
1619072	1619072	UNIF_IS
