X1	X2	Clust
5928446	5928446	closest_10k
1508791	1508791	closest_10k
1972962	1972962	closest_10k
3445264	3445264	closest_10k
4057129	4057129	closest_10k
2479759	2479759	closest_10k
4311273	4311273	closest_10k
2863975	2863975	closest_10k
1373939	1373939	closest_10k
3031460	3031460	closest_10k
3075530	3075530	closest_10k
4460105	4460105	closest_10k
5374003	5374003	closest_10k
2602862	2602862	closest_10k
5977211	5977211	closest_10k
5388468	5388468	closest_10k
3219160	3219160	closest_10k
1049996	1049996	closest_10k
2142927	2142927	closest_10k
2939023	2939023	closest_10k
5719265	5719265	closest_10k
2505035	2505035	closest_10k
1646397	1646397	closest_10k
1902220	1902220	closest_10k
1866366	1866366	closest_10k
4920871	4920871	closest_10k
1777747	1777747	closest_10k
3143070	3143070	closest_10k
1659787	1659787	closest_10k
1542550	1542550	closest_10k
2771489	2771489	closest_10k
5019325	5019325	closest_10k
1957844	1957844	closest_10k
4356609	4356609	closest_10k
5420353	5420353	closest_10k
2424959	2424959	closest_10k
3445830	3445830	closest_10k
5430276	5430276	closest_10k
5127841	5127841	closest_10k
5130268	5130268	closest_10k
5493120	5493120	closest_10k
3374065	3374065	closest_10k
3533940	3533940	closest_10k
1755926	1755926	closest_10k
5541719	5541719	closest_10k
3696667	3696667	closest_10k
5750534	5750534	closest_10k
4684667	4684667	closest_10k
1137636	1137636	closest_10k
5353904	5353904	closest_10k
4056753	4056753	closest_10k
4671098	4671098	closest_10k
3815459	3815459	closest_10k
1234853	1234853	closest_10k
3153243	3153243	closest_10k
1407131	1407131	closest_10k
3708694	3708694	closest_10k
5198248	5198248	closest_10k
4355430	4355430	closest_10k
2153528	2153528	closest_10k
1164024	1164024	closest_10k
1127927	1127927	closest_10k
3364838	3364838	closest_10k
5554101	5554101	closest_10k
5628718	5628718	closest_10k
4232489	4232489	closest_10k
3141266	3141266	closest_10k
4367422	4367422	closest_10k
4957441	4957441	closest_10k
3817552	3817552	closest_10k
3981193	3981193	closest_10k
2724869	2724869	closest_10k
5240619	5240619	closest_10k
1406352	1406352	closest_10k
5389068	5389068	closest_10k
4132250	4132250	closest_10k
3460761	3460761	closest_10k
5002165	5002165	closest_10k
1900506	1900506	closest_10k
1097160	1097160	closest_10k
1090706	1090706	closest_10k
1524344	1524344	closest_10k
5503232	5503232	closest_10k
4781815	4781815	closest_10k
3271939	3271939	closest_10k
3835864	3835864	closest_10k
2024897	2024897	closest_10k
1283316	1283316	closest_10k
1410953	1410953	closest_10k
3719713	3719713	closest_10k
3332671	3332671	closest_10k
1771615	1771615	closest_10k
4620084	4620084	closest_10k
4105508	4105508	closest_10k
5691038	5691038	closest_10k
3184043	3184043	closest_10k
4606910	4606910	closest_10k
3309152	3309152	closest_10k
4459986	4459986	closest_10k
3204451	3204451	closest_10k
4159348	4159348	closest_10k
2860708	2860708	closest_10k
4568459	4568459	closest_10k
1900709	1900709	closest_10k
5638788	5638788	closest_10k
3237470	3237470	closest_10k
1364121	1364121	closest_10k
4130655	4130655	closest_10k
5222502	5222502	closest_10k
3676813	3676813	closest_10k
3365738	3365738	closest_10k
4077608	4077608	closest_10k
2417797	2417797	closest_10k
1753893	1753893	closest_10k
3867176	3867176	closest_10k
5998493	5998493	closest_10k
4042865	4042865	closest_10k
1377056	1377056	closest_10k
5135299	5135299	closest_10k
1464389	1464389	closest_10k
2597970	2597970	closest_10k
1162772	1162772	closest_10k
2427389	2427389	closest_10k
3325334	3325334	closest_10k
3560873	3560873	closest_10k
5976310	5976310	closest_10k
5946299	5946299	closest_10k
5306216	5306216	closest_10k
1982055	1982055	closest_10k
3847546	3847546	closest_10k
4690262	4690262	closest_10k
2886109	2886109	closest_10k
