X1	X2	Clust
1790335	1790335	grid
3701920	3701920	grid
1467443	1467443	grid
5698500	5698500	grid
3877822	3877822	grid
1412633	1412633	grid
1802261	1802261	grid
3304318	3304318	grid
3078565	3078565	grid
3380985	3380985	grid
5893292	5893292	grid
5892611	5892611	grid
5783977	5783977	grid
1195925	1195925	grid
3329127	3329127	grid
4597386	4597386	grid
5436792	5436792	grid
4225602	4225602	grid
3225712	3225712	grid
5072240	5072240	grid
1263715	1263715	grid
2195152	2195152	grid
3244219	3244219	grid
1186109	1186109	grid
5008293	5008293	grid
4069482	4069482	grid
4591890	4591890	grid
4117319	4117319	grid
4676457	4676457	grid
3769441	3769441	grid
5829270	5829270	grid
1462922	1462922	grid
5881490	5881490	grid
1655160	1655160	grid
1085801	1085801	grid
1916704	1916704	grid
3766096	3766096	grid
1981631	1981631	grid
1548477	1548477	grid
4505846	4505846	grid
3370386	3370386	grid
3484875	3484875	grid
3225737	3225737	grid
4539061	4539061	grid
1239624	1239624	grid
5659522	5659522	grid
4654456	4654456	grid
4352635	4352635	grid
5987412	5987412	grid
2144211	2144211	grid
4710826	4710826	grid
3848267	3848267	grid
3317319	3317319	grid
1169355	1169355	grid
3564504	3564504	grid
5585600	5585600	grid
5116095	5116095	grid
4803233	4803233	grid
5614920	5614920	grid
4451232	4451232	grid
1008590	1008590	grid
3478594	3478594	grid
4936248	4936248	grid
3544595	3544595	grid
5629386	5629386	grid
2974520	2974520	grid
1632459	1632459	grid
2770390	2770390	grid
5177319	5177319	grid
2707394	2707394	grid
5844990	5844990	grid
5570079	5570079	grid
2325910	2325910	grid
3267332	3267332	grid
2464942	2464942	grid
3123195	3123195	grid
3369507	3369507	grid
2967803	2967803	grid
5377507	5377507	grid
1768294	1768294	grid
3069196	3069196	grid
5993789	5993789	grid
2226249	2226249	grid
4901502	4901502	grid
3893019	3893019	grid
1838002	1838002	grid
4433399	4433399	grid
3263208	3263208	grid
1113446	1113446	grid
1996626	1996626	grid
1346118	1346118	grid
2990319	2990319	grid
4360649	4360649	grid
2100997	2100997	grid
3936700	3936700	grid
4061565	4061565	grid
5162051	5162051	grid
1568402	1568402	grid
2099240	2099240	grid
2460803	2460803	grid
2130564	2130564	grid
4040728	4040728	grid
2237512	2237512	grid
1813715	1813715	grid
1299248	1299248	grid
1652223	1652223	grid
2323453	2323453	grid
3472441	3472441	grid
3440331	3440331	grid
3022159	3022159	grid
2190315	2190315	grid
1994742	1994742	grid
2472025	2472025	grid
3070868	3070868	grid
4730016	4730016	grid
1962718	1962718	grid
3613433	3613433	grid
2126156	2126156	grid
2290959	2290959	grid
5745321	5745321	grid
3859692	3859692	grid
4920833	4920833	grid
4606773	4606773	grid
2458694	2458694	grid
4491493	4491493	grid
4710477	4710477	grid
2710962	2710962	grid
3178027	3178027	grid
4149446	4149446	grid
4263483	4263483	grid
4204418	4204418	grid
1128702	1128702	grid
4065119	4065119	grid
3718358	3718358	grid
5459390	5459390	grid
2958286	2958286	grid
4539742	4539742	grid
3745961	3745961	grid
1191908	1191908	grid
1144734	1144734	grid
2054980	2054980	grid
3402125	3402125	grid
5689529	5689529	grid
3855343	3855343	grid
2523965	2523965	grid
3076582	3076582	grid
2831502	2831502	grid
2619634	2619634	grid
3283341	3283341	grid
1160696	1160696	grid
4836475	4836475	grid
4557356	4557356	grid
5536140	5536140	grid
2421604	2421604	grid
3956981	3956981	grid
2400930	2400930	grid
4721014	4721014	grid
1709728	1709728	grid
2338517	2338517	grid
5009335	5009335	grid
5403233	5403233	grid
1986116	1986116	grid
3737040	3737040	grid
1213871	1213871	grid
2913162	2913162	grid
5376543	5376543	grid
5458601	5458601	grid
3979909	3979909	grid
1372546	1372546	grid
2956218	2956218	grid
3416282	3416282	grid
1261548	1261548	grid
5835492	5835492	grid
5654539	5654539	grid
3293709	3293709	grid
3135023	3135023	grid
3698658	3698658	grid
3497262	3497262	grid
4299245	4299245	grid
2986897	2986897	grid
5200192	5200192	grid
1089743	1089743	grid
3409459	3409459	grid
3010992	3010992	grid
2517493	2517493	grid
5247468	5247468	grid
1251623	1251623	grid
4545054	4545054	grid
1199957	1199957	grid
2924984	2924984	grid
4395936	4395936	grid
4160040	4160040	grid
5202839	5202839	grid
1265056	1265056	grid
4288659	4288659	grid
1261944	1261944	grid
3213286	3213286	grid
4155713	4155713	grid
3438353	3438353	grid
5768025	5768025	grid
2719953	2719953	grid
1013826	1013826	grid
5089368	5089368	grid
4030993	4030993	grid
5959936	5959936	grid
5671168	5671168	grid
5537472	5537472	grid
5037056	5037056	grid
4144127	4144127	grid
1990870	1990870	grid
5632237	5632237	grid
4251524	4251524	grid
1490212	1490212	grid
1630487	1630487	grid
2422337	2422337	grid
1923167	1923167	grid
1395729	1395729	grid
4421448	4421448	grid
6004579	6004579	grid
6004523	6004523	grid
1055928	1055928	grid
2808465	2808465	grid
4690720	4690720	grid
2999175	2999175	grid
4422957	4422957	grid
5021211	5021211	grid
4547723	4547723	grid
3013529	3013529	grid
3343919	3343919	grid
2889188	2889188	grid
4666448	4666448	grid
3763162	3763162	grid
3145790	3145790	grid
2429770	2429770	grid
6023477	6023477	grid
4425010	4425010	grid
4821443	4821443	grid
4418560	4418560	grid
4058372	4058372	grid
5008177	5008177	grid
1250181	1250181	grid
3253934	3253934	grid
3930873	3930873	grid
3503747	3503747	grid
4631332	4631332	grid
5196451	5196451	grid
3372967	3372967	grid
4491064	4491064	grid
2276590	2276590	grid
4230600	4230600	grid
4441019	4441019	grid
5424685	5424685	grid
4559208	4559208	grid
4995683	4995683	grid
2441412	2441412	grid
5201340	5201340	grid
5797414	5797414	grid
5533666	5533666	grid
1485791	1485791	grid
3415138	3415138	grid
4339312	4339312	grid
2816479	2816479	grid
5695249	5695249	grid
5668953	5668953	grid
3050632	3050632	grid
2785055	2785055	grid
3938738	3938738	grid
3033575	3033575	grid
3723670	3723670	grid
4515034	4515034	grid
4110160	4110160	grid
1098083	1098083	grid
5915904	5915904	grid
3134126	3134126	grid
1680587	1680587	grid
5007435	5007435	grid
1235993	1235993	grid
1965461	1965461	grid
3790237	3790237	grid
1296467	1296467	grid
5965362	5965362	grid
2551491	2551491	grid
4228077	4228077	grid
5361710	5361710	grid
1215906	1215906	grid
4980942	4980942	grid
2854725	2854725	grid
1471851	1471851	grid
2004092	2004092	grid
4352173	4352173	grid
4329825	4329825	grid
2044665	2044665	grid
2100345	2100345	grid
4587610	4587610	grid
1661261	1661261	grid
3039490	3039490	grid
2900179	2900179	grid
1584659	1584659	grid
5734649	5734649	grid
3717984	3717984	grid
1563528	1563528	grid
1466202	1466202	grid
1344845	1344845	grid
5030395	5030395	grid
5977398	5977398	grid
3351300	3351300	grid
1762216	1762216	grid
2233746	2233746	grid
2838677	2838677	grid
4514137	4514137	grid
5859290	5859290	grid
2183441	2183441	grid
4174895	4174895	grid
4793945	4793945	grid
5804705	5804705	grid
3737346	3737346	grid
