X1	X2	Clust
2147606	2147606	newcastle
1459473	1459473	newcastle
4185989	4185989	newcastle
5559081	5559081	newcastle
3886942	3886942	newcastle
1905798	1905798	newcastle
2682010	2682010	newcastle
2857651	2857651	newcastle
4037124	4037124	newcastle
2735362	2735362	newcastle
4150794	4150794	newcastle
2745671	2745671	newcastle
1424897	1424897	newcastle
3907280	3907280	newcastle
5919956	5919956	newcastle
4682738	4682738	newcastle
5491149	5491149	newcastle
2123949	2123949	newcastle
5864815	5864815	newcastle
4046857	4046857	newcastle
5848018	5848018	newcastle
4980911	4980911	newcastle
2175733	2175733	newcastle
1001594	1001594	newcastle
3030301	3030301	newcastle
5739402	5739402	newcastle
1058490	1058490	newcastle
3288008	3288008	newcastle
3651846	3651846	newcastle
5912947	5912947	newcastle
2157715	2157715	newcastle
5239212	5239212	newcastle
5611014	5611014	newcastle
4273112	4273112	newcastle
1110753	1110753	newcastle
5071734	5071734	newcastle
5725390	5725390	newcastle
1750437	1750437	newcastle
1096506	1096506	newcastle
5905114	5905114	newcastle
4153460	4153460	newcastle
4246619	4246619	newcastle
5202240	5202240	newcastle
3911097	3911097	newcastle
4736845	4736845	newcastle
5374778	5374778	newcastle
5411407	5411407	newcastle
3180512	3180512	newcastle
4866939	4866939	newcastle
4392627	4392627	newcastle
5078621	5078621	newcastle
3999524	3999524	newcastle
2800501	2800501	newcastle
1969906	1969906	newcastle
2513623	2513623	newcastle
4982929	4982929	newcastle
5271782	5271782	newcastle
5737646	5737646	newcastle
3755593	3755593	newcastle
3644205	3644205	newcastle
2192552	2192552	newcastle
3432728	3432728	newcastle
3317031	3317031	newcastle
4393797	4393797	newcastle
4487095	4487095	newcastle
2643479	2643479	newcastle
4971309	4971309	newcastle
3752820	3752820	newcastle
4027469	4027469	newcastle
2064637	2064637	newcastle
2885191	2885191	newcastle
3277035	3277035	newcastle
3190603	3190603	newcastle
3125326	3125326	newcastle
1088825	1088825	newcastle
1448229	1448229	newcastle
5638747	5638747	newcastle
5957574	5957574	newcastle
1157279	1157279	newcastle
5957839	5957839	newcastle
3335257	3335257	newcastle
4285020	4285020	newcastle
5872515	5872515	newcastle
1748085	1748085	newcastle
2614191	2614191	newcastle
3184924	3184924	newcastle
2729629	2729629	newcastle
3624025	3624025	newcastle
4728512	4728512	newcastle
3911807	3911807	newcastle
1696988	1696988	newcastle
1522020	1522020	newcastle
3762981	3762981	newcastle
2668580	2668580	newcastle
3694594	3694594	newcastle
2793448	2793448	newcastle
2087945	2087945	newcastle
2773605	2773605	newcastle
4548116	4548116	newcastle
5544183	5544183	newcastle
1910585	1910585	newcastle
1169706	1169706	newcastle
1350694	1350694	newcastle
3641272	3641272	newcastle
5463020	5463020	newcastle
4224643	4224643	newcastle
5801000	5801000	newcastle
1614651	1614651	newcastle
3808933	3808933	newcastle
4477901	4477901	newcastle
4179320	4179320	newcastle
1392220	1392220	newcastle
5680977	5680977	newcastle
5358737	5358737	newcastle
4755552	4755552	newcastle
3544129	3544129	newcastle
5232797	5232797	newcastle
4536113	4536113	newcastle
1296873	1296873	newcastle
1771180	1771180	newcastle
1910495	1910495	newcastle
4054605	4054605	newcastle
3004288	3004288	newcastle
2053951	2053951	newcastle
4031303	4031303	newcastle
2653052	2653052	newcastle
5510663	5510663	newcastle
3186621	3186621	newcastle
3563975	3563975	newcastle
3672368	3672368	newcastle
5010773	5010773	newcastle
2878946	2878946	newcastle
1481587	1481587	newcastle
4470829	4470829	newcastle
1831521	1831521	newcastle
3100004	3100004	newcastle
1074104	1074104	newcastle
4173102	4173102	newcastle
4096994	4096994	newcastle
4698462	4698462	newcastle
5818163	5818163	newcastle
3010318	3010318	newcastle
3749937	3749937	newcastle
5935358	5935358	newcastle
1673381	1673381	newcastle
3846577	3846577	newcastle
5187389	5187389	newcastle
5624348	5624348	newcastle
2458062	2458062	newcastle
4194714	4194714	newcastle
2752554	2752554	newcastle
1033335	1033335	newcastle
1547952	1547952	newcastle
1484565	1484565	newcastle
5017572	5017572	newcastle
5998387	5998387	newcastle
4875088	4875088	newcastle
3852421	3852421	newcastle
1421279	1421279	newcastle
2372062	2372062	newcastle
4268130	4268130	newcastle
4570953	4570953	newcastle
4391611	4391611	newcastle
2532926	2532926	newcastle
3442820	3442820	newcastle
5056758	5056758	newcastle
5465217	5465217	newcastle
4017550	4017550	newcastle
2294107	2294107	newcastle
2017541	2017541	newcastle
1488318	1488318	newcastle
4290890	4290890	newcastle
3298798	3298798	newcastle
2363990	2363990	newcastle
1790503	1790503	newcastle
3351896	3351896	newcastle
5042316	5042316	newcastle
4411689	4411689	newcastle
2845998	2845998	newcastle
4851298	4851298	newcastle
5173928	5173928	newcastle
1984817	1984817	newcastle
1302067	1302067	newcastle
2853065	2853065	newcastle
2079989	2079989	newcastle
3804663	3804663	newcastle
2708864	2708864	newcastle
2898005	2898005	newcastle
3068685	3068685	newcastle
2878526	2878526	newcastle
5616116	5616116	newcastle
4632306	4632306	newcastle
1068958	1068958	newcastle
5944019	5944019	newcastle
2472418	2472418	newcastle
2816973	2816973	newcastle
2998188	2998188	newcastle
1053297	1053297	newcastle
5699254	5699254	newcastle
2940675	2940675	newcastle
5410006	5410006	newcastle
1886124	1886124	newcastle
