X1	X2	Clust
4486185	4486185	uniform
1272411	1272411	uniform
4173252	4173252	uniform
1033079	1033079	uniform
4787623	4787623	uniform
5682815	5682815	uniform
1549818	1549818	uniform
1991989	1991989	uniform
4213008	4213008	uniform
1684414	1684414	uniform
4634644	4634644	uniform
1665608	1665608	uniform
5153414	5153414	uniform
1819435	1819435	uniform
4602510	4602510	uniform
5560159	5560159	uniform
3068237	3068237	uniform
1534682	1534682	uniform
5799846	5799846	uniform
3708409	3708409	uniform
2711485	2711485	uniform
3494032	3494032	uniform
2813969	2813969	uniform
3145540	3145540	uniform
3897427	3897427	uniform
4496431	4496431	uniform
2595247	2595247	uniform
3784102	3784102	uniform
1453115	1453115	uniform
2357138	2357138	uniform
1761013	1761013	uniform
4429413	4429413	uniform
1855531	1855531	uniform
2103990	2103990	uniform
2320908	2320908	uniform
2610977	2610977	uniform
5796563	5796563	uniform
5390220	5390220	uniform
4108973	4108973	uniform
3831722	3831722	uniform
4566728	4566728	uniform
5160373	5160373	uniform
5325222	5325222	uniform
4393228	4393228	uniform
5952761	5952761	uniform
2282454	2282454	uniform
5178157	5178157	uniform
2351136	2351136	uniform
1280293	1280293	uniform
1788000	1788000	uniform
1779605	1779605	uniform
2667652	2667652	uniform
3366787	3366787	uniform
4794423	4794423	uniform
1827719	1827719	uniform
3033169	3033169	uniform
1845663	1845663	uniform
2972856	2972856	uniform
3655411	3655411	uniform
2888829	2888829	uniform
5526977	5526977	uniform
1297038	1297038	uniform
1914397	1914397	uniform
4232037	4232037	uniform
1651248	1651248	uniform
3225989	3225989	uniform
1398191	1398191	uniform
4407512	4407512	uniform
2173722	2173722	uniform
2527722	2527722	uniform
1574237	1574237	uniform
2857355	2857355	uniform
5757820	5757820	uniform
3290329	3290329	uniform
5080044	5080044	uniform
3284888	3284888	uniform
3953523	3953523	uniform
2692929	2692929	uniform
5642121	5642121	uniform
5930329	5930329	uniform
4219659	4219659	uniform
5132396	5132396	uniform
1468733	1468733	uniform
3522974	3522974	uniform
2643881	2643881	uniform
5255532	5255532	uniform
3054990	3054990	uniform
2650529	2650529	uniform
2540004	2540004	uniform
2584409	2584409	uniform
4943660	4943660	uniform
4526197	4526197	uniform
4967450	4967450	uniform
5838139	5838139	uniform
5496816	5496816	uniform
4692484	4692484	uniform
4597828	4597828	uniform
1706092	1706092	uniform
5916275	5916275	uniform
2223235	2223235	uniform
5843622	5843622	uniform
2024196	2024196	uniform
4264689	4264689	uniform
5557038	5557038	uniform
3784093	3784093	uniform
6011944	6011944	uniform
4087605	4087605	uniform
1226870	1226870	uniform
1123746	1123746	uniform
1367639	1367639	uniform
4578197	4578197	uniform
3341764	3341764	uniform
2010157	2010157	uniform
3818951	3818951	uniform
1673023	1673023	uniform
1851886	1851886	uniform
5791971	5791971	uniform
6015143	6015143	uniform
