X1	X2	Clust
5886465	5886465	wales
2068119	2068119	wales
2943470	2943470	wales
3233676	3233676	wales
2896180	2896180	wales
4663891	4663891	wales
5324701	5324701	wales
4481490	4481490	wales
5497056	5497056	wales
4654460	4654460	wales
2209409	2209409	wales
4046271	4046271	wales
1025541	1025541	wales
4620723	4620723	wales
3937665	3937665	wales
4663918	4663918	wales
5959702	5959702	wales
1496222	1496222	wales
1880594	1880594	wales
1520261	1520261	wales
3389636	3389636	wales
3003420	3003420	wales
4644612	4644612	wales
4668216	4668216	wales
5707294	5707294	wales
1006419	1006419	wales
3422083	3422083	wales
3898286	3898286	wales
1943564	1943564	wales
5517274	5517274	wales
3713024	3713024	wales
2202939	2202939	wales
3338716	3338716	wales
3528197	3528197	wales
1137929	1137929	wales
5866389	5866389	wales
5637466	5637466	wales
5502764	5502764	wales
1512321	1512321	wales
3220234	3220234	wales
5527005	5527005	wales
1387459	1387459	wales
2509556	2509556	wales
4679938	4679938	wales
3218906	3218906	wales
4699134	4699134	wales
4014298	4014298	wales
4873652	4873652	wales
5956562	5956562	wales
3412053	3412053	wales
5800028	5800028	wales
2307088	2307088	wales
4096908	4096908	wales
1121195	1121195	wales
5332080	5332080	wales
4346699	4346699	wales
1143983	1143983	wales
2026878	2026878	wales
4193645	4193645	wales
4081978	4081978	wales
4273988	4273988	wales
5878450	5878450	wales
2625198	2625198	wales
4997403	4997403	wales
4420138	4420138	wales
1053003	1053003	wales
3090612	3090612	wales
3797911	3797911	wales
2437458	2437458	wales
2747323	2747323	wales
1673705	1673705	wales
3617530	3617530	wales
5824457	5824457	wales
4960166	4960166	wales
2913013	2913013	wales
3300064	3300064	wales
5132007	5132007	wales
5781887	5781887	wales
5581243	5581243	wales
1570722	1570722	wales
4776543	4776543	wales
3136525	3136525	wales
5715244	5715244	wales
5246086	5246086	wales
4823061	4823061	wales
1968344	1968344	wales
3951377	3951377	wales
3661610	3661610	wales
4137537	4137537	wales
5834971	5834971	wales
3552492	3552492	wales
3565947	3565947	wales
1057537	1057537	wales
4818622	4818622	wales
2143814	2143814	wales
5125674	5125674	wales
4014954	4014954	wales
3536590	3536590	wales
5277862	5277862	wales
4331420	4331420	wales
5010567	5010567	wales
1320019	1320019	wales
4801475	4801475	wales
2718237	2718237	wales
1970528	1970528	wales
1687517	1687517	wales
2759609	2759609	wales
1105024	1105024	wales
5927951	5927951	wales
5905763	5905763	wales
5415421	5415421	wales
1393642	1393642	wales
2649644	2649644	wales
3321719	3321719	wales
5374370	5374370	wales
2962216	2962216	wales
3968712	3968712	wales
1410162	1410162	wales
5563810	5563810	wales
2981641	2981641	wales
2257221	2257221	wales
3535197	3535197	wales
2014268	2014268	wales
4243507	4243507	wales
5824347	5824347	wales
3046873	3046873	wales
5524437	5524437	wales
1794521	1794521	wales
1745206	1745206	wales
5228790	5228790	wales
5546442	5546442	wales
5317940	5317940	wales
5508659	5508659	wales
1185360	1185360	wales
3961611	3961611	wales
2608241	2608241	wales
1937191	1937191	wales
2458249	2458249	wales
4980925	4980925	wales
4081500	4081500	wales
2870127	2870127	wales
1699014	1699014	wales
2765580	2765580	wales
3038090	3038090	wales
5902168	5902168	wales
5756318	5756318	wales
5191871	5191871	wales
3961272	3961272	wales
2890537	2890537	wales
4105883	4105883	wales
4492609	4492609	wales
1795681	1795681	wales
4530423	4530423	wales
3412417	3412417	wales
4418815	4418815	wales
4349027	4349027	wales
4005865	4005865	wales
1714288	1714288	wales
3583431	3583431	wales
3227540	3227540	wales
1468866	1468866	wales
4972159	4972159	wales
2632019	2632019	wales
2835702	2835702	wales
5289552	5289552	wales
2580196	2580196	wales
5695888	5695888	wales
4511526	4511526	wales
1774405	1774405	wales
5494438	5494438	wales
3398718	3398718	wales
5907865	5907865	wales
3499818	3499818	wales
2521371	2521371	wales
1221090	1221090	wales
1104258	1104258	wales
3230046	3230046	wales
5237741	5237741	wales
5587917	5587917	wales
1114744	1114744	wales
1205321	1205321	wales
4953949	4953949	wales
4267796	4267796	wales
4340230	4340230	wales
4502179	4502179	wales
2739788	2739788	wales
1807688	1807688	wales
2262875	2262875	wales
3191533	3191533	wales
6002628	6002628	wales
3993614	3993614	wales
4024024	4024024	wales
4665317	4665317	wales
1821769	1821769	wales
3800718	3800718	wales
2337297	2337297	wales
2310325	2310325	wales
5667989	5667989	wales
4041447	4041447	wales
4629183	4629183	wales
4030251	4030251	wales
4400883	4400883	wales
2903518	2903518	wales
1230622	1230622	wales
2749044	2749044	wales
1080823	1080823	wales
5957684	5957684	wales
5470701	5470701	wales
4436592	4436592	wales
1655015	1655015	wales
2879610	2879610	wales
3643940	3643940	wales
1415041	1415041	wales
2468743	2468743	wales
5311624	5311624	wales
3664560	3664560	wales
3593281	3593281	wales
3262274	3262274	wales
1834296	1834296	wales
3934994	3934994	wales
1894739	1894739	wales
5448492	5448492	wales
5889053	5889053	wales
2341870	2341870	wales
2011709	2011709	wales
3434543	3434543	wales
3969769	3969769	wales
1765452	1765452	wales
4891774	4891774	wales
5492829	5492829	wales
5046754	5046754	wales
3880523	3880523	wales
5902252	5902252	wales
5825427	5825427	wales
5164694	5164694	wales
5718137	5718137	wales
4024845	4024845	wales
1670708	1670708	wales
5106262	5106262	wales
2826532	2826532	wales
4342780	4342780	wales
4538348	4538348	wales
4660211	4660211	wales
1043118	1043118	wales
2484905	2484905	wales
4967255	4967255	wales
5786270	5786270	wales
3056002	3056002	wales
2023751	2023751	wales
1733853	1733853	wales
6007376	6007376	wales
2675147	2675147	wales
3532391	3532391	wales
3481517	3481517	wales
1541249	1541249	wales
4326695	4326695	wales
2168235	2168235	wales
4177700	4177700	wales
4724022	4724022	wales
3361651	3361651	wales
3160659	3160659	wales
5088766	5088766	wales
4351956	4351956	wales
5808528	5808528	wales
3176768	3176768	wales
5484567	5484567	wales
2634860	2634860	wales
2514622	2514622	wales
2387933	2387933	wales
5062129	5062129	wales
2895692	2895692	wales
4825265	4825265	wales
4263378	4263378	wales
1028248	1028248	wales
1571450	1571450	wales
2729727	2729727	wales
4275249	4275249	wales
1552570	1552570	wales
1184945	1184945	wales
5617612	5617612	wales
1104182	1104182	wales
5008011	5008011	wales
1582698	1582698	wales
3629476	3629476	wales
3050693	3050693	wales
2578733	2578733	wales
3158275	3158275	wales
5370033	5370033	wales
1110621	1110621	wales
5848004	5848004	wales
3595581	3595581	wales
4588335	4588335	wales
1496842	1496842	wales
2788246	2788246	wales
5235845	5235845	wales
4516979	4516979	wales
2055229	2055229	wales
2325125	2325125	wales
5676895	5676895	wales
1633782	1633782	wales
2411246	2411246	wales
2812466	2812466	wales
2500383	2500383	wales
4503544	4503544	wales
3752128	3752128	wales
2045134	2045134	wales
3452374	3452374	wales
3414237	3414237	wales
5340465	5340465	wales
3134796	3134796	wales
3803212	3803212	wales
3195866	3195866	wales
3761165	3761165	wales
3033092	3033092	wales
2957994	2957994	wales
3838475	3838475	wales
3981126	3981126	wales
2102316	2102316	wales
5433164	5433164	wales
5779339	5779339	wales
4099605	4099605	wales
1869134	1869134	wales
3044335	3044335	wales
1926219	1926219	wales
3319172	3319172	wales
2521601	2521601	wales
1444376	1444376	wales
2138765	2138765	wales
2933718	2933718	wales
4506626	4506626	wales
3185282	3185282	wales
5762504	5762504	wales
4939020	4939020	wales
2905602	2905602	wales
6011705	6011705	wales
5840069	5840069	wales
5446920	5446920	wales
6009747	6009747	wales
3340448	3340448	wales
5996378	5996378	wales
3786504	3786504	wales
1729480	1729480	wales
1590799	1590799	wales
4318656	4318656	wales
1734776	1734776	wales
1334545	1334545	wales
2052524	2052524	wales
3223625	3223625	wales
2995931	2995931	wales
4254848	4254848	wales
4544386	4544386	wales
5603014	5603014	wales
1832101	1832101	wales
4776577	4776577	wales
5464195	5464195	wales
5704312	5704312	wales
3559446	3559446	wales
3560802	3560802	wales
5405592	5405592	wales
1274064	1274064	wales
4176239	4176239	wales
1298142	1298142	wales
4041610	4041610	wales
1714206	1714206	wales
2644627	2644627	wales
5875314	5875314	wales
6007117	6007117	wales
2503251	2503251	wales
3105783	3105783	wales
3052759	3052759	wales
4888815	4888815	wales
3328391	3328391	wales
5175540	5175540	wales
5318853	5318853	wales
4369319	4369319	wales
3225806	3225806	wales
4001244	4001244	wales
1118658	1118658	wales
1706946	1706946	wales
5164847	5164847	wales
2658542	2658542	wales
4238167	4238167	wales
5626358	5626358	wales
5403727	5403727	wales
4872176	4872176	wales
5515694	5515694	wales
1848994	1848994	wales
3813002	3813002	wales
3412627	3412627	wales
2991928	2991928	wales
5694864	5694864	wales
2361425	2361425	wales
3539479	3539479	wales
4609069	4609069	wales
5004203	5004203	wales
3928323	3928323	wales
5372025	5372025	wales
4670591	4670591	wales
1359448	1359448	wales
4012181	4012181	wales
3511262	3511262	wales
1673989	1673989	wales
1192777	1192777	wales
3677616	3677616	wales
5011779	5011779	wales
1751074	1751074	wales
4577404	4577404	wales
4909512	4909512	wales
5844187	5844187	wales
2535981	2535981	wales
2748324	2748324	wales
4846007	4846007	wales
4395879	4395879	wales
4263643	4263643	wales
5147486	5147486	wales
1479284	1479284	wales
5914672	5914672	wales
5429537	5429537	wales
1644497	1644497	wales
1748569	1748569	wales
1490229	1490229	wales
1458665	1458665	wales
1962956	1962956	wales
3843202	3843202	wales
1812842	1812842	wales
2022415	2022415	wales
1877914	1877914	wales
3016332	3016332	wales
2272458	2272458	wales
1306966	1306966	wales
2695703	2695703	wales
1647462	1647462	wales
4955499	4955499	wales
1465144	1465144	wales
1066016	1066016	wales
2091545	2091545	wales
1174277	1174277	wales
1657013	1657013	wales
1254236	1254236	wales
4276850	4276850	wales
4795402	4795402	wales
1598590	1598590	wales
2121860	2121860	wales
4596999	4596999	wales
1298247	1298247	wales
5016844	5016844	wales
4083424	4083424	wales
5692125	5692125	wales
3050106	3050106	wales
3144009	3144009	wales
1584829	1584829	wales
5053621	5053621	wales
2562626	2562626	wales
1418936	1418936	wales
3310545	3310545	wales
2566588	2566588	wales
1406250	1406250	wales
3953921	3953921	wales
3193746	3193746	wales
4937101	4937101	wales
3436115	3436115	wales
3082595	3082595	wales
4563053	4563053	wales
4062942	4062942	wales
4678473	4678473	wales
2566321	2566321	wales
3272169	3272169	wales
1048135	1048135	wales
1494719	1494719	wales
2106069	2106069	wales
2629029	2629029	wales
2664145	2664145	wales
1477422	1477422	wales
1798337	1798337	wales
2436845	2436845	wales
5833960	5833960	wales
1860877	1860877	wales
1495186	1495186	wales
3735072	3735072	wales
1863805	1863805	wales
2685067	2685067	wales
3785541	3785541	wales
3111749	3111749	wales
2544013	2544013	wales
2548449	2548449	wales
1796787	1796787	wales
4096106	4096106	wales
2395630	2395630	wales
3242164	3242164	wales
2772530	2772530	wales
4295380	4295380	wales
3009058	3009058	wales
1296092	1296092	wales
2348447	2348447	wales
4394445	4394445	wales
1639021	1639021	wales
4520090	4520090	wales
1176391	1176391	wales
6005875	6005875	wales
3209952	3209952	wales
3057669	3057669	wales
3257227	3257227	wales
3338629	3338629	wales
2369686	2369686	wales
5430803	5430803	wales
5874234	5874234	wales
2086329	2086329	wales
1817296	1817296	wales
2844660	2844660	wales
3030073	3030073	wales
4483249	4483249	wales
4418952	4418952	wales
3819847	3819847	wales
5810748	5810748	wales
2011308	2011308	wales
1961184	1961184	wales
1969236	1969236	wales
3359509	3359509	wales
5475935	5475935	wales
3348745	3348745	wales
4694318	4694318	wales
5019397	5019397	wales
2597732	2597732	wales
5024528	5024528	wales
4057323	4057323	wales
3302994	3302994	wales
1925799	1925799	wales
1658307	1658307	wales
4432114	4432114	wales
4051386	4051386	wales
4773615	4773615	wales
4685689	4685689	wales
4878239	4878239	wales
1750918	1750918	wales
2814013	2814013	wales
1498962	1498962	wales
3276865	3276865	wales
5827409	5827409	wales
3118026	3118026	wales
2716509	2716509	wales
4662511	4662511	wales
2680695	2680695	wales
5622284	5622284	wales
