X1	X2	Clust
4617260	4617260	whitebritish
2898765	2898765	whitebritish
3342219	3342219	whitebritish
1841952	1841952	whitebritish
4353952	4353952	whitebritish
5221901	5221901	whitebritish
3107169	3107169	whitebritish
2584251	2584251	whitebritish
3922539	3922539	whitebritish
3144232	3144232	whitebritish
5418979	5418979	whitebritish
2068387	2068387	whitebritish
1867686	1867686	whitebritish
3726736	3726736	whitebritish
1313785	1313785	whitebritish
3282193	3282193	whitebritish
1421877	1421877	whitebritish
5014973	5014973	whitebritish
3113524	3113524	whitebritish
2722076	2722076	whitebritish
2422159	2422159	whitebritish
2545872	2545872	whitebritish
4505365	4505365	whitebritish
2907083	2907083	whitebritish
3982571	3982571	whitebritish
3777174	3777174	whitebritish
2599261	2599261	whitebritish
4223159	4223159	whitebritish
1331225	1331225	whitebritish
1543325	1543325	whitebritish
2582068	2582068	whitebritish
1950645	1950645	whitebritish
5211783	5211783	whitebritish
2070310	2070310	whitebritish
1010315	1010315	whitebritish
2363679	2363679	whitebritish
5302445	5302445	whitebritish
3724080	3724080	whitebritish
3203572	3203572	whitebritish
4324487	4324487	whitebritish
2298909	2298909	whitebritish
5479416	5479416	whitebritish
5525418	5525418	whitebritish
1754578	1754578	whitebritish
5717901	5717901	whitebritish
5303384	5303384	whitebritish
2582614	2582614	whitebritish
3544674	3544674	whitebritish
1334955	1334955	whitebritish
5682877	5682877	whitebritish
5548980	5548980	whitebritish
5684954	5684954	whitebritish
3845304	3845304	whitebritish
2867590	2867590	whitebritish
5517994	5517994	whitebritish
3259750	3259750	whitebritish
3659406	3659406	whitebritish
1340766	1340766	whitebritish
1331661	1331661	whitebritish
3492594	3492594	whitebritish
2579149	2579149	whitebritish
4443000	4443000	whitebritish
3242035	3242035	whitebritish
4118278	4118278	whitebritish
4317122	4317122	whitebritish
4438634	4438634	whitebritish
3434594	3434594	whitebritish
1743102	1743102	whitebritish
3316063	3316063	whitebritish
2950678	2950678	whitebritish
2236383	2236383	whitebritish
5060216	5060216	whitebritish
2801841	2801841	whitebritish
3418555	3418555	whitebritish
3754882	3754882	whitebritish
3369779	3369779	whitebritish
1972017	1972017	whitebritish
1522397	1522397	whitebritish
2983251	2983251	whitebritish
1184630	1184630	whitebritish
3504440	3504440	whitebritish
4246931	4246931	whitebritish
3215177	3215177	whitebritish
2062990	2062990	whitebritish
4921673	4921673	whitebritish
2552044	2552044	whitebritish
3609551	3609551	whitebritish
4135178	4135178	whitebritish
5711820	5711820	whitebritish
1220644	1220644	whitebritish
3434717	3434717	whitebritish
4172928	4172928	whitebritish
4658142	4658142	whitebritish
5663651	5663651	whitebritish
5530935	5530935	whitebritish
2186688	2186688	whitebritish
1800561	1800561	whitebritish
1634377	1634377	whitebritish
5990854	5990854	whitebritish
4603703	4603703	whitebritish
5124876	5124876	whitebritish
5272451	5272451	whitebritish
5605769	5605769	whitebritish
5489836	5489836	whitebritish
4173498	4173498	whitebritish
2893700	2893700	whitebritish
3002020	3002020	whitebritish
2165451	2165451	whitebritish
1130790	1130790	whitebritish
4235039	4235039	whitebritish
4520844	4520844	whitebritish
1729088	1729088	whitebritish
5656541	5656541	whitebritish
5000070	5000070	whitebritish
5161102	5161102	whitebritish
4280477	4280477	whitebritish
5775522	5775522	whitebritish
5030883	5030883	whitebritish
4927212	4927212	whitebritish
4071380	4071380	whitebritish
3396463	3396463	whitebritish
1575730	1575730	whitebritish
1585548	1585548	whitebritish
