seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
9	3840533	19886326	25.157316460872455	372.79762360148806	165.7579701595414	944.6697786824249	2249191
8	3805996	19914282	25.136758884317786	372.7767374103004	167.14739015783877	948.8399447135512	2227041
3	3837446	19889217	25.14842761733558	372.8026034273737	165.82675150315035	945.0432221523575	2246877
6	3822622	19900043	25.165626461539507	372.87904215019034	166.57866245655256	946.9857813383222	2235383
5	3813009	19909161	25.159248078728073	372.80175764902447	166.9871039515172	948.0311476830818	2229952
1	3803928	19915699	25.128727420602324	372.7478272322892	167.20760833128168	949.0849288183799	2230647
7	3821166	19901173	25.130878126478073	372.7405168716791	166.42896645141235	946.8805059608876	2241146
2	3811620	19909298	25.14983118657686	372.7324585593959	166.9604520043335	947.9582489792523	2226648
10	3799598	19920369	25.14352536698755	372.7643269981869	167.46994430840115	949.5635497450904	2218102
4	3826424	19897063	25.17274812606424	372.80019587302814	166.46788698249253	946.3383776606468	2233759
