seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
3	2596874	20884252	24.796050935602597	371.8969004487122	242.06296740669575	1139.1160991739932	1363968
8	2601131	20880732	24.79634201994468	371.8882709209901	241.69983953070468	1138.2655131852243	1367318
5	2599026	20881757	24.796035893851343	371.8727911296088	241.85063284886678	1138.5624841912781	1365647
1	2607597	20875662	24.797001476019084	371.88868657909535	241.07368551777756	1136.842202433266	1373127
2	2596506	20884541	24.796330190627742	371.8870376589967	242.11062421884543	1139.1850804364688	1363469
6	2594857	20885907	24.797157146806548	371.89856900907677	242.24813927205747	1139.5110193018704	1360654
9	2599506	20881331	24.799620290264226	371.9449760684802	241.848239608054	1138.7018105067846	1365966
10	2597141	20883968	24.79504910961714	371.8537274192209	242.01782811906315	1138.900928524822	1364761
4	2595804	20884843	24.794783384609453	371.83838286780025	242.1365336124529	1139.1249931500204	1363149
7	2599193	20881936	24.79940048417054	371.9322474307219	241.88853213799257	1138.7570606249787	1365916
