X1	X2	Clust
4593959	4593959	4epsilon
1632104	1632104	4epsilon
3220168	3220168	4epsilon
2493444	2493444	4epsilon
2436329	2436329	4epsilon
2887061	2887061	4epsilon
5000913	5000913	4epsilon
5490636	5490636	4epsilon
5065377	5065377	4epsilon
1184706	1184706	4epsilon
2057228	2057228	4epsilon
1456857	1456857	4epsilon
3264046	3264046	4epsilon
5294722	5294722	4epsilon
2264986	2264986	4epsilon
2774179	2774179	4epsilon
5351415	5351415	4epsilon
2476433	2476433	4epsilon
2205929	2205929	4epsilon
4014136	4014136	4epsilon
1824671	1824671	4epsilon
3124286	3124286	4epsilon
5729594	5729594	4epsilon
1389042	1389042	4epsilon
1170151	1170151	4epsilon
3929513	3929513	4epsilon
4724965	4724965	4epsilon
3203639	3203639	4epsilon
4627901	4627901	4epsilon
5926640	5926640	4epsilon
4398958	4398958	4epsilon
4263503	4263503	4epsilon
1425026	1425026	4epsilon
1156908	1156908	4epsilon
3294696	3294696	4epsilon
1595124	1595124	4epsilon
1977284	1977284	4epsilon
1350346	1350346	4epsilon
5858397	5858397	4epsilon
1451603	1451603	4epsilon
5789752	5789752	4epsilon
5331031	5331031	4epsilon
1487850	1487850	4epsilon
5177621	5177621	4epsilon
1112660	1112660	4epsilon
1835766	1835766	4epsilon
3535749	3535749	4epsilon
5142510	5142510	4epsilon
2397835	2397835	4epsilon
5303246	5303246	4epsilon
3289697	3289697	4epsilon
3974856	3974856	4epsilon
5399286	5399286	4epsilon
5826105	5826105	4epsilon
5599442	5599442	4epsilon
1421122	1421122	4epsilon
3497064	3497064	4epsilon
5915377	5915377	4epsilon
5925901	5925901	4epsilon
5460352	5460352	4epsilon
2874277	2874277	4epsilon
3404215	3404215	4epsilon
3396987	3396987	4epsilon
4473241	4473241	4epsilon
1097903	1097903	4epsilon
5111291	5111291	4epsilon
2764802	2764802	4epsilon
1278367	1278367	4epsilon
2578086	2578086	4epsilon
3168573	3168573	4epsilon
4199982	4199982	4epsilon
3883803	3883803	4epsilon
5240559	5240559	4epsilon
1430292	1430292	4epsilon
3191441	3191441	4epsilon
1352660	1352660	4epsilon
2479788	2479788	4epsilon
1991871	1991871	4epsilon
2039480	2039480	4epsilon
2373846	2373846	4epsilon
2188113	2188113	4epsilon
4594870	4594870	4epsilon
2335548	2335548	4epsilon
3233984	3233984	4epsilon
4695610	4695610	4epsilon
5974095	5974095	4epsilon
2957790	2957790	4epsilon
1501241	1501241	4epsilon
1094752	1094752	4epsilon
