X1	X2	Clust
3362362	3362362	10epsilongeoIS
5086538	5086538	10epsilongeoIS
5566277	5566277	10epsilongeoIS
3188461	3188461	10epsilongeoIS
3448590	3448590	10epsilongeoIS
2337950	2337950	10epsilongeoIS
3981942	3981942	10epsilongeoIS
2130074	2130074	10epsilongeoIS
4817507	4817507	10epsilongeoIS
1874214	1874214	10epsilongeoIS
3066866	3066866	10epsilongeoIS
2487155	2487155	10epsilongeoIS
4204916	4204916	10epsilongeoIS
3331783	3331783	10epsilongeoIS
4140606	4140606	10epsilongeoIS
4814055	4814055	10epsilongeoIS
1964993	1964993	10epsilongeoIS
4808966	4808966	10epsilongeoIS
2641905	2641905	10epsilongeoIS
1402348	1402348	10epsilongeoIS
5292973	5292973	10epsilongeoIS
3337244	3337244	10epsilongeoIS
4916110	4916110	10epsilongeoIS
2712784	2712784	10epsilongeoIS
1103714	1103714	10epsilongeoIS
2154603	2154603	10epsilongeoIS
2091840	2091840	10epsilongeoIS
4100747	4100747	10epsilongeoIS
2164822	2164822	10epsilongeoIS
3126942	3126942	10epsilongeoIS
1876079	1876079	10epsilongeoIS
2491469	2491469	10epsilongeoIS
4734709	4734709	10epsilongeoIS
4218364	4218364	10epsilongeoIS
1876409	1876409	10epsilongeoIS
1196249	1196249	10epsilongeoIS
6008725	6008725	10epsilongeoIS
1175682	1175682	10epsilongeoIS
4074916	4074916	10epsilongeoIS
3670829	3670829	10epsilongeoIS
5912090	5912090	10epsilongeoIS
3961269	3961269	10epsilongeoIS
4308654	4308654	10epsilongeoIS
3686447	3686447	10epsilongeoIS
3142366	3142366	10epsilongeoIS
3285336	3285336	10epsilongeoIS
4660834	4660834	10epsilongeoIS
1529184	1529184	10epsilongeoIS
3972832	3972832	10epsilongeoIS
1044784	1044784	10epsilongeoIS
4291722	4291722	10epsilongeoIS
4015831	4015831	10epsilongeoIS
5637861	5637861	10epsilongeoIS
5497038	5497038	10epsilongeoIS
4621741	4621741	10epsilongeoIS
2847183	2847183	10epsilongeoIS
2640362	2640362	10epsilongeoIS
1382759	1382759	10epsilongeoIS
5074963	5074963	10epsilongeoIS
1021814	1021814	10epsilongeoIS
2736655	2736655	10epsilongeoIS
5824139	5824139	10epsilongeoIS
2733682	2733682	10epsilongeoIS
1835298	1835298	10epsilongeoIS
4155255	4155255	10epsilongeoIS
1253132	1253132	10epsilongeoIS
4260088	4260088	10epsilongeoIS
5317412	5317412	10epsilongeoIS
5068416	5068416	10epsilongeoIS
5257709	5257709	10epsilongeoIS
5224811	5224811	10epsilongeoIS
5167676	5167676	10epsilongeoIS
5226680	5226680	10epsilongeoIS
5656667	5656667	10epsilongeoIS
1054503	1054503	10epsilongeoIS
2747568	2747568	10epsilongeoIS
2612866	2612866	10epsilongeoIS
1161987	1161987	10epsilongeoIS
3092089	3092089	10epsilongeoIS
1117907	1117907	10epsilongeoIS
4134917	4134917	10epsilongeoIS
3117100	3117100	10epsilongeoIS
3871783	3871783	10epsilongeoIS
4078669	4078669	10epsilongeoIS
4148046	4148046	10epsilongeoIS
1907899	1907899	10epsilongeoIS
2228262	2228262	10epsilongeoIS
5125063	5125063	10epsilongeoIS
4571855	4571855	10epsilongeoIS
3491650	3491650	10epsilongeoIS
4153917	4153917	10epsilongeoIS
3167538	3167538	10epsilongeoIS
1622398	1622398	10epsilongeoIS
5129839	5129839	10epsilongeoIS
2861903	2861903	10epsilongeoIS
3714062	3714062	10epsilongeoIS
4992927	4992927	10epsilongeoIS
1947957	1947957	10epsilongeoIS
4639355	4639355	10epsilongeoIS
1223738	1223738	10epsilongeoIS
3525747	3525747	10epsilongeoIS
2117804	2117804	10epsilongeoIS
5954514	5954514	10epsilongeoIS
4763568	4763568	10epsilongeoIS
1192452	1192452	10epsilongeoIS
4579656	4579656	10epsilongeoIS
5187156	5187156	10epsilongeoIS
4391752	4391752	10epsilongeoIS
5187344	5187344	10epsilongeoIS
4419607	4419607	10epsilongeoIS
4398018	4398018	10epsilongeoIS
5379792	5379792	10epsilongeoIS
4395784	4395784	10epsilongeoIS
3139905	3139905	10epsilongeoIS
3976293	3976293	10epsilongeoIS
2383825	2383825	10epsilongeoIS
1747207	1747207	10epsilongeoIS
4796988	4796988	10epsilongeoIS
1771764	1771764	10epsilongeoIS
4080005	4080005	10epsilongeoIS
5481242	5481242	10epsilongeoIS
1408958	1408958	10epsilongeoIS
4542496	4542496	10epsilongeoIS
2267088	2267088	10epsilongeoIS
3467968	3467968	10epsilongeoIS
5717894	5717894	10epsilongeoIS
1896522	1896522	10epsilongeoIS
3358962	3358962	10epsilongeoIS
2892685	2892685	10epsilongeoIS
2877010	2877010	10epsilongeoIS
1220274	1220274	10epsilongeoIS
3646367	3646367	10epsilongeoIS
1761732	1761732	10epsilongeoIS
3174808	3174808	10epsilongeoIS
4286552	4286552	10epsilongeoIS
5155779	5155779	10epsilongeoIS
4481332	4481332	10epsilongeoIS
2650150	2650150	10epsilongeoIS
2576677	2576677	10epsilongeoIS
3736516	3736516	10epsilongeoIS
2305891	2305891	10epsilongeoIS
1207452	1207452	10epsilongeoIS
3916882	3916882	10epsilongeoIS
2136474	2136474	10epsilongeoIS
3642493	3642493	10epsilongeoIS
4592271	4592271	10epsilongeoIS
5418412	5418412	10epsilongeoIS
3092234	3092234	10epsilongeoIS
5044089	5044089	10epsilongeoIS
6004106	6004106	10epsilongeoIS
2317997	2317997	10epsilongeoIS
1341077	1341077	10epsilongeoIS
2880551	2880551	10epsilongeoIS
1127226	1127226	10epsilongeoIS
1290550	1290550	10epsilongeoIS
5469716	5469716	10epsilongeoIS
3685551	3685551	10epsilongeoIS
4254201	4254201	10epsilongeoIS
2848890	2848890	10epsilongeoIS
4074598	4074598	10epsilongeoIS
4292884	4292884	10epsilongeoIS
4660943	4660943	10epsilongeoIS
5375701	5375701	10epsilongeoIS
1265769	1265769	10epsilongeoIS
5178207	5178207	10epsilongeoIS
5832939	5832939	10epsilongeoIS
1539734	1539734	10epsilongeoIS
5927854	5927854	10epsilongeoIS
5685784	5685784	10epsilongeoIS
3242683	3242683	10epsilongeoIS
2134332	2134332	10epsilongeoIS
3441076	3441076	10epsilongeoIS
4257673	4257673	10epsilongeoIS
1873825	1873825	10epsilongeoIS
3131108	3131108	10epsilongeoIS
5229779	5229779	10epsilongeoIS
5277730	5277730	10epsilongeoIS
3429400	3429400	10epsilongeoIS
4622076	4622076	10epsilongeoIS
2435479	2435479	10epsilongeoIS
2967607	2967607	10epsilongeoIS
1365557	1365557	10epsilongeoIS
4615145	4615145	10epsilongeoIS
5789466	5789466	10epsilongeoIS
3664218	3664218	10epsilongeoIS
1050775	1050775	10epsilongeoIS
2827496	2827496	10epsilongeoIS
5114325	5114325	10epsilongeoIS
5691139	5691139	10epsilongeoIS
3819411	3819411	10epsilongeoIS
2430487	2430487	10epsilongeoIS
4644534	4644534	10epsilongeoIS
3825172	3825172	10epsilongeoIS
4094498	4094498	10epsilongeoIS
1058784	1058784	10epsilongeoIS
5995578	5995578	10epsilongeoIS
5320086	5320086	10epsilongeoIS
1436137	1436137	10epsilongeoIS
3608389	3608389	10epsilongeoIS
3857452	3857452	10epsilongeoIS
3809795	3809795	10epsilongeoIS
4229129	4229129	10epsilongeoIS
1661244	1661244	10epsilongeoIS
3575227	3575227	10epsilongeoIS
2137906	2137906	10epsilongeoIS
4017368	4017368	10epsilongeoIS
3595049	3595049	10epsilongeoIS
4663514	4663514	10epsilongeoIS
2869231	2869231	10epsilongeoIS
5726493	5726493	10epsilongeoIS
4929740	4929740	10epsilongeoIS
2983741	2983741	10epsilongeoIS
1796275	1796275	10epsilongeoIS
1991503	1991503	10epsilongeoIS
1827617	1827617	10epsilongeoIS
4194303	4194303	10epsilongeoIS
1874670	1874670	10epsilongeoIS
5048832	5048832	10epsilongeoIS
4732515	4732515	10epsilongeoIS
1708629	1708629	10epsilongeoIS
1467063	1467063	10epsilongeoIS
2257030	2257030	10epsilongeoIS
3297157	3297157	10epsilongeoIS
3795054	3795054	10epsilongeoIS
4421491	4421491	10epsilongeoIS
3904135	3904135	10epsilongeoIS
4859536	4859536	10epsilongeoIS
4218966	4218966	10epsilongeoIS
5710853	5710853	10epsilongeoIS
1406472	1406472	10epsilongeoIS
4779119	4779119	10epsilongeoIS
2061238	2061238	10epsilongeoIS
2171931	2171931	10epsilongeoIS
4570246	4570246	10epsilongeoIS
3494173	3494173	10epsilongeoIS
1518550	1518550	10epsilongeoIS
4994735	4994735	10epsilongeoIS
2446360	2446360	10epsilongeoIS
5009753	5009753	10epsilongeoIS
1153253	1153253	10epsilongeoIS
1084854	1084854	10epsilongeoIS
2031334	2031334	10epsilongeoIS
1631307	1631307	10epsilongeoIS
5150787	5150787	10epsilongeoIS
2350310	2350310	10epsilongeoIS
4082994	4082994	10epsilongeoIS
3714639	3714639	10epsilongeoIS
2132212	2132212	10epsilongeoIS
5923763	5923763	10epsilongeoIS
5780953	5780953	10epsilongeoIS
3915572	3915572	10epsilongeoIS
2130529	2130529	10epsilongeoIS
1419054	1419054	10epsilongeoIS
2549942	2549942	10epsilongeoIS
4699442	4699442	10epsilongeoIS
3529767	3529767	10epsilongeoIS
4906535	4906535	10epsilongeoIS
4760308	4760308	10epsilongeoIS
2962770	2962770	10epsilongeoIS
5917604	5917604	10epsilongeoIS
5419053	5419053	10epsilongeoIS
1781885	1781885	10epsilongeoIS
3496398	3496398	10epsilongeoIS
3244099	3244099	10epsilongeoIS
2819665	2819665	10epsilongeoIS
2592037	2592037	10epsilongeoIS
4992736	4992736	10epsilongeoIS
3859785	3859785	10epsilongeoIS
5833491	5833491	10epsilongeoIS
5256730	5256730	10epsilongeoIS
1589953	1589953	10epsilongeoIS
4957321	4957321	10epsilongeoIS
4752086	4752086	10epsilongeoIS
5484197	5484197	10epsilongeoIS
4297331	4297331	10epsilongeoIS
3970900	3970900	10epsilongeoIS
3338220	3338220	10epsilongeoIS
1783705	1783705	10epsilongeoIS
1509307	1509307	10epsilongeoIS
2974394	2974394	10epsilongeoIS
5510533	5510533	10epsilongeoIS
1211039	1211039	10epsilongeoIS
1599540	1599540	10epsilongeoIS
5378607	5378607	10epsilongeoIS
2264013	2264013	10epsilongeoIS
5396734	5396734	10epsilongeoIS
5527714	5527714	10epsilongeoIS
1232576	1232576	10epsilongeoIS
2141840	2141840	10epsilongeoIS
1246035	1246035	10epsilongeoIS
1793670	1793670	10epsilongeoIS
4309913	4309913	10epsilongeoIS
3918065	3918065	10epsilongeoIS
1794789	1794789	10epsilongeoIS
5234598	5234598	10epsilongeoIS
5347930	5347930	10epsilongeoIS
1099833	1099833	10epsilongeoIS
5079009	5079009	10epsilongeoIS
4730380	4730380	10epsilongeoIS
2638778	2638778	10epsilongeoIS
2481489	2481489	10epsilongeoIS
4737489	4737489	10epsilongeoIS
4602438	4602438	10epsilongeoIS
5516231	5516231	10epsilongeoIS
1654679	1654679	10epsilongeoIS
3382862	3382862	10epsilongeoIS
5484768	5484768	10epsilongeoIS
1531437	1531437	10epsilongeoIS
2334522	2334522	10epsilongeoIS
2220667	2220667	10epsilongeoIS
4487983	4487983	10epsilongeoIS
4878455	4878455	10epsilongeoIS
3339054	3339054	10epsilongeoIS
1045614	1045614	10epsilongeoIS
3318937	3318937	10epsilongeoIS
3744410	3744410	10epsilongeoIS
1016597	1016597	10epsilongeoIS
5551102	5551102	10epsilongeoIS
2134317	2134317	10epsilongeoIS
1614458	1614458	10epsilongeoIS
3477227	3477227	10epsilongeoIS
3362767	3362767	10epsilongeoIS
1748096	1748096	10epsilongeoIS
3714806	3714806	10epsilongeoIS
4213664	4213664	10epsilongeoIS
2641254	2641254	10epsilongeoIS
1737751	1737751	10epsilongeoIS
3619149	3619149	10epsilongeoIS
2934078	2934078	10epsilongeoIS
3557098	3557098	10epsilongeoIS
4262440	4262440	10epsilongeoIS
2662829	2662829	10epsilongeoIS
2618961	2618961	10epsilongeoIS
1632351	1632351	10epsilongeoIS
1509682	1509682	10epsilongeoIS
5028458	5028458	10epsilongeoIS
2248090	2248090	10epsilongeoIS
1351684	1351684	10epsilongeoIS
4171875	4171875	10epsilongeoIS
4882851	4882851	10epsilongeoIS
2956928	2956928	10epsilongeoIS
3347616	3347616	10epsilongeoIS
4372851	4372851	10epsilongeoIS
2073519	2073519	10epsilongeoIS
3581582	3581582	10epsilongeoIS
4625724	4625724	10epsilongeoIS
4683792	4683792	10epsilongeoIS
2319391	2319391	10epsilongeoIS
2557251	2557251	10epsilongeoIS
3691882	3691882	10epsilongeoIS
1736127	1736127	10epsilongeoIS
2858609	2858609	10epsilongeoIS
3652094	3652094	10epsilongeoIS
2446253	2446253	10epsilongeoIS
2214807	2214807	10epsilongeoIS
4547328	4547328	10epsilongeoIS
3856881	3856881	10epsilongeoIS
2558406	2558406	10epsilongeoIS
3154780	3154780	10epsilongeoIS
4772968	4772968	10epsilongeoIS
1778971	1778971	10epsilongeoIS
4844404	4844404	10epsilongeoIS
5452069	5452069	10epsilongeoIS
2469825	2469825	10epsilongeoIS
2559229	2559229	10epsilongeoIS
3992617	3992617	10epsilongeoIS
4405204	4405204	10epsilongeoIS
4538444	4538444	10epsilongeoIS
1738984	1738984	10epsilongeoIS
2021218	2021218	10epsilongeoIS
5889843	5889843	10epsilongeoIS
2804143	2804143	10epsilongeoIS
3226475	3226475	10epsilongeoIS
4664946	4664946	10epsilongeoIS
4824679	4824679	10epsilongeoIS
5160539	5160539	10epsilongeoIS
5903882	5903882	10epsilongeoIS
4786177	4786177	10epsilongeoIS
4389494	4389494	10epsilongeoIS
4564846	4564846	10epsilongeoIS
4249390	4249390	10epsilongeoIS
2749453	2749453	10epsilongeoIS
4033664	4033664	10epsilongeoIS
2758389	2758389	10epsilongeoIS
2454907	2454907	10epsilongeoIS
