X1	X2	Clust
3375831	3375831	10epsilonpcaIS
5063407	5063407	10epsilonpcaIS
5557748	5557748	10epsilonpcaIS
3223141	3223141	10epsilonpcaIS
3358635	3358635	10epsilonpcaIS
2270353	2270353	10epsilonpcaIS
3921062	3921062	10epsilonpcaIS
2150555	2150555	10epsilonpcaIS
4723606	4723606	10epsilonpcaIS
1754507	1754507	10epsilonpcaIS
3198716	3198716	10epsilonpcaIS
2572558	2572558	10epsilonpcaIS
4149987	4149987	10epsilonpcaIS
3359627	3359627	10epsilonpcaIS
3961799	3961799	10epsilonpcaIS
4631039	4631039	10epsilonpcaIS
1844761	1844761	10epsilonpcaIS
4890789	4890789	10epsilonpcaIS
2630621	2630621	10epsilonpcaIS
1373283	1373283	10epsilonpcaIS
5252249	5252249	10epsilonpcaIS
3510167	3510167	10epsilonpcaIS
4900398	4900398	10epsilonpcaIS
2737313	2737313	10epsilonpcaIS
5944035	5944035	10epsilonpcaIS
2039241	2039241	10epsilonpcaIS
1938087	1938087	10epsilonpcaIS
4045155	4045155	10epsilonpcaIS
2291045	2291045	10epsilonpcaIS
2996927	2996927	10epsilonpcaIS
1843142	1843142	10epsilonpcaIS
2463701	2463701	10epsilonpcaIS
4678562	4678562	10epsilonpcaIS
4167517	4167517	10epsilonpcaIS
1782710	1782710	10epsilonpcaIS
1141827	1141827	10epsilonpcaIS
5940651	5940651	10epsilonpcaIS
1114420	1114420	10epsilonpcaIS
4011450	4011450	10epsilonpcaIS
3711996	3711996	10epsilonpcaIS
5808361	5808361	10epsilonpcaIS
3899897	3899897	10epsilonpcaIS
4348114	4348114	10epsilonpcaIS
3509978	3509978	10epsilonpcaIS
3105184	3105184	10epsilonpcaIS
3261360	3261360	10epsilonpcaIS
4654510	4654510	10epsilonpcaIS
1355149	1355149	10epsilonpcaIS
3967744	3967744	10epsilonpcaIS
5983108	5983108	10epsilonpcaIS
4234356	4234356	10epsilonpcaIS
3960091	3960091	10epsilonpcaIS
5605769	5605769	10epsilonpcaIS
5268223	5268223	10epsilonpcaIS
4591710	4591710	10epsilonpcaIS
2677814	2677814	10epsilonpcaIS
2563472	2563472	10epsilonpcaIS
1370373	1370373	10epsilonpcaIS
5096831	5096831	10epsilonpcaIS
6015724	6015724	10epsilonpcaIS
2579315	2579315	10epsilonpcaIS
5614129	5614129	10epsilonpcaIS
2689425	2689425	10epsilonpcaIS
1725211	1725211	10epsilonpcaIS
4094405	4094405	10epsilonpcaIS
1162973	1162973	10epsilonpcaIS
4409642	4409642	10epsilonpcaIS
5053888	5053888	10epsilonpcaIS
5112668	5112668	10epsilonpcaIS
5013882	5013882	10epsilonpcaIS
5177378	5177378	10epsilonpcaIS
5191438	5191438	10epsilonpcaIS
5188462	5188462	10epsilonpcaIS
5642200	5642200	10epsilonpcaIS
1014175	1014175	10epsilonpcaIS
2632780	2632780	10epsilonpcaIS
2605650	2605650	10epsilonpcaIS
1005241	1005241	10epsilonpcaIS
3154443	3154443	10epsilonpcaIS
5963057	5963057	10epsilonpcaIS
4069947	4069947	10epsilonpcaIS
2981552	2981552	10epsilonpcaIS
3673342	3673342	10epsilonpcaIS
4139745	4139745	10epsilonpcaIS
4090472	4090472	10epsilonpcaIS
1876145	1876145	10epsilonpcaIS
2346674	2346674	10epsilonpcaIS
4923948	4923948	10epsilonpcaIS
4467797	4467797	10epsilonpcaIS
3490718	3490718	10epsilonpcaIS
4094571	4094571	10epsilonpcaIS
3129258	3129258	10epsilonpcaIS
