X1	X2	Clust
5064577	5064577	50epsilonpca
4192363	4192363	50epsilonpca
2910703	2910703	50epsilonpca
2029581	2029581	50epsilonpca
1140257	1140257	50epsilonpca
2813534	2813534	50epsilonpca
4750693	4750693	50epsilonpca
1904563	1904563	50epsilonpca
2076267	2076267	50epsilonpca
2193638	2193638	50epsilonpca
4647660	4647660	50epsilonpca
2317084	2317084	50epsilonpca
2564007	2564007	50epsilonpca
5710796	5710796	50epsilonpca
4178346	4178346	50epsilonpca
2440118	2440118	50epsilonpca
2126972	2126972	50epsilonpca
1858717	1858717	50epsilonpca
1567237	1567237	50epsilonpca
4030381	4030381	50epsilonpca
2719368	2719368	50epsilonpca
3606954	3606954	50epsilonpca
2839320	2839320	50epsilonpca
2063672	2063672	50epsilonpca
4967063	4967063	50epsilonpca
3390656	3390656	50epsilonpca
4022512	4022512	50epsilonpca
5413079	5413079	50epsilonpca
5182171	5182171	50epsilonpca
2906155	2906155	50epsilonpca
4744411	4744411	50epsilonpca
2876231	2876231	50epsilonpca
4357814	4357814	50epsilonpca
4936920	4936920	50epsilonpca
2346780	2346780	50epsilonpca
2701860	2701860	50epsilonpca
2972179	2972179	50epsilonpca
1497519	1497519	50epsilonpca
1434177	1434177	50epsilonpca
1270992	1270992	50epsilonpca
2189902	2189902	50epsilonpca
4069893	4069893	50epsilonpca
2608172	2608172	50epsilonpca
5059684	5059684	50epsilonpca
4500250	4500250	50epsilonpca
4868408	4868408	50epsilonpca
3709226	3709226	50epsilonpca
5148399	5148399	50epsilonpca
2954448	2954448	50epsilonpca
5341738	5341738	50epsilonpca
4809614	4809614	50epsilonpca
3033919	3033919	50epsilonpca
2805763	2805763	50epsilonpca
2665181	2665181	50epsilonpca
3776547	3776547	50epsilonpca
1237055	1237055	50epsilonpca
4624308	4624308	50epsilonpca
2745956	2745956	50epsilonpca
3136649	3136649	50epsilonpca
1188837	1188837	50epsilonpca
2512953	2512953	50epsilonpca
1964770	1964770	50epsilonpca
2939694	2939694	50epsilonpca
5901581	5901581	50epsilonpca
2628405	2628405	50epsilonpca
4894814	4894814	50epsilonpca
4604310	4604310	50epsilonpca
4864678	4864678	50epsilonpca
1145897	1145897	50epsilonpca
1453703	1453703	50epsilonpca
3148515	3148515	50epsilonpca
1397579	1397579	50epsilonpca
2332082	2332082	50epsilonpca
1523157	1523157	50epsilonpca
3385591	3385591	50epsilonpca
5774727	5774727	50epsilonpca
5810710	5810710	50epsilonpca
4316283	4316283	50epsilonpca
1049252	1049252	50epsilonpca
3661856	3661856	50epsilonpca
4946765	4946765	50epsilonpca
5806743	5806743	50epsilonpca
2639002	2639002	50epsilonpca
1738890	1738890	50epsilonpca
5076144	5076144	50epsilonpca
2022527	2022527	50epsilonpca
4825317	4825317	50epsilonpca
4381453	4381453	50epsilonpca
2408037	2408037	50epsilonpca
2093307	2093307	50epsilonpca
3373308	3373308	50epsilonpca
3571359	3571359	50epsilonpca
2072386	2072386	50epsilonpca
4747217	4747217	50epsilonpca
2024775	2024775	50epsilonpca
5296539	5296539	50epsilonpca
3157361	3157361	50epsilonpca
4810071	4810071	50epsilonpca
5785005	5785005	50epsilonpca
1650147	1650147	50epsilonpca
5063862	5063862	50epsilonpca
1896448	1896448	50epsilonpca
4478272	4478272	50epsilonpca
5551711	5551711	50epsilonpca
3606561	3606561	50epsilonpca
2471896	2471896	50epsilonpca
5679988	5679988	50epsilonpca
2137971	2137971	50epsilonpca
6014044	6014044	50epsilonpca
3608534	3608534	50epsilonpca
2650261	2650261	50epsilonpca
2032742	2032742	50epsilonpca
5774612	5774612	50epsilonpca
2373710	2373710	50epsilonpca
5640325	5640325	50epsilonpca
1749423	1749423	50epsilonpca
2749559	2749559	50epsilonpca
3838119	3838119	50epsilonpca
3881638	3881638	50epsilonpca
5101902	5101902	50epsilonpca
3457971	3457971	50epsilonpca
4700564	4700564	50epsilonpca
1342819	1342819	50epsilonpca
1352889	1352889	50epsilonpca
6022534	6022534	50epsilonpca
3334004	3334004	50epsilonpca
4149716	4149716	50epsilonpca
1599337	1599337	50epsilonpca
1901787	1901787	50epsilonpca
4633128	4633128	50epsilonpca
1847561	1847561	50epsilonpca
4852693	4852693	50epsilonpca
4591652	4591652	50epsilonpca
1381153	1381153	50epsilonpca
3932056	3932056	50epsilonpca
4374664	4374664	50epsilonpca
5224488	5224488	50epsilonpca
4298489	4298489	50epsilonpca
4166676	4166676	50epsilonpca
1410246	1410246	50epsilonpca
1114842	1114842	50epsilonpca
1252908	1252908	50epsilonpca
4120200	4120200	50epsilonpca
2738350	2738350	50epsilonpca
4858115	4858115	50epsilonpca
1238342	1238342	50epsilonpca
1669761	1669761	50epsilonpca
4620870	4620870	50epsilonpca
5643199	5643199	50epsilonpca
3733733	3733733	50epsilonpca
1537529	1537529	50epsilonpca
