X1	X2	Clust
5098049	5098049	5epsilongeo
3971602	3971602	5epsilongeo
3231330	3231330	5epsilongeo
3964981	3964981	5epsilongeo
1532938	1532938	5epsilongeo
4106000	4106000	5epsilongeo
4661186	4661186	5epsilongeo
1399883	1399883	5epsilongeo
4122059	4122059	5epsilongeo
1457405	1457405	5epsilongeo
3183406	3183406	5epsilongeo
2304327	2304327	5epsilongeo
5907764	5907764	5epsilongeo
5169415	5169415	5epsilongeo
2619598	2619598	5epsilongeo
2659931	2659931	5epsilongeo
4853974	4853974	5epsilongeo
5055832	5055832	5epsilongeo
1930295	1930295	5epsilongeo
3898895	3898895	5epsilongeo
5451830	5451830	5epsilongeo
2757418	2757418	5epsilongeo
4070784	4070784	5epsilongeo
3409842	3409842	5epsilongeo
5114544	5114544	5epsilongeo
3525303	3525303	5epsilongeo
2934186	2934186	5epsilongeo
4800705	4800705	5epsilongeo
1842832	1842832	5epsilongeo
4075114	4075114	5epsilongeo
3228561	3228561	5epsilongeo
2004241	2004241	5epsilongeo
5110165	5110165	5epsilongeo
5597969	5597969	5epsilongeo
3026315	3026315	5epsilongeo
3360062	3360062	5epsilongeo
5808419	5808419	5epsilongeo
1833772	1833772	5epsilongeo
1147686	1147686	5epsilongeo
1543325	1543325	5epsilongeo
5428917	5428917	5epsilongeo
6018889	6018889	5epsilongeo
4040920	4040920	5epsilongeo
4554222	4554222	5epsilongeo
1856609	1856609	5epsilongeo
5274331	5274331	5epsilongeo
1831254	1831254	5epsilongeo
5111054	5111054	5epsilongeo
1848880	1848880	5epsilongeo
5095978	5095978	5epsilongeo
1243005	1243005	5epsilongeo
4169805	4169805	5epsilongeo
1101294	1101294	5epsilongeo
5286297	5286297	5epsilongeo
2662606	2662606	5epsilongeo
3638553	3638553	5epsilongeo
5329018	5329018	5epsilongeo
1171333	1171333	5epsilongeo
5341044	5341044	5epsilongeo
4491285	4491285	5epsilongeo
4453450	4453450	5epsilongeo
1764538	1764538	5epsilongeo
3394597	3394597	5epsilongeo
4791762	4791762	5epsilongeo
5996871	5996871	5epsilongeo
2248272	2248272	5epsilongeo
1545226	1545226	5epsilongeo
5486833	5486833	5epsilongeo
3062197	3062197	5epsilongeo
3650173	3650173	5epsilongeo
3186572	3186572	5epsilongeo
3240694	3240694	5epsilongeo
5607901	5607901	5epsilongeo
4487692	4487692	5epsilongeo
4777942	4777942	5epsilongeo
1878369	1878369	5epsilongeo
5657237	5657237	5epsilongeo
2661321	2661321	5epsilongeo
3029587	3029587	5epsilongeo
4682931	4682931	5epsilongeo
2396777	2396777	5epsilongeo
2001752	2001752	5epsilongeo
3751758	3751758	5epsilongeo
5894471	5894471	5epsilongeo
5151024	5151024	5epsilongeo
4989214	4989214	5epsilongeo
4591680	4591680	5epsilongeo
4753116	4753116	5epsilongeo
1476441	1476441	5epsilongeo
3661582	3661582	5epsilongeo
2824438	2824438	5epsilongeo
4196727	4196727	5epsilongeo
5773492	5773492	5epsilongeo
1225545	1225545	5epsilongeo
2753171	2753171	5epsilongeo
5310683	5310683	5epsilongeo
3411959	3411959	5epsilongeo
4969571	4969571	5epsilongeo
1658319	1658319	5epsilongeo
3059388	3059388	5epsilongeo
2421374	2421374	5epsilongeo
3402490	3402490	5epsilongeo
4216537	4216537	5epsilongeo
2130083	2130083	5epsilongeo
1845918	1845918	5epsilongeo
4716043	4716043	5epsilongeo
1664030	1664030	5epsilongeo
2119591	2119591	5epsilongeo
1412436	1412436	5epsilongeo
3738838	3738838	5epsilongeo
5836173	5836173	5epsilongeo
4093604	4093604	5epsilongeo
5923430	5923430	5epsilongeo
3573745	3573745	5epsilongeo
6015628	6015628	5epsilongeo
5317547	5317547	5epsilongeo
5589397	5589397	5epsilongeo
4925887	4925887	5epsilongeo
2913420	2913420	5epsilongeo
5549213	5549213	5epsilongeo
2648606	2648606	5epsilongeo
2126910	2126910	5epsilongeo
3418335	3418335	5epsilongeo
4527102	4527102	5epsilongeo
5169697	5169697	5epsilongeo
5461677	5461677	5epsilongeo
5202218	5202218	5epsilongeo
5670610	5670610	5epsilongeo
6014412	6014412	5epsilongeo
3783589	3783589	5epsilongeo
4750908	4750908	5epsilongeo
4979284	4979284	5epsilongeo
3657845	3657845	5epsilongeo
2134419	2134419	5epsilongeo
1966467	1966467	5epsilongeo
3156646	3156646	5epsilongeo
4699062	4699062	5epsilongeo
2032681	2032681	5epsilongeo
4370984	4370984	5epsilongeo
3878039	3878039	5epsilongeo
4159037	4159037	5epsilongeo
