X1	X2	Clust
3286124	3286124	SIRcenter1pca0.005
4922255	4922255	SIRcenter1pca0.005
3127222	3127222	SIRcenter1pca0.005
1730122	1730122	SIRcenter1pca0.005
2134077	2134077	SIRcenter1pca0.005
2307794	2307794	SIRcenter1pca0.005
6009475	6009475	SIRcenter1pca0.005
4529114	4529114	SIRcenter1pca0.005
3029180	3029180	SIRcenter1pca0.005
3876830	3876830	SIRcenter1pca0.005
2170897	2170897	SIRcenter1pca0.005
4494414	4494414	SIRcenter1pca0.005
2528401	2528401	SIRcenter1pca0.005
2562707	2562707	SIRcenter1pca0.005
3657754	3657754	SIRcenter1pca0.005
5053932	5053932	SIRcenter1pca0.005
1958444	1958444	SIRcenter1pca0.005
3691616	3691616	SIRcenter1pca0.005
1603327	1603327	SIRcenter1pca0.005
2780197	2780197	SIRcenter1pca0.005
2786638	2786638	SIRcenter1pca0.005
4277675	4277675	SIRcenter1pca0.005
3855453	3855453	SIRcenter1pca0.005
2417405	2417405	SIRcenter1pca0.005
2958868	2958868	SIRcenter1pca0.005
2725232	2725232	SIRcenter1pca0.005
3560589	3560589	SIRcenter1pca0.005
5075094	5075094	SIRcenter1pca0.005
1714446	1714446	SIRcenter1pca0.005
3759523	3759523	SIRcenter1pca0.005
5113979	5113979	SIRcenter1pca0.005
3543215	3543215	SIRcenter1pca0.005
2521293	2521293	SIRcenter1pca0.005
5569025	5569025	SIRcenter1pca0.005
1194077	1194077	SIRcenter1pca0.005
4586144	4586144	SIRcenter1pca0.005
2716839	2716839	SIRcenter1pca0.005
3650151	3650151	SIRcenter1pca0.005
5381525	5381525	SIRcenter1pca0.005
5173901	5173901	SIRcenter1pca0.005
2501490	2501490	SIRcenter1pca0.005
5115727	5115727	SIRcenter1pca0.005
2114340	2114340	SIRcenter1pca0.005
3138264	3138264	SIRcenter1pca0.005
4555738	4555738	SIRcenter1pca0.005
1108793	1108793	SIRcenter1pca0.005
4852211	4852211	SIRcenter1pca0.005
2784628	2784628	SIRcenter1pca0.005
2559309	2559309	SIRcenter1pca0.005
4406356	4406356	SIRcenter1pca0.005
4446084	4446084	SIRcenter1pca0.005
4298310	4298310	SIRcenter1pca0.005
1890585	1890585	SIRcenter1pca0.005
4367686	4367686	SIRcenter1pca0.005
5702177	5702177	SIRcenter1pca0.005
5418195	5418195	SIRcenter1pca0.005
4922255	4922255	SIRcenter1pca0.005
1259591	1259591	SIRcenter1pca0.005
4199966	4199966	SIRcenter1pca0.005
4115915	4115915	SIRcenter1pca0.005
5996764	5996764	SIRcenter1pca0.005
3295407	3295407	SIRcenter1pca0.005
4639070	4639070	SIRcenter1pca0.005
4284967	4284967	SIRcenter1pca0.005
4208028	4208028	SIRcenter1pca0.005
4017028	4017028	SIRcenter1pca0.005
3442510	3442510	SIRcenter1pca0.005
5826660	5826660	SIRcenter1pca0.005
4998588	4998588	SIRcenter1pca0.005
5380101	5380101	SIRcenter1pca0.005
4209241	4209241	SIRcenter1pca0.005
2595247	2595247	SIRcenter1pca0.005
5435737	5435737	SIRcenter1pca0.005
5332912	5332912	SIRcenter1pca0.005
