X1	X2	Clust
5252268	5252268	SIRcenter2geo100000
1409083	1409083	SIRcenter2geo100000
4589995	4589995	SIRcenter2geo100000
3072553	3072553	SIRcenter2geo100000
5980947	5980947	SIRcenter2geo100000
1114744	1114744	SIRcenter2geo100000
2283551	2283551	SIRcenter2geo100000
2165982	2165982	SIRcenter2geo100000
3404301	3404301	SIRcenter2geo100000
3824839	3824839	SIRcenter2geo100000
4434701	4434701	SIRcenter2geo100000
1118159	1118159	SIRcenter2geo100000
4289370	4289370	SIRcenter2geo100000
2579742	2579742	SIRcenter2geo100000
1738916	1738916	SIRcenter2geo100000
2500618	2500618	SIRcenter2geo100000
3219008	3219008	SIRcenter2geo100000
3373646	3373646	SIRcenter2geo100000
1697608	1697608	SIRcenter2geo100000
4975603	4975603	SIRcenter2geo100000
5676526	5676526	SIRcenter2geo100000
2137081	2137081	SIRcenter2geo100000
2898458	2898458	SIRcenter2geo100000
1652913	1652913	SIRcenter2geo100000
4689356	4689356	SIRcenter2geo100000
1932019	1932019	SIRcenter2geo100000
2822084	2822084	SIRcenter2geo100000
4780319	4780319	SIRcenter2geo100000
4588378	4588378	SIRcenter2geo100000
3844120	3844120	SIRcenter2geo100000
2074112	2074112	SIRcenter2geo100000
4540360	4540360	SIRcenter2geo100000
4617689	4617689	SIRcenter2geo100000
2800288	2800288	SIRcenter2geo100000
2009232	2009232	SIRcenter2geo100000
4895765	4895765	SIRcenter2geo100000
1099993	1099993	SIRcenter2geo100000
2027413	2027413	SIRcenter2geo100000
2174677	2174677	SIRcenter2geo100000
5570018	5570018	SIRcenter2geo100000
1840409	1840409	SIRcenter2geo100000
3789768	3789768	SIRcenter2geo100000
1388643	1388643	SIRcenter2geo100000
3183131	3183131	SIRcenter2geo100000
1103980	1103980	SIRcenter2geo100000
5334102	5334102	SIRcenter2geo100000
5421728	5421728	SIRcenter2geo100000
2629146	2629146	SIRcenter2geo100000
4176221	4176221	SIRcenter2geo100000
3388782	3388782	SIRcenter2geo100000
2458096	2458096	SIRcenter2geo100000
5844033	5844033	SIRcenter2geo100000
2274397	2274397	SIRcenter2geo100000
4671163	4671163	SIRcenter2geo100000
5814896	5814896	SIRcenter2geo100000
1571450	1571450	SIRcenter2geo100000
4794423	4794423	SIRcenter2geo100000
1820824	1820824	SIRcenter2geo100000
4275871	4275871	SIRcenter2geo100000
4302699	4302699	SIRcenter2geo100000
1992118	1992118	SIRcenter2geo100000
4079342	4079342	SIRcenter2geo100000
3324795	3324795	SIRcenter2geo100000
2919690	2919690	SIRcenter2geo100000
4594886	4594886	SIRcenter2geo100000
5022191	5022191	SIRcenter2geo100000
1118722	1118722	SIRcenter2geo100000
2576865	2576865	SIRcenter2geo100000
3374325	3374325	SIRcenter2geo100000
