X1	X2	Clust
2443484	2443484	SIRgeouniform
1932129	1932129	SIRgeouniform
1951484	1951484	SIRgeouniform
1538686	1538686	SIRgeouniform
1555861	1555861	SIRgeouniform
5347505	5347505	SIRgeouniform
4283680	4283680	SIRgeouniform
2002850	2002850	SIRgeouniform
3055446	3055446	SIRgeouniform
4841886	4841886	SIRgeouniform
3956919	3956919	SIRgeouniform
4305248	4305248	SIRgeouniform
1205996	1205996	SIRgeouniform
2139547	2139547	SIRgeouniform
4123941	4123941	SIRgeouniform
1148404	1148404	SIRgeouniform
5431139	5431139	SIRgeouniform
3193114	3193114	SIRgeouniform
2999614	2999614	SIRgeouniform
5176450	5176450	SIRgeouniform
3342207	3342207	SIRgeouniform
1944154	1944154	SIRgeouniform
1656796	1656796	SIRgeouniform
3497759	3497759	SIRgeouniform
4361978	4361978	SIRgeouniform
4036115	4036115	SIRgeouniform
1355654	1355654	SIRgeouniform
2175181	2175181	SIRgeouniform
2611595	2611595	SIRgeouniform
5703134	5703134	SIRgeouniform
3837914	3837914	SIRgeouniform
2520149	2520149	SIRgeouniform
2736953	2736953	SIRgeouniform
4380157	4380157	SIRgeouniform
4926365	4926365	SIRgeouniform
3591617	3591617	SIRgeouniform
5875289	5875289	SIRgeouniform
4757603	4757603	SIRgeouniform
3025157	3025157	SIRgeouniform
1669717	1669717	SIRgeouniform
3551085	3551085	SIRgeouniform
4367220	4367220	SIRgeouniform
4324301	4324301	SIRgeouniform
6012809	6012809	SIRgeouniform
5807710	5807710	SIRgeouniform
1756029	1756029	SIRgeouniform
3376208	3376208	SIRgeouniform
1935678	1935678	SIRgeouniform
4666837	4666837	SIRgeouniform
2862293	2862293	SIRgeouniform
2383648	2383648	SIRgeouniform
5046845	5046845	SIRgeouniform
4432283	4432283	SIRgeouniform
2314430	2314430	SIRgeouniform
2060968	2060968	SIRgeouniform
3984553	3984553	SIRgeouniform
5571190	5571190	SIRgeouniform
4913449	4913449	SIRgeouniform
4652158	4652158	SIRgeouniform
1463860	1463860	SIRgeouniform
5531008	5531008	SIRgeouniform
2588247	2588247	SIRgeouniform
3015033	3015033	SIRgeouniform
5282717	5282717	SIRgeouniform
2714535	2714535	SIRgeouniform
5979028	5979028	SIRgeouniform
4461373	4461373	SIRgeouniform
3822390	3822390	SIRgeouniform
4920411	4920411	SIRgeouniform
2559750	2559750	SIRgeouniform
2730286	2730286	SIRgeouniform
3852568	3852568	SIRgeouniform
4201578	4201578	SIRgeouniform
2043728	2043728	SIRgeouniform
5572728	5572728	SIRgeouniform
2874563	2874563	SIRgeouniform
1787469	1787469	SIRgeouniform
2135277	2135277	SIRgeouniform
1717933	1717933	SIRgeouniform
3374006	3374006	SIRgeouniform
5880657	5880657	SIRgeouniform
2189755	2189755	SIRgeouniform
5562511	5562511	SIRgeouniform
1875659	1875659	SIRgeouniform
3599412	3599412	SIRgeouniform
2082368	2082368	SIRgeouniform
3703646	3703646	SIRgeouniform
1072318	1072318	SIRgeouniform
3956356	3956356	SIRgeouniform
4265611	4265611	SIRgeouniform
5655089	5655089	SIRgeouniform
3236344	3236344	SIRgeouniform
3799843	3799843	SIRgeouniform
5249406	5249406	SIRgeouniform
5303603	5303603	SIRgeouniform
1425588	1425588	SIRgeouniform
5186000	5186000	SIRgeouniform
4308635	4308635	SIRgeouniform
4336605	4336605	SIRgeouniform
2458319	2458319	SIRgeouniform
4852114	4852114	SIRgeouniform
5882699	5882699	SIRgeouniform
3973393	3973393	SIRgeouniform
5249856	5249856	SIRgeouniform
2873186	2873186	SIRgeouniform
5321006	5321006	SIRgeouniform
5130199	5130199	SIRgeouniform
2612178	2612178	SIRgeouniform
5763472	5763472	SIRgeouniform
4182247	4182247	SIRgeouniform
