X1	X2	Clust
3677426	3677426	SIRpcauniform
2071298	2071298	SIRpcauniform
3367963	3367963	SIRpcauniform
3662438	3662438	SIRpcauniform
3038112	3038112	SIRpcauniform
4338997	4338997	SIRpcauniform
4411828	4411828	SIRpcauniform
1416604	1416604	SIRpcauniform
3357294	3357294	SIRpcauniform
1826310	1826310	SIRpcauniform
1506742	1506742	SIRpcauniform
2531034	2531034	SIRpcauniform
1549629	1549629	SIRpcauniform
1903683	1903683	SIRpcauniform
3548927	3548927	SIRpcauniform
3077692	3077692	SIRpcauniform
5889945	5889945	SIRpcauniform
1080015	1080015	SIRpcauniform
5624695	5624695	SIRpcauniform
4163653	4163653	SIRpcauniform
1577196	1577196	SIRpcauniform
3654051	3654051	SIRpcauniform
3333845	3333845	SIRpcauniform
4844371	4844371	SIRpcauniform
1216384	1216384	SIRpcauniform
5518452	5518452	SIRpcauniform
5173901	5173901	SIRpcauniform
5386314	5386314	SIRpcauniform
5004611	5004611	SIRpcauniform
4958424	4958424	SIRpcauniform
5002813	5002813	SIRpcauniform
4316531	4316531	SIRpcauniform
2245038	2245038	SIRpcauniform
5642902	5642902	SIRpcauniform
1576266	1576266	SIRpcauniform
1646110	1646110	SIRpcauniform
3473458	3473458	SIRpcauniform
4687425	4687425	SIRpcauniform
2696260	2696260	SIRpcauniform
4791938	4791938	SIRpcauniform
4811206	4811206	SIRpcauniform
1305261	1305261	SIRpcauniform
2069923	2069923	SIRpcauniform
4706390	4706390	SIRpcauniform
4163446	4163446	SIRpcauniform
3305998	3305998	SIRpcauniform
3715181	3715181	SIRpcauniform
2622289	2622289	SIRpcauniform
2735933	2735933	SIRpcauniform
4346194	4346194	SIRpcauniform
3065677	3065677	SIRpcauniform
4229105	4229105	SIRpcauniform
5690280	5690280	SIRpcauniform
5796175	5796175	SIRpcauniform
2501490	2501490	SIRpcauniform
2114609	2114609	SIRpcauniform
5989735	5989735	SIRpcauniform
3719477	3719477	SIRpcauniform
5774183	5774183	SIRpcauniform
4987135	4987135	SIRpcauniform
3837800	3837800	SIRpcauniform
5744080	5744080	SIRpcauniform
2164927	2164927	SIRpcauniform
2987779	2987779	SIRpcauniform
3136808	3136808	SIRpcauniform
2296910	2296910	SIRpcauniform
5220944	5220944	SIRpcauniform
2880889	2880889	SIRpcauniform
5417301	5417301	SIRpcauniform
3876830	3876830	SIRpcauniform
1504971	1504971	SIRpcauniform
4170915	4170915	SIRpcauniform
1526503	1526503	SIRpcauniform
1646110	1646110	SIRpcauniform
5094765	5094765	SIRpcauniform
1046101	1046101	SIRpcauniform
1288630	1288630	SIRpcauniform
1488861	1488861	SIRpcauniform
3697325	3697325	SIRpcauniform
2017440	2017440	SIRpcauniform
4774813	4774813	SIRpcauniform
2036625	2036625	SIRpcauniform
3178403	3178403	SIRpcauniform
1694074	1694074	SIRpcauniform
1207467	1207467	SIRpcauniform
2780197	2780197	SIRpcauniform
4994364	4994364	SIRpcauniform
3412934	3412934	SIRpcauniform
5015994	5015994	SIRpcauniform
5601134	5601134	SIRpcauniform
3872221	3872221	SIRpcauniform
2744214	2744214	SIRpcauniform
1109169	1109169	SIRpcauniform
2990865	2990865	SIRpcauniform
4755896	4755896	SIRpcauniform
2835637	2835637	SIRpcauniform
2398050	2398050	SIRpcauniform
3132008	3132008	SIRpcauniform
3027197	3027197	SIRpcauniform
1876425	1876425	SIRpcauniform
2697086	2697086	SIRpcauniform
1514333	1514333	SIRpcauniform
1346775	1346775	SIRpcauniform
1512245	1512245	SIRpcauniform
3785440	3785440	SIRpcauniform
2989391	2989391	SIRpcauniform
5009650	5009650	SIRpcauniform
3041184	3041184	SIRpcauniform
5294994	5294994	SIRpcauniform
4880601	4880601	SIRpcauniform
1738097	1738097	SIRpcauniform
2885383	2885383	SIRpcauniform
3013564	3013564	SIRpcauniform
2886481	2886481	SIRpcauniform
1018088	1018088	SIRpcauniform
4811936	4811936	SIRpcauniform
1615169	1615169	SIRpcauniform
3297488	3297488	SIRpcauniform
5245729	5245729	SIRpcauniform
5902565	5902565	SIRpcauniform
3279738	3279738	SIRpcauniform
4741520	4741520	SIRpcauniform
5916333	5916333	SIRpcauniform
3649182	3649182	SIRpcauniform
5543856	5543856	SIRpcauniform
2217666	2217666	SIRpcauniform
1387290	1387290	SIRpcauniform
1833881	1833881	SIRpcauniform
3200631	3200631	SIRpcauniform
3664808	3664808	SIRpcauniform
4817829	4817829	SIRpcauniform
2707044	2707044	SIRpcauniform
4772529	4772529	SIRpcauniform
2830055	2830055	SIRpcauniform
5154991	5154991	SIRpcauniform
3367963	3367963	SIRpcauniform
5569025	5569025	SIRpcauniform
5638843	5638843	SIRpcauniform
3027716	3027716	SIRpcauniform
5359680	5359680	SIRpcauniform
2388980	2388980	SIRpcauniform
2659149	2659149	SIRpcauniform
1399045	1399045	SIRpcauniform
4891000	4891000	SIRpcauniform
1209436	1209436	SIRpcauniform
2771387	2771387	SIRpcauniform
3788584	3788584	SIRpcauniform
2255728	2255728	SIRpcauniform
5247518	5247518	SIRpcauniform
4856940	4856940	SIRpcauniform
4518586	4518586	SIRpcauniform
2220232	2220232	SIRpcauniform
5258221	5258221	SIRpcauniform
5158303	5158303	SIRpcauniform
3148672	3148672	SIRpcauniform
3671615	3671615	SIRpcauniform
2798537	2798537	SIRpcauniform
1893869	1893869	SIRpcauniform
3454641	3454641	SIRpcauniform
4153378	4153378	SIRpcauniform
1657521	1657521	SIRpcauniform
3534191	3534191	SIRpcauniform
1438433	1438433	SIRpcauniform
3052843	3052843	SIRpcauniform
1270776	1270776	SIRpcauniform
4346194	4346194	SIRpcauniform
4064057	4064057	SIRpcauniform
4524146	4524146	SIRpcauniform
3161284	3161284	SIRpcauniform
3967384	3967384	SIRpcauniform
1704145	1704145	SIRpcauniform
2340142	2340142	SIRpcauniform
2777325	2777325	SIRpcauniform
2801620	2801620	SIRpcauniform
4204710	4204710	SIRpcauniform
4979961	4979961	SIRpcauniform
2687955	2687955	SIRpcauniform
2644866	2644866	SIRpcauniform
1455743	1455743	SIRpcauniform
4516506	4516506	SIRpcauniform
4386851	4386851	SIRpcauniform
5562303	5562303	SIRpcauniform
1497633	1497633	SIRpcauniform
5996917	5996917	SIRpcauniform
2774744	2774744	SIRpcauniform
5691822	5691822	SIRpcauniform
3967384	3967384	SIRpcauniform
5208062	5208062	SIRpcauniform
1331689	1331689	SIRpcauniform
2029762	2029762	SIRpcauniform
3914367	3914367	SIRpcauniform
5131967	5131967	SIRpcauniform
3175978	3175978	SIRpcauniform
2675754	2675754	SIRpcauniform
4302217	4302217	SIRpcauniform
1713577	1713577	SIRpcauniform
3378128	3378128	SIRpcauniform
4300640	4300640	SIRpcauniform
2952818	2952818	SIRpcauniform
4821203	4821203	SIRpcauniform
1371690	1371690	SIRpcauniform
1667329	1667329	SIRpcauniform
4983679	4983679	SIRpcauniform
1205017	1205017	SIRpcauniform
2899619	2899619	SIRpcauniform
3980991	3980991	SIRpcauniform
1670103	1670103	SIRpcauniform
3789664	3789664	SIRpcauniform
5494335	5494335	SIRpcauniform
3391883	3391883	SIRpcauniform
3957755	3957755	SIRpcauniform
4506211	4506211	SIRpcauniform
1441710	1441710	SIRpcauniform
4896065	4896065	SIRpcauniform
4570515	4570515	SIRpcauniform
1270959	1270959	SIRpcauniform
3425362	3425362	SIRpcauniform
4941634	4941634	SIRpcauniform
4253990	4253990	SIRpcauniform
4038473	4038473	SIRpcauniform
5149908	5149908	SIRpcauniform
4475244	4475244	SIRpcauniform
5839031	5839031	SIRpcauniform
3971560	3971560	SIRpcauniform
2795521	2795521	SIRpcauniform
5395982	5395982	SIRpcauniform
3657274	3657274	SIRpcauniform
5009650	5009650	SIRpcauniform
1833150	1833150	SIRpcauniform
5369603	5369603	SIRpcauniform
5125007	5125007	SIRpcauniform
2385367	2385367	SIRpcauniform
4358610	4358610	SIRpcauniform
5210860	5210860	SIRpcauniform
1716806	1716806	SIRpcauniform
2774744	2774744	SIRpcauniform
3781859	3781859	SIRpcauniform
2347510	2347510	SIRpcauniform
1646110	1646110	SIRpcauniform
5925999	5925999	SIRpcauniform
1373754	1373754	SIRpcauniform
3330874	3330874	SIRpcauniform
2867796	2867796	SIRpcauniform
5192856	5192856	SIRpcauniform
1526503	1526503	SIRpcauniform
4358648	4358648	SIRpcauniform
5334931	5334931	SIRpcauniform
5925348	5925348	SIRpcauniform
3333921	3333921	SIRpcauniform
2032506	2032506	SIRpcauniform
5880434	5880434	SIRpcauniform
5351137	5351137	SIRpcauniform
4680948	4680948	SIRpcauniform
1143250	1143250	SIRpcauniform
2784359	2784359	SIRpcauniform
3273550	3273550	SIRpcauniform
3209262	3209262	SIRpcauniform
4163653	4163653	SIRpcauniform
4216854	4216854	SIRpcauniform
3375292	3375292	SIRpcauniform
2303903	2303903	SIRpcauniform
4513126	4513126	SIRpcauniform
5208062	5208062	SIRpcauniform
5097774	5097774	SIRpcauniform
3200981	3200981	SIRpcauniform
5143496	5143496	SIRpcauniform
1967143	1967143	SIRpcauniform
5417301	5417301	SIRpcauniform
2769056	2769056	SIRpcauniform
5434208	5434208	SIRpcauniform
4521373	4521373	SIRpcauniform
3760652	3760652	SIRpcauniform
3441131	3441131	SIRpcauniform
1935464	1935464	SIRpcauniform
1030229	1030229	SIRpcauniform
5154862	5154862	SIRpcauniform
4173848	4173848	SIRpcauniform
5659796	5659796	SIRpcauniform
5798666	5798666	SIRpcauniform
4795754	4795754	SIRpcauniform
4433974	4433974	SIRpcauniform
5968962	5968962	SIRpcauniform
1610443	1610443	SIRpcauniform
4255320	4255320	SIRpcauniform
5835222	5835222	SIRpcauniform
2274830	2274830	SIRpcauniform
3990602	3990602	SIRpcauniform
1611912	1611912	SIRpcauniform
5115393	5115393	SIRpcauniform
2819161	2819161	SIRpcauniform
2168624	2168624	SIRpcauniform
4721445	4721445	SIRpcauniform
2383811	2383811	SIRpcauniform
4802584	4802584	SIRpcauniform
5902565	5902565	SIRpcauniform
1587689	1587689	SIRpcauniform
2349148	2349148	SIRpcauniform
3713880	3713880	SIRpcauniform
1588212	1588212	SIRpcauniform
2146874	2146874	SIRpcauniform
2185862	2185862	SIRpcauniform
5996764	5996764	SIRpcauniform
4837661	4837661	SIRpcauniform
4132491	4132491	SIRpcauniform
3997653	3997653	SIRpcauniform
5954996	5954996	SIRpcauniform
5744874	5744874	SIRpcauniform
1166672	1166672	SIRpcauniform
1175295	1175295	SIRpcauniform
1860029	1860029	SIRpcauniform
2566592	2566592	SIRpcauniform
2904993	2904993	SIRpcauniform
4880258	4880258	SIRpcauniform
3445374	3445374	SIRpcauniform
1455743	1455743	SIRpcauniform
1223855	1223855	SIRpcauniform
4582310	4582310	SIRpcauniform
