X1	X2	Clust
5852567	5852567	closest10kgeo
1897744	1897744	closest10kgeo
1214763	1214763	closest10kgeo
2054714	2054714	closest10kgeo
3102800	3102800	closest10kgeo
5707740	5707740	closest10kgeo
4722531	4722531	closest10kgeo
4540907	4540907	closest10kgeo
4323362	4323362	closest10kgeo
5949085	5949085	closest10kgeo
5280352	5280352	closest10kgeo
1102044	1102044	closest10kgeo
3580164	3580164	closest10kgeo
1381959	1381959	closest10kgeo
4262927	4262927	closest10kgeo
5699543	5699543	closest10kgeo
3025162	3025162	closest10kgeo
2637589	2637589	closest10kgeo
2608338	2608338	closest10kgeo
4525413	4525413	closest10kgeo
2140849	2140849	closest10kgeo
3008279	3008279	closest10kgeo
1595065	1595065	closest10kgeo
5900664	5900664	closest10kgeo
3787303	3787303	closest10kgeo
1556099	1556099	closest10kgeo
4538525	4538525	closest10kgeo
3058409	3058409	closest10kgeo
2130772	2130772	closest10kgeo
3834481	3834481	closest10kgeo
3638769	3638769	closest10kgeo
2589530	2589530	closest10kgeo
3391254	3391254	closest10kgeo
1685366	1685366	closest10kgeo
3188706	3188706	closest10kgeo
3529858	3529858	closest10kgeo
2050203	2050203	closest10kgeo
2612649	2612649	closest10kgeo
5552424	5552424	closest10kgeo
4430866	4430866	closest10kgeo
4398814	4398814	closest10kgeo
4773503	4773503	closest10kgeo
2884538	2884538	closest10kgeo
5985558	5985558	closest10kgeo
4933843	4933843	closest10kgeo
4513779	4513779	closest10kgeo
1418265	1418265	closest10kgeo
1436272	1436272	closest10kgeo
4209356	4209356	closest10kgeo
4672674	4672674	closest10kgeo
4120200	4120200	closest10kgeo
5481171	5481171	closest10kgeo
3622149	3622149	closest10kgeo
3614247	3614247	closest10kgeo
1676471	1676471	closest10kgeo
5158706	5158706	closest10kgeo
5119200	5119200	closest10kgeo
3167107	3167107	closest10kgeo
4572095	4572095	closest10kgeo
3906612	3906612	closest10kgeo
2254790	2254790	closest10kgeo
1866622	1866622	closest10kgeo
3297080	3297080	closest10kgeo
2808246	2808246	closest10kgeo
2726876	2726876	closest10kgeo
2672940	2672940	closest10kgeo
1873883	1873883	closest10kgeo
2069559	2069559	closest10kgeo
5179715	5179715	closest10kgeo
5778882	5778882	closest10kgeo
2092791	2092791	closest10kgeo
4605816	4605816	closest10kgeo
2466493	2466493	closest10kgeo
1077849	1077849	closest10kgeo
1027602	1027602	closest10kgeo
2396802	2396802	closest10kgeo
1839402	1839402	closest10kgeo
3103885	3103885	closest10kgeo
2705467	2705467	closest10kgeo
3965344	3965344	closest10kgeo
5218247	5218247	closest10kgeo
1599171	1599171	closest10kgeo
5714646	5714646	closest10kgeo
1057347	1057347	closest10kgeo
3543301	3543301	closest10kgeo
5021305	5021305	closest10kgeo
4671369	4671369	closest10kgeo
2820028	2820028	closest10kgeo
2637816	2637816	closest10kgeo
5233489	5233489	closest10kgeo
1947559	1947559	closest10kgeo
1919699	1919699	closest10kgeo
1249264	1249264	closest10kgeo
3744805	3744805	closest10kgeo
5297704	5297704	closest10kgeo
5234479	5234479	closest10kgeo
3615909	3615909	closest10kgeo
1267976	1267976	closest10kgeo
4252420	4252420	closest10kgeo
4055294	4055294	closest10kgeo
2478195	2478195	closest10kgeo
1139462	1139462	closest10kgeo
2461787	2461787	closest10kgeo
3684562	3684562	closest10kgeo
1125190	1125190	closest10kgeo
2620212	2620212	closest10kgeo
5264664	5264664	closest10kgeo
2919797	2919797	closest10kgeo
1662903	1662903	closest10kgeo
3732872	3732872	closest10kgeo
4940498	4940498	closest10kgeo
2649754	2649754	closest10kgeo
5682821	5682821	closest10kgeo
5109465	5109465	closest10kgeo
4831025	4831025	closest10kgeo
5902228	5902228	closest10kgeo
4067440	4067440	closest10kgeo
5451065	5451065	closest10kgeo
4881579	4881579	closest10kgeo
4691187	4691187	closest10kgeo
1233889	1233889	closest10kgeo
5399270	5399270	closest10kgeo
3558331	3558331	closest10kgeo
5265436	5265436	closest10kgeo
2963479	2963479	closest10kgeo
3294103	3294103	closest10kgeo
2235310	2235310	closest10kgeo
1536561	1536561	closest10kgeo
4858791	4858791	closest10kgeo
1812076	1812076	closest10kgeo
5656755	5656755	closest10kgeo
4630360	4630360	closest10kgeo
5196337	5196337	closest10kgeo
2365392	2365392	closest10kgeo
1709415	1709415	closest10kgeo
5243776	5243776	closest10kgeo
5313479	5313479	closest10kgeo
4536615	4536615	closest10kgeo
3184111	3184111	closest10kgeo
5146612	5146612	closest10kgeo
4322629	4322629	closest10kgeo
1355252	1355252	closest10kgeo
2278307	2278307	closest10kgeo
1505433	1505433	closest10kgeo
1896448	1896448	closest10kgeo
1859110	1859110	closest10kgeo
3072680	3072680	closest10kgeo
5046451	5046451	closest10kgeo
5651542	5651542	closest10kgeo
5692641	5692641	closest10kgeo
2805329	2805329	closest10kgeo
1073804	1073804	closest10kgeo
3137689	3137689	closest10kgeo
5144037	5144037	closest10kgeo
1541712	1541712	closest10kgeo
2818852	2818852	closest10kgeo
3446653	3446653	closest10kgeo
2974760	2974760	closest10kgeo
5221348	5221348	closest10kgeo
2578511	2578511	closest10kgeo
3497005	3497005	closest10kgeo
2452583	2452583	closest10kgeo
4400327	4400327	closest10kgeo
3418273	3418273	closest10kgeo
5583509	5583509	closest10kgeo
5278060	5278060	closest10kgeo
2626732	2626732	closest10kgeo
