X1	X2	Clust
5859874	5859874	closest10kpca
1406073	1406073	closest10kpca
1103952	1103952	closest10kpca
1568735	1568735	closest10kpca
3035371	3035371	closest10kpca
5567185	5567185	closest10kpca
4131026	4131026	closest10kpca
3948417	3948417	closest10kpca
3698312	3698312	closest10kpca
5973914	5973914	closest10kpca
5156295	5156295	closest10kpca
5664431	5664431	closest10kpca
3535749	3535749	closest10kpca
5991337	5991337	closest10kpca
4174526	4174526	closest10kpca
5494694	5494694	closest10kpca
2826092	2826092	closest10kpca
2442189	2442189	closest10kpca
2418983	2418983	closest10kpca
4425449	4425449	closest10kpca
2079128	2079128	closest10kpca
2669203	2669203	closest10kpca
1147702	1147702	closest10kpca
5481707	5481707	closest10kpca
3399658	3399658	closest10kpca
1611842	1611842	closest10kpca
3947527	3947527	closest10kpca
2867189	2867189	closest10kpca
2072746	2072746	closest10kpca
3797522	3797522	closest10kpca
3086512	3086512	closest10kpca
2587667	2587667	closest10kpca
3286679	3286679	closest10kpca
1579703	1579703	closest10kpca
3105742	3105742	closest10kpca
3379232	3379232	closest10kpca
1968552	1968552	closest10kpca
2066729	2066729	closest10kpca
5649064	5649064	closest10kpca
3806036	3806036	closest10kpca
4084875	4084875	closest10kpca
4468841	4468841	closest10kpca
2519576	2519576	closest10kpca
5883128	5883128	closest10kpca
5079930	5079930	closest10kpca
4136480	4136480	closest10kpca
5952433	5952433	closest10kpca
1425957	1425957	closest10kpca
3865939	3865939	closest10kpca
4308321	4308321	closest10kpca
4010722	4010722	closest10kpca
5345542	5345542	closest10kpca
3274454	3274454	closest10kpca
3073591	3073591	closest10kpca
1543047	1543047	closest10kpca
4905332	4905332	closest10kpca
5292973	5292973	closest10kpca
2743001	2743001	closest10kpca
4277689	4277689	closest10kpca
3769321	3769321	closest10kpca
2197147	2197147	closest10kpca
1850664	1850664	closest10kpca
3096153	3096153	closest10kpca
2441093	2441093	closest10kpca
2270518	2270518	closest10kpca
2223246	2223246	closest10kpca
1804852	1804852	closest10kpca
2069979	2069979	closest10kpca
4619373	4619373	closest10kpca
5467733	5467733	closest10kpca
2117077	2117077	closest10kpca
4323965	4323965	closest10kpca
2471580	2471580	closest10kpca
1005155	1005155	closest10kpca
5650643	5650643	closest10kpca
2397854	2397854	closest10kpca
1345799	1345799	closest10kpca
2665714	2665714	closest10kpca
2731862	2731862	closest10kpca
3542813	3542813	closest10kpca
5041023	5041023	closest10kpca
1562971	1562971	closest10kpca
5617730	5617730	closest10kpca
6018584	6018584	closest10kpca
3480560	3480560	closest10kpca
4440880	4440880	closest10kpca
4078459	4078459	closest10kpca
2798097	2798097	closest10kpca
2443329	2443329	closest10kpca
5052320	5052320	closest10kpca
1985140	1985140	closest10kpca
1963274	1963274	closest10kpca
1109205	1109205	closest10kpca
3555139	3555139	closest10kpca
5065810	5065810	closest10kpca
4971662	4971662	closest10kpca
3268881	3268881	closest10kpca
5848180	5848180	closest10kpca
3865010	3865010	closest10kpca
4101657	4101657	closest10kpca
2416534	2416534	closest10kpca
1049366	1049366	closest10kpca
2286792	2286792	closest10kpca
3703168	3703168	closest10kpca
5965415	5965415	closest10kpca
2623023	2623023	closest10kpca
5079261	5079261	closest10kpca
2878827	2878827	closest10kpca
1309419	1309419	closest10kpca
3530562	3530562	closest10kpca
5092865	5092865	closest10kpca
2649209	2649209	closest10kpca
5301763	5301763	closest10kpca
4955071	4955071	closest10kpca
4528757	4528757	closest10kpca
5545221	5545221	closest10kpca
3784760	3784760	closest10kpca
5305051	5305051	closest10kpca
4279447	4279447	closest10kpca
4832142	4832142	closest10kpca
5820160	5820160	closest10kpca
5128678	5128678	closest10kpca
3031057	3031057	closest10kpca
5090304	5090304	closest10kpca
2454954	2454954	closest10kpca
3209417	3209417	closest10kpca
2147016	2147016	closest10kpca
1448480	1448480	closest10kpca
4801154	4801154	closest10kpca
1712110	1712110	closest10kpca
5467296	5467296	closest10kpca
4732235	4732235	closest10kpca
4849618	4849618	closest10kpca
2394152	2394152	closest10kpca
1219005	1219005	closest10kpca
4907874	4907874	closest10kpca
5147646	5147646	closest10kpca
3945487	3945487	closest10kpca
2748303	2748303	closest10kpca
4563583	4563583	closest10kpca
4199661	4199661	closest10kpca
1223824	1223824	closest10kpca
1819039	1819039	closest10kpca
1436656	1436656	closest10kpca
1386997	1386997	closest10kpca
1381527	1381527	closest10kpca
2869391	2869391	closest10kpca
4487282	4487282	closest10kpca
5135891	5135891	closest10kpca
5603500	5603500	closest10kpca
2786516	2786516	closest10kpca
5660111	5660111	closest10kpca
3040691	3040691	closest10kpca
5325179	5325179	closest10kpca
1474248	1474248	closest10kpca
2274544	2274544	closest10kpca
3259816	3259816	closest10kpca
2874757	2874757	closest10kpca
4816937	4816937	closest10kpca
2044983	2044983	closest10kpca
3295292	3295292	closest10kpca
1917636	1917636	closest10kpca
4271139	4271139	closest10kpca
2889579	2889579	closest10kpca
5506066	5506066	closest10kpca
5403885	5403885	closest10kpca
2229622	2229622	closest10kpca
2072484	2072484	closest10kpca
5448162	5448162	closest10kpca
2648049	2648049	closest10kpca
1110524	1110524	closest10kpca
5683412	5683412	closest10kpca
5823651	5823651	closest10kpca
4223617	4223617	closest10kpca
2276829	2276829	closest10kpca
1321669	1321669	closest10kpca
5429347	5429347	closest10kpca
5493707	5493707	closest10kpca
2020591	2020591	closest10kpca
3944454	3944454	closest10kpca
4625177	4625177	closest10kpca
3777271	3777271	closest10kpca
5729856	5729856	closest10kpca
3830570	3830570	closest10kpca
2397835	2397835	closest10kpca
3219481	3219481	closest10kpca
1999727	1999727	closest10kpca
3459032	3459032	closest10kpca
1391392	1391392	closest10kpca
4818848	4818848	closest10kpca
2606651	2606651	closest10kpca
1336180	1336180	closest10kpca
4835381	4835381	closest10kpca
2474693	2474693	closest10kpca
3019364	3019364	closest10kpca
3032302	3032302	closest10kpca
3985562	3985562	closest10kpca
5147904	5147904	closest10kpca
2364377	2364377	closest10kpca
4420749	4420749	closest10kpca
4787604	4787604	closest10kpca
3129667	3129667	closest10kpca
3545811	3545811	closest10kpca
1146520	1146520	closest10kpca
4541446	4541446	closest10kpca
1919423	1919423	closest10kpca
5543278	5543278	closest10kpca
5761849	5761849	closest10kpca
4404134	4404134	closest10kpca
3475003	3475003	closest10kpca
3557475	3557475	closest10kpca
3769810	3769810	closest10kpca
3306245	3306245	closest10kpca
3747337	3747337	closest10kpca
5686100	5686100	closest10kpca
4236898	4236898	closest10kpca
3890299	3890299	closest10kpca
5201153	5201153	closest10kpca
1275136	1275136	closest10kpca
2198708	2198708	closest10kpca
2208182	2208182	closest10kpca
5960172	5960172	closest10kpca
2008251	2008251	closest10kpca
2432687	2432687	closest10kpca
4219731	4219731	closest10kpca
2965342	2965342	closest10kpca
4721360	4721360	closest10kpca
2125657	2125657	closest10kpca
3516652	3516652	closest10kpca
1261483	1261483	closest10kpca
4068015	4068015	closest10kpca
1658216	1658216	closest10kpca
3445946	3445946	closest10kpca
1383437	1383437	closest10kpca
4387537	4387537	closest10kpca
5599497	5599497	closest10kpca
1876572	1876572	closest10kpca
4368902	4368902	closest10kpca
1252950	1252950	closest10kpca
3922856	3922856	closest10kpca
1860967	1860967	closest10kpca
2917799	2917799	closest10kpca
1655463	1655463	closest10kpca
2167180	2167180	closest10kpca
4677480	4677480	closest10kpca
4313325	4313325	closest10kpca
2555451	2555451	closest10kpca
3574942	3574942	closest10kpca
4546543	4546543	closest10kpca
3739816	3739816	closest10kpca
4154386	4154386	closest10kpca
4326218	4326218	closest10kpca
4638498	4638498	closest10kpca
1561257	1561257	closest10kpca
1405156	1405156	closest10kpca
2406814	2406814	closest10kpca
2163597	2163597	closest10kpca
4348449	4348449	closest10kpca
3457573	3457573	closest10kpca
2167639	2167639	closest10kpca
3715945	3715945	closest10kpca
5618258	5618258	closest10kpca
3501740	3501740	closest10kpca
1326375	1326375	closest10kpca
1604840	1604840	closest10kpca
1259510	1259510	closest10kpca
3390502	3390502	closest10kpca
5754710	5754710	closest10kpca
5656143	5656143	closest10kpca
1194021	1194021	closest10kpca
3382111	3382111	closest10kpca
2923154	2923154	closest10kpca
3735003	3735003	closest10kpca
4832972	4832972	closest10kpca
2156564	2156564	closest10kpca
5324323	5324323	closest10kpca
4364674	4364674	closest10kpca
5268651	5268651	closest10kpca
5566671	5566671	closest10kpca
4989358	4989358	closest10kpca
5400456	5400456	closest10kpca
5800811	5800811	closest10kpca
3725848	3725848	closest10kpca
4865293	4865293	closest10kpca
1009899	1009899	closest10kpca
3630041	3630041	closest10kpca
2158693	2158693	closest10kpca
1994032	1994032	closest10kpca
4319344	4319344	closest10kpca
4201620	4201620	closest10kpca
1625594	1625594	closest10kpca
2889091	2889091	closest10kpca
3434118	3434118	closest10kpca
1888545	1888545	closest10kpca
1524247	1524247	closest10kpca
2225757	2225757	closest10kpca
5855833	5855833	closest10kpca
4070008	4070008	closest10kpca
3321069	3321069	closest10kpca
3256889	3256889	closest10kpca
2618456	2618456	closest10kpca
1901074	1901074	closest10kpca
4703140	4703140	closest10kpca
5315981	5315981	closest10kpca
2236895	2236895	closest10kpca
2012925	2012925	closest10kpca
5416459	5416459	closest10kpca
2941482	2941482	closest10kpca
3105803	3105803	closest10kpca
5047107	5047107	closest10kpca
4449699	4449699	closest10kpca
2031546	2031546	closest10kpca
4372413	4372413	closest10kpca
1237398	1237398	closest10kpca
2907306	2907306	closest10kpca
4905749	4905749	closest10kpca
4355518	4355518	closest10kpca
3184271	3184271	closest10kpca
2049964	2049964	closest10kpca
5372404	5372404	closest10kpca
3437270	3437270	closest10kpca
5100350	5100350	closest10kpca
3737786	3737786	closest10kpca
1467728	1467728	closest10kpca
3773886	3773886	closest10kpca
3550193	3550193	closest10kpca
3755110	3755110	closest10kpca
3886692	3886692	closest10kpca
1529760	1529760	closest10kpca
3008843	3008843	closest10kpca
2591203	2591203	closest10kpca
5591685	5591685	closest10kpca
3817605	3817605	closest10kpca
4696252	4696252	closest10kpca
4238483	4238483	closest10kpca
1435274	1435274	closest10kpca
3318001	3318001	closest10kpca
4806634	4806634	closest10kpca
1876134	1876134	closest10kpca
5393542	5393542	closest10kpca
5867127	5867127	closest10kpca
5423429	5423429	closest10kpca
1282715	1282715	closest10kpca
5515989	5515989	closest10kpca
1066239	1066239	closest10kpca
3643151	3643151	closest10kpca
4654536	4654536	closest10kpca
3433138	3433138	closest10kpca
2749533	2749533	closest10kpca
5335973	5335973	closest10kpca
1200023	1200023	closest10kpca
3397441	3397441	closest10kpca
3422710	3422710	closest10kpca
3051019	3051019	closest10kpca
