X1	X2	Clust
4027614	4027614	uniform
1050603	1050603	uniform
2036595	2036595	uniform
2018050	2018050	uniform
2007123	2007123	uniform
4829703	4829703	uniform
3733808	3733808	uniform
2213387	2213387	uniform
4701192	4701192	uniform
3195602	3195602	uniform
3343657	3343657	uniform
4584229	4584229	uniform
5449517	5449517	uniform
4357307	4357307	uniform
4080426	4080426	uniform
1310218	1310218	uniform
4394954	4394954	uniform
3499605	3499605	uniform
4560206	4560206	uniform
4966307	4966307	uniform
1631251	1631251	uniform
4603930	4603930	uniform
3491650	3491650	uniform
2793633	2793633	uniform
1925331	1925331	uniform
3937837	3937837	uniform
3915227	3915227	uniform
1310821	1310821	uniform
4919046	4919046	uniform
2397748	2397748	uniform
4426248	4426248	uniform
3739006	3739006	uniform
4552019	4552019	uniform
2375561	2375561	uniform
1059466	1059466	uniform
5822725	5822725	uniform
4331140	4331140	uniform
1831838	1831838	uniform
3021743	3021743	uniform
5660751	5660751	uniform
3946062	3946062	uniform
2261279	2261279	uniform
2541556	2541556	uniform
2386134	2386134	uniform
2805091	2805091	uniform
4812457	4812457	uniform
3442650	3442650	uniform
1023640	1023640	uniform
1280150	1280150	uniform
5022172	5022172	uniform
5812476	5812476	uniform
5907442	5907442	uniform
3356594	3356594	uniform
2835183	2835183	uniform
4523025	4523025	uniform
2321611	2321611	uniform
2978450	2978450	uniform
3937376	3937376	uniform
2773857	2773857	uniform
3809220	3809220	uniform
3789840	3789840	uniform
5603237	5603237	uniform
5195244	5195244	uniform
5698830	5698830	uniform
5561362	5561362	uniform
2884122	2884122	uniform
3856261	3856261	uniform
4033174	4033174	uniform
3875400	3875400	uniform
5125291	5125291	uniform
5992618	5992618	uniform
3395558	3395558	uniform
5230686	5230686	uniform
1391748	1391748	uniform
3565697	3565697	uniform
5919898	5919898	uniform
1816845	1816845	uniform
3297067	3297067	uniform
1004928	1004928	uniform
4975179	4975179	uniform
3845906	3845906	uniform
1276138	1276138	uniform
1210721	1210721	uniform
4224888	4224888	uniform
4671154	4671154	uniform
3147677	3147677	uniform
2277624	2277624	uniform
1451775	1451775	uniform
2563403	2563403	uniform
5937028	5937028	uniform
1533329	1533329	uniform
4504173	4504173	uniform
4149050	4149050	uniform
4027581	4027581	uniform
2810101	2810101	uniform
1356628	1356628	uniform
2499191	2499191	uniform
