X1	X2	Clust
3403551	3403551	uniformgeoIS
4977015	4977015	uniformgeoIS
5533705	5533705	uniformgeoIS
3229825	3229825	uniformgeoIS
3400607	3400607	uniformgeoIS
2214182	2214182	uniformgeoIS
3933057	3933057	uniformgeoIS
2100581	2100581	uniformgeoIS
4755862	4755862	uniformgeoIS
1800679	1800679	uniformgeoIS
3016419	3016419	uniformgeoIS
2572397	2572397	uniformgeoIS
4183078	4183078	uniformgeoIS
3280825	3280825	uniformgeoIS
4192615	4192615	uniformgeoIS
4819257	4819257	uniformgeoIS
1944387	1944387	uniformgeoIS
4657634	4657634	uniformgeoIS
2524665	2524665	uniformgeoIS
1322587	1322587	uniformgeoIS
5260431	5260431	uniformgeoIS
3257926	3257926	uniformgeoIS
4915597	4915597	uniformgeoIS
2616132	2616132	uniformgeoIS
1044288	1044288	uniformgeoIS
2024290	2024290	uniformgeoIS
1991859	1991859	uniformgeoIS
4058310	4058310	uniformgeoIS
2235952	2235952	uniformgeoIS
3066086	3066086	uniformgeoIS
1804778	1804778	uniformgeoIS
2377405	2377405	uniformgeoIS
4734709	4734709	uniformgeoIS
4201942	4201942	uniformgeoIS
1879725	1879725	uniformgeoIS
1158642	1158642	uniformgeoIS
5963497	5963497	uniformgeoIS
1127226	1127226	uniformgeoIS
4018871	4018871	uniformgeoIS
3586727	3586727	uniformgeoIS
5843000	5843000	uniformgeoIS
3911676	3911676	uniformgeoIS
4221592	4221592	uniformgeoIS
3713192	3713192	uniformgeoIS
2988412	2988412	uniformgeoIS
3157784	3157784	uniformgeoIS
4598978	4598978	uniformgeoIS
1456513	1456513	uniformgeoIS
3974929	3974929	uniformgeoIS
6017574	6017574	uniformgeoIS
4263346	4263346	uniformgeoIS
3977325	3977325	uniformgeoIS
5608046	5608046	uniformgeoIS
5454817	5454817	uniformgeoIS
4555774	4555774	uniformgeoIS
2686711	2686711	uniformgeoIS
2476726	2476726	uniformgeoIS
1330166	1330166	uniformgeoIS
5082751	5082751	uniformgeoIS
5991693	5991693	uniformgeoIS
2585967	2585967	uniformgeoIS
5809745	5809745	uniformgeoIS
2629064	2629064	uniformgeoIS
1780708	1780708	uniformgeoIS
4083301	4083301	uniformgeoIS
1218228	1218228	uniformgeoIS
4142577	4142577	uniformgeoIS
5283338	5283338	uniformgeoIS
4935579	4935579	uniformgeoIS
5234200	5234200	uniformgeoIS
5185953	5185953	uniformgeoIS
5166059	5166059	uniformgeoIS
5191944	5191944	uniformgeoIS
5634174	5634174	uniformgeoIS
6001580	6001580	uniformgeoIS
2806450	2806450	uniformgeoIS
2606627	2606627	uniformgeoIS
1103843	1103843	uniformgeoIS
3129314	3129314	uniformgeoIS
1059568	1059568	uniformgeoIS
4103956	4103956	uniformgeoIS
