X1	X2	Clust
3379042	3379042	uniformpcaIS
5068719	5068719	uniformpcaIS
5563168	5563168	uniformpcaIS
3226458	3226458	uniformpcaIS
3357796	3357796	uniformpcaIS
2274623	2274623	uniformpcaIS
3919508	3919508	uniformpcaIS
2151218	2151218	uniformpcaIS
4726017	4726017	uniformpcaIS
1754193	1754193	uniformpcaIS
3203741	3203741	uniformpcaIS
2578461	2578461	uniformpcaIS
4153712	4153712	uniformpcaIS
3361673	3361673	uniformpcaIS
3965670	3965670	uniformpcaIS
4634562	4634562	uniformpcaIS
1845559	1845559	uniformpcaIS
4900585	4900585	uniformpcaIS
2636060	2636060	uniformpcaIS
1373114	1373114	uniformpcaIS
5253680	5253680	uniformpcaIS
3516505	3516505	uniformpcaIS
4898605	4898605	uniformpcaIS
2744160	2744160	uniformpcaIS
5945118	5945118	uniformpcaIS
2043466	2043466	uniformpcaIS
1939215	1939215	uniformpcaIS
4045103	4045103	uniformpcaIS
2295020	2295020	uniformpcaIS
2996485	2996485	uniformpcaIS
1839341	1839341	uniformpcaIS
2470623	2470623	uniformpcaIS
4676890	4676890	uniformpcaIS
4170626	4170626	uniformpcaIS
1784735	1784735	uniformpcaIS
1145842	1145842	uniformpcaIS
5947972	5947972	uniformpcaIS
1119812	1119812	uniformpcaIS
4011697	4011697	uniformpcaIS
3715538	3715538	uniformpcaIS
5806212	5806212	uniformpcaIS
3896967	3896967	uniformpcaIS
4354667	4354667	uniformpcaIS
3512875	3512875	uniformpcaIS
3108451	3108451	uniformpcaIS
3263487	3263487	uniformpcaIS
4654737	4654737	uniformpcaIS
1356289	1356289	uniformpcaIS
3963918	3963918	uniformpcaIS
5981123	5981123	uniformpcaIS
4240310	4240310	uniformpcaIS
3958160	3958160	uniformpcaIS
5605485	5605485	uniformpcaIS
5268324	5268324	uniformpcaIS
4593078	4593078	uniformpcaIS
2678207	2678207	uniformpcaIS
2566607	2566607	uniformpcaIS
1367085	1367085	uniformpcaIS
5094204	5094204	uniformpcaIS
6014709	6014709	uniformpcaIS
2580883	2580883	uniformpcaIS
5616116	5616116	uniformpcaIS
2692281	2692281	uniformpcaIS
1727871	1727871	uniformpcaIS
4097556	4097556	uniformpcaIS
1162537	1162537	uniformpcaIS
4421221	4421221	uniformpcaIS
5054876	5054876	uniformpcaIS
5119995	5119995	uniformpcaIS
5014462	5014462	uniformpcaIS
5177113	5177113	uniformpcaIS
5190073	5190073	uniformpcaIS
5188462	5188462	uniformpcaIS
5649747	5649747	uniformpcaIS
1017171	1017171	uniformpcaIS
2634447	2634447	uniformpcaIS
2602969	2602969	uniformpcaIS
1005526	1005526	uniformpcaIS
3151895	3151895	uniformpcaIS
5965269	5965269	uniformpcaIS
4066383	4066383	uniformpcaIS
2980963	2980963	uniformpcaIS
3675634	3675634	uniformpcaIS
4144923	4144923	uniformpcaIS
4095930	4095930	uniformpcaIS
1872604	1872604	uniformpcaIS
2350525	2350525	uniformpcaIS
4924447	4924447	uniformpcaIS
4475652	4475652	uniformpcaIS
