chrom,scenario,seed,priv_pca_count,priv_geo_count
1,uniform,1,255.0,
1,uniform,2,268.0,
1,uniform,3,256.0,
1,uniform,4,294.0,
1,uniform,5,298.0,
1,uniform,6,280.0,
1,uniform,7,304.0,
1,uniform,8,270.0,
1,uniform,9,277.0,
1,uniform,10,292.0,
1,5epsilonpca,1,279.0,
1,5epsilonpca,2,302.0,
1,5epsilonpca,3,281.0,
1,5epsilonpca,4,291.0,
1,5epsilonpca,5,294.0,
1,5epsilonpca,6,287.0,
1,5epsilonpca,7,291.0,
1,5epsilonpca,8,309.0,
1,5epsilonpca,9,284.0,
1,5epsilonpca,10,280.0,
1,10epsilonpca,1,289.0,
1,10epsilonpca,2,288.0,
1,10epsilonpca,3,292.0,
1,10epsilonpca,4,283.0,
1,10epsilonpca,5,302.0,
1,10epsilonpca,6,276.0,
1,10epsilonpca,7,312.0,
1,10epsilonpca,8,315.0,
1,10epsilonpca,9,284.0,
1,10epsilonpca,10,278.0,
1,50epsilonpca,1,293.0,
1,50epsilonpca,2,291.0,
1,50epsilonpca,3,296.0,
1,50epsilonpca,4,292.0,
1,50epsilonpca,5,293.0,
1,50epsilonpca,6,255.0,
1,50epsilonpca,7,248.0,
1,50epsilonpca,8,254.0,
1,50epsilonpca,9,267.0,
1,50epsilonpca,10,252.0,
1,100epsilonpca,1,281.0,
1,100epsilonpca,2,293.0,
1,100epsilonpca,3,280.0,
1,100epsilonpca,4,299.0,
1,100epsilonpca,5,269.0,
1,100epsilonpca,6,264.0,
1,100epsilonpca,7,292.0,
1,100epsilonpca,8,299.0,
1,100epsilonpca,9,274.0,
1,100epsilonpca,10,263.0,
1,closest10kpca,1,407.0,
1,closest10kpca,2,407.0,
1,closest10kpca,3,407.0,
1,closest10kpca,4,407.0,
1,closest10kpca,5,407.0,
1,closest10kpca,6,407.0,
1,closest10kpca,7,407.0,
1,closest10kpca,8,407.0,
1,closest10kpca,9,407.0,
1,closest10kpca,10,407.0,
1,5epsilongeo,1,,41.0
1,5epsilongeo,2,,44.0
1,5epsilongeo,3,,42.0
1,5epsilongeo,4,,44.0
1,5epsilongeo,5,,45.0
1,5epsilongeo,6,,45.0
1,5epsilongeo,7,,34.0
1,5epsilongeo,8,,43.0
1,5epsilongeo,9,,40.0
1,5epsilongeo,10,,35.0
1,10epsilongeo,1,,18.0
1,10epsilongeo,2,,19.0
1,10epsilongeo,3,,20.0
1,10epsilongeo,4,,22.0
1,10epsilongeo,5,,24.0
1,10epsilongeo,6,,24.0
1,10epsilongeo,7,,19.0
1,10epsilongeo,8,,17.0
1,10epsilongeo,9,,23.0
1,10epsilongeo,10,,19.0
1,50epsilongeo,1,,17.0
1,50epsilongeo,2,,13.0
1,50epsilongeo,3,,9.0
1,50epsilongeo,4,,11.0
1,50epsilongeo,5,,7.0
1,50epsilongeo,6,,9.0
1,50epsilongeo,7,,10.0
1,50epsilongeo,8,,8.0
1,50epsilongeo,9,,11.0
1,50epsilongeo,10,,14.0
1,closest10kgeo,1,,47.0
1,closest10kgeo,2,,47.0
1,closest10kgeo,3,,47.0
1,closest10kgeo,4,,47.0
1,closest10kgeo,5,,47.0
1,closest10kgeo,6,,47.0
1,closest10kgeo,7,,47.0
1,closest10kgeo,8,,47.0
1,closest10kgeo,9,,47.0
1,closest10kgeo,10,,47.0
1,uniformgeo,1,,12.0
1,uniformgeo,2,,5.0
1,uniformgeo,3,,14.0
1,uniformgeo,4,,8.0
1,uniformgeo,5,,16.0
1,uniformgeo,6,,19.0
1,uniformgeo,7,,11.0
1,uniformgeo,8,,13.0
1,uniformgeo,9,,9.0
1,uniformgeo,10,,8.0
2,uniform,1,198.0,
2,uniform,2,188.0,
2,uniform,3,209.0,
2,uniform,4,204.0,
2,uniform,5,190.0,
2,uniform,6,191.0,
2,uniform,7,184.0,
2,uniform,8,179.0,
2,uniform,9,194.0,
2,uniform,10,188.0,
2,5epsilonpca,1,208.0,
2,5epsilonpca,2,193.0,
2,5epsilonpca,3,197.0,
2,5epsilonpca,4,201.0,
2,5epsilonpca,5,209.0,
2,5epsilonpca,6,217.0,
2,5epsilonpca,7,196.0,
2,5epsilonpca,8,202.0,
2,5epsilonpca,9,184.0,
2,5epsilonpca,10,186.0,
2,10epsilonpca,1,203.0,
2,10epsilonpca,2,180.0,
2,10epsilonpca,3,186.0,
2,10epsilonpca,4,204.0,
2,10epsilonpca,5,169.0,
2,10epsilonpca,6,216.0,
2,10epsilonpca,7,193.0,
2,10epsilonpca,8,185.0,
2,10epsilonpca,9,209.0,
2,10epsilonpca,10,199.0,
2,50epsilonpca,1,216.0,
2,50epsilonpca,2,211.0,
2,50epsilonpca,3,224.0,
2,50epsilonpca,4,199.0,
2,50epsilonpca,5,179.0,
2,50epsilonpca,6,192.0,
2,50epsilonpca,7,200.0,
2,50epsilonpca,8,188.0,
2,50epsilonpca,9,170.0,
2,50epsilonpca,10,183.0,
2,100epsilonpca,1,197.0,
2,100epsilonpca,2,179.0,
2,100epsilonpca,3,178.0,
2,100epsilonpca,4,197.0,
2,100epsilonpca,5,213.0,
2,100epsilonpca,6,190.0,
2,100epsilonpca,7,186.0,
2,100epsilonpca,8,202.0,
2,100epsilonpca,9,189.0,
2,100epsilonpca,10,180.0,
2,closest10kpca,1,278.0,
2,closest10kpca,2,278.0,
2,closest10kpca,3,278.0,
2,closest10kpca,4,278.0,
2,closest10kpca,5,278.0,
2,closest10kpca,6,278.0,
2,closest10kpca,7,278.0,
2,closest10kpca,8,278.0,
2,closest10kpca,9,278.0,
2,closest10kpca,10,278.0,
2,5epsilongeo,1,,26.0
2,5epsilongeo,2,,28.0
2,5epsilongeo,3,,33.0
2,5epsilongeo,4,,44.0
2,5epsilongeo,5,,28.0
2,5epsilongeo,6,,36.0
2,5epsilongeo,7,,37.0
2,5epsilongeo,8,,34.0
2,5epsilongeo,9,,32.0
2,5epsilongeo,10,,24.0
2,10epsilongeo,1,,14.0
2,10epsilongeo,2,,18.0
2,10epsilongeo,3,,11.0
2,10epsilongeo,4,,18.0
2,10epsilongeo,5,,11.0
2,10epsilongeo,6,,14.0
2,10epsilongeo,7,,12.0
2,10epsilongeo,8,,12.0
2,10epsilongeo,9,,16.0
2,10epsilongeo,10,,12.0
2,50epsilongeo,1,,7.0
2,50epsilongeo,2,,6.0
2,50epsilongeo,3,,9.0
2,50epsilongeo,4,,8.0
2,50epsilongeo,5,,6.0
2,50epsilongeo,6,,6.0
2,50epsilongeo,7,,13.0
2,50epsilongeo,8,,8.0
2,50epsilongeo,9,,6.0
2,50epsilongeo,10,,8.0
2,closest10kgeo,1,,28.0
2,closest10kgeo,2,,28.0
2,closest10kgeo,3,,28.0
2,closest10kgeo,4,,28.0
2,closest10kgeo,5,,28.0
2,closest10kgeo,6,,28.0
2,closest10kgeo,7,,28.0
2,closest10kgeo,8,,28.0
2,closest10kgeo,9,,28.0
2,closest10kgeo,10,,28.0
2,uniformgeo,1,,3.0
2,uniformgeo,2,,11.0
2,uniformgeo,3,,6.0
2,uniformgeo,4,,10.0
2,uniformgeo,5,,4.0
2,uniformgeo,6,,6.0
2,uniformgeo,7,,5.0
2,uniformgeo,8,,6.0
2,uniformgeo,9,,4.0
2,uniformgeo,10,,7.0
3,uniform,1,148.0,
3,uniform,2,135.0,
3,uniform,3,162.0,
3,uniform,4,158.0,
3,uniform,5,143.0,
3,uniform,6,158.0,
3,uniform,7,154.0,
3,uniform,8,147.0,
3,uniform,9,146.0,
3,uniform,10,151.0,
3,5epsilonpca,1,155.0,
3,5epsilonpca,2,163.0,
3,5epsilonpca,3,169.0,
