chrom,scenario,seed,priv_pca_count,priv_geo_count
1,uniform,1,23840.0,
1,uniform,2,23494.0,
1,uniform,3,23718.0,
1,uniform,4,23843.0,
1,uniform,5,23447.0,
1,uniform,6,24091.0,
1,uniform,7,23967.0,
1,uniform,8,23292.0,
1,uniform,9,23823.0,
1,uniform,10,23987.0,
1,5epsilonpca,1,25713.0,
1,5epsilonpca,2,25839.0,
1,5epsilonpca,3,25638.0,
1,5epsilonpca,4,25888.0,
1,5epsilonpca,5,25938.0,
1,5epsilonpca,6,25887.0,
1,5epsilonpca,7,26338.0,
1,5epsilonpca,8,25963.0,
1,5epsilonpca,9,25195.0,
1,5epsilonpca,10,25343.0,
1,10epsilonpca,1,25567.0,
1,10epsilonpca,2,25199.0,
1,10epsilonpca,3,25416.0,
1,10epsilonpca,4,25709.0,
1,10epsilonpca,5,25742.0,
1,10epsilonpca,6,25299.0,
1,10epsilonpca,7,25312.0,
1,10epsilonpca,8,25824.0,
1,10epsilonpca,9,25174.0,
1,10epsilonpca,10,25695.0,
1,50epsilonpca,1,24900.0,
1,50epsilonpca,2,24747.0,
1,50epsilonpca,3,25083.0,
1,50epsilonpca,4,25087.0,
1,50epsilonpca,5,24974.0,
1,50epsilonpca,6,24492.0,
1,50epsilonpca,7,25267.0,
1,50epsilonpca,8,25192.0,
1,50epsilonpca,9,24460.0,
1,50epsilonpca,10,25226.0,
1,100epsilonpca,1,24361.0,
1,100epsilonpca,2,24467.0,
1,100epsilonpca,3,23903.0,
1,100epsilonpca,4,24476.0,
1,100epsilonpca,5,23927.0,
1,100epsilonpca,6,24127.0,
1,100epsilonpca,7,24393.0,
1,100epsilonpca,8,24297.0,
1,100epsilonpca,9,24276.0,
1,100epsilonpca,10,24014.0,
1,closest10kpca,1,37737.0,
1,closest10kpca,2,37737.0,
1,closest10kpca,3,37737.0,
1,closest10kpca,4,37737.0,
1,closest10kpca,5,37737.0,
1,closest10kpca,6,37737.0,
1,closest10kpca,7,37737.0,
1,closest10kpca,8,37737.0,
1,closest10kpca,9,37737.0,
1,closest10kpca,10,37737.0,
1,5epsilongeo,1,,22252.0
1,5epsilongeo,2,,22340.0
1,5epsilongeo,3,,22095.0
1,5epsilongeo,4,,22111.0
1,5epsilongeo,5,,21948.0
1,5epsilongeo,6,,22159.0
1,5epsilongeo,7,,22127.0
1,5epsilongeo,8,,22234.0
1,5epsilongeo,9,,22183.0
1,5epsilongeo,10,,22151.0
1,10epsilongeo,1,,9713.0
1,10epsilongeo,2,,9491.0
1,10epsilongeo,3,,9646.0
1,10epsilongeo,4,,9724.0
1,10epsilongeo,5,,9686.0
1,10epsilongeo,6,,9651.0
1,10epsilongeo,7,,9572.0
1,10epsilongeo,8,,9582.0
1,10epsilongeo,9,,9825.0
1,10epsilongeo,10,,9619.0
1,50epsilongeo,1,,4423.0
1,50epsilongeo,2,,4269.0
1,50epsilongeo,3,,4243.0
1,50epsilongeo,4,,4335.0
1,50epsilongeo,5,,4354.0
1,50epsilongeo,6,,4333.0
1,50epsilongeo,7,,4237.0
1,50epsilongeo,8,,4175.0
1,50epsilongeo,9,,4034.0
1,50epsilongeo,10,,4257.0
1,closest10kgeo,1,,22050.0
1,closest10kgeo,2,,22050.0
1,closest10kgeo,3,,22050.0
1,closest10kgeo,4,,22050.0
1,closest10kgeo,5,,22050.0
1,closest10kgeo,6,,22050.0
1,closest10kgeo,7,,22050.0
1,closest10kgeo,8,,22050.0
1,closest10kgeo,9,,22050.0
1,closest10kgeo,10,,22050.0
1,uniformgeo,1,,4430.0
1,uniformgeo,2,,4183.0
1,uniformgeo,3,,4092.0
1,uniformgeo,4,,4170.0
1,uniformgeo,5,,4343.0
1,uniformgeo,6,,4319.0
1,uniformgeo,7,,4337.0
1,uniformgeo,8,,4258.0
1,uniformgeo,9,,4458.0
1,uniformgeo,10,,4200.0
2,uniform,1,17680.0,
2,uniform,2,17533.0,
2,uniform,3,17528.0,
2,uniform,4,17604.0,
2,uniform,5,17430.0,
2,uniform,6,17850.0,
2,uniform,7,18022.0,
2,uniform,8,17343.0,
2,uniform,9,17665.0,
2,uniform,10,17888.0,
2,5epsilonpca,1,19459.0,
2,5epsilonpca,2,19419.0,
2,5epsilonpca,3,19370.0,
2,5epsilonpca,4,19215.0,
2,5epsilonpca,5,19275.0,
2,5epsilonpca,6,19497.0,
2,5epsilonpca,7,19631.0,
2,5epsilonpca,8,19464.0,
2,5epsilonpca,9,19192.0,
2,5epsilonpca,10,19061.0,
2,10epsilonpca,1,19180.0,
2,10epsilonpca,2,18537.0,
2,10epsilonpca,3,19088.0,
2,10epsilonpca,4,19118.0,
2,10epsilonpca,5,18873.0,
2,10epsilonpca,6,18709.0,
2,10epsilonpca,7,18628.0,
2,10epsilonpca,8,19011.0,
2,10epsilonpca,9,18937.0,
2,10epsilonpca,10,19232.0,
2,50epsilonpca,1,18537.0,
2,50epsilonpca,2,18553.0,
2,50epsilonpca,3,18798.0,
