scenario,seed,priv_pca_mean,priv_geo_mean
uniform,1,1.97846718623806e-06,
uniform,2,1.967018984492841e-06,
uniform,3,1.9639671136550366e-06,
uniform,4,1.9899374006764104e-06,
uniform,5,1.946557082099297e-06,
uniform,6,1.9883538652662882e-06,
uniform,7,1.9955686260424557e-06,
uniform,8,1.936341335091955e-06,
uniform,9,1.9697985484393158e-06,
uniform,10,1.980588117036757e-06,
5epsilonpca,1,2.1559975858870004e-06,
5epsilonpca,2,2.14786453763118e-06,
5epsilonpca,3,2.143823123238323e-06,
5epsilonpca,4,2.158175059941272e-06,
5epsilonpca,5,2.1603598105890727e-06,
5epsilonpca,6,2.1515889230159353e-06,
5epsilonpca,7,2.1853945997233368e-06,
5epsilonpca,8,2.1585160721094456e-06,
5epsilonpca,9,2.1294283035210826e-06,
5epsilonpca,10,2.123315717192598e-06,
10epsilonpca,1,2.121149670183742e-06,
10epsilonpca,2,2.10420435787471e-06,
10epsilonpca,3,2.118243050196356e-06,
10epsilonpca,4,2.131413686148349e-06,
10epsilonpca,5,2.1424856733750677e-06,
10epsilonpca,6,2.105254094621989e-06,
10epsilonpca,7,2.104402187767042e-06,
10epsilonpca,8,2.1310862477537094e-06,
10epsilonpca,9,2.1052470774317024e-06,
10epsilonpca,10,2.1496803520168515e-06,
50epsilonpca,1,2.089729801591439e-06,
50epsilonpca,2,2.0732498021634557e-06,
50epsilonpca,3,2.093258813100462e-06,
50epsilonpca,4,2.0741376879156174e-06,
50epsilonpca,5,2.0851077080509623e-06,
50epsilonpca,6,2.0564864130068774e-06,
50epsilonpca,7,2.084573984215978e-06,
50epsilonpca,8,2.0917212452752443e-06,
50epsilonpca,9,2.064578714999477e-06,
50epsilonpca,10,2.0833062789053784e-06,
100epsilonpca,1,2.020474375366137e-06,
100epsilonpca,2,2.0282267094548983e-06,
100epsilonpca,3,1.9958024431462086e-06,
100epsilonpca,4,2.0351179644561024e-06,
100epsilonpca,5,1.9909644629197195e-06,
100epsilonpca,6,2.003364425139965e-06,
100epsilonpca,7,2.023354842185552e-06,
100epsilonpca,8,2.0190806499647564e-06,
100epsilonpca,9,2.0251162883120716e-06,
100epsilonpca,10,1.9999366623748734e-06,
closest10kpca,1,3.1181314469396477e-06,
closest10kpca,2,3.1181314469396477e-06,
closest10kpca,3,3.1181314469396477e-06,
closest10kpca,4,3.1181314469396477e-06,
closest10kpca,5,3.1181314469396477e-06,
closest10kpca,6,3.1181314469396477e-06,
closest10kpca,7,3.1181314469396477e-06,
closest10kpca,8,3.1181314469396477e-06,
closest10kpca,9,3.1181314469396477e-06,
closest10kpca,10,3.1181314469396477e-06,
5epsilongeo,1,,1.8325914451944824e-06
5epsilongeo,2,,1.840883804568672e-06
5epsilongeo,3,,1.8211856462392542e-06
5epsilongeo,4,,1.8281644941618583e-06
5epsilongeo,5,,1.8307820090889753e-06
5epsilongeo,6,,1.8258780160803439e-06
5epsilongeo,7,,1.8172237880134168e-06
5epsilongeo,8,,1.8270285120635085e-06
5epsilongeo,9,,1.83515681415515e-06
5epsilongeo,10,,1.8246852380464014e-06
10epsilongeo,1,,7.871903703218523e-07
10epsilongeo,2,,7.852251058026446e-07
10epsilongeo,3,,7.872503892175326e-07
10epsilongeo,4,,7.855030556359625e-07
10epsilongeo,5,,7.87885604908001e-07
10epsilongeo,6,,7.915686015099967e-07
10epsilongeo,7,,7.842535775588361e-07
10epsilongeo,8,,7.773583754460827e-07
10epsilongeo,9,,7.927324281631775e-07
10epsilongeo,10,,7.808711386443316e-07
50epsilongeo,1,,3.4901019531333167e-07
50epsilongeo,2,,3.511707325318569e-07
50epsilongeo,3,,3.426679332049242e-07
50epsilongeo,4,,3.454931722167513e-07
50epsilongeo,5,,3.4785499735158173e-07
50epsilongeo,6,,3.449880386410648e-07
50epsilongeo,7,,3.4279060559956405e-07
50epsilongeo,8,,3.3818553523160214e-07
50epsilongeo,9,,3.306911811002889e-07
50epsilongeo,10,,3.454356562754511e-07
closest10kgeo,1,,1.917687229520429e-06
closest10kgeo,2,,1.917687229520429e-06
closest10kgeo,3,,1.917687229520429e-06
closest10kgeo,4,,1.917687229520429e-06
closest10kgeo,5,,1.917687229520429e-06
closest10kgeo,6,,1.917687229520429e-06
closest10kgeo,7,,1.917687229520429e-06
closest10kgeo,8,,1.917687229520429e-06
closest10kgeo,9,,1.917687229520429e-06
closest10kgeo,10,,1.917687229520429e-06
uniformgeo,1,,3.4954789655127016e-07
uniformgeo,2,,3.3880297344479175e-07
uniformgeo,3,,3.345870344687699e-07
uniformgeo,4,,3.4381874937121397e-07
uniformgeo,5,,3.4442386947320445e-07
uniformgeo,6,,3.4065668258751514e-07
uniformgeo,7,,3.5401490623103987e-07
uniformgeo,8,,3.5037491331082516e-07
uniformgeo,9,,3.52236418993913e-07
uniformgeo,10,,3.4083070942991315e-07
