scenario,seed,priv_pca_mean,priv_geo_mean
uniform,1,1.4527533641293433e-05,
uniform,2,1.4296354689696725e-05,
uniform,3,1.429835107451295e-05,
uniform,4,1.5197654147419157e-05,
uniform,5,1.5085815424784094e-05,
uniform,6,1.5139666599718816e-05,
uniform,7,1.4931594697730471e-05,
uniform,8,1.44373850170717e-05,
uniform,9,1.4888104036955214e-05,
uniform,10,1.50729082145009e-05,
5epsilonpca,1,1.589274251857803e-05,
5epsilonpca,2,1.6157554729865434e-05,
5epsilonpca,3,1.5860168708576024e-05,
5epsilonpca,4,1.5874137376983325e-05,
5epsilonpca,5,1.624081442056638e-05,
5epsilonpca,6,1.6059251857802775e-05,
5epsilonpca,7,1.621571901988351e-05,
5epsilonpca,8,1.6236412934324164e-05,
5epsilonpca,9,1.5582562763607153e-05,
5epsilonpca,10,1.5243396264310103e-05,
10epsilonpca,1,1.623570998192408e-05,
10epsilonpca,2,1.5441579634464758e-05,
10epsilonpca,3,1.5547909218718617e-05,
10epsilonpca,4,1.6043629242819842e-05,
10epsilonpca,5,1.5784216710182765e-05,
10epsilonpca,6,1.622616589676642e-05,
10epsilonpca,7,1.576133560956015e-05,
10epsilonpca,8,1.5930256075517167e-05,
10epsilonpca,9,1.522213597107853e-05,
10epsilonpca,10,1.572988049809199e-05,
50epsilonpca,1,1.593721530427797e-05,
50epsilonpca,2,1.5538330990158668e-05,
50epsilonpca,3,1.5373463546896963e-05,
50epsilonpca,4,1.5278187387025505e-05,
50epsilonpca,5,1.5580835509138383e-05,
50epsilonpca,6,1.5316238200441854e-05,
50epsilonpca,7,1.5369236794537054e-05,
50epsilonpca,8,1.5679287005422778e-05,
50epsilonpca,9,1.537576923076923e-05,
50epsilonpca,10,1.5520735087366943e-05,
100epsilonpca,1,1.5153849166499294e-05,
100epsilonpca,2,1.550075015063266e-05,
100epsilonpca,3,1.4831896967262506e-05,
100epsilonpca,4,1.4962439244828283e-05,
100epsilonpca,5,1.4678080939947775e-05,
100epsilonpca,6,1.5097991564571202e-05,
100epsilonpca,7,1.4969197630046194e-05,
100epsilonpca,8,1.5528402289616385e-05,
100epsilonpca,9,1.4601591685077327e-05,
100epsilonpca,10,1.4937948383209485e-05,
closest10kpca,1,2.389536553524804e-05,
closest10kpca,2,2.389536553524804e-05,
closest10kpca,3,2.389536553524804e-05,
closest10kpca,4,2.389536553524804e-05,
closest10kpca,5,2.389536553524804e-05,
closest10kpca,6,2.389536553524804e-05,
closest10kpca,7,2.389536553524804e-05,
closest10kpca,8,2.389536553524804e-05,
closest10kpca,9,2.389536553524804e-05,
closest10kpca,10,2.389536553524804e-05,
5epsilongeo,1,,7.821969614165483e-07
5epsilongeo,2,,7.883905344846431e-07
5epsilongeo,3,,7.855516996393049e-07
5epsilongeo,4,,7.750262323751229e-07
5epsilongeo,5,,7.618589463329326e-07
5epsilongeo,6,,7.912531424199365e-07
5epsilongeo,7,,7.605607170182535e-07
5epsilongeo,8,,7.523505301125807e-07
5epsilongeo,9,,6.925915400590228e-07
5epsilongeo,10,,7.380768389987978e-07
10epsilongeo,1,,3.0246037818340796e-07
10epsilongeo,2,,3.227639632746749e-07
10epsilongeo,3,,2.888031478850148e-07
10epsilongeo,4,,3.911017597551646e-07
10epsilongeo,5,,3.0783801508361563e-07
10epsilongeo,6,,3.3412504098808616e-07
10epsilongeo,7,,3.1075254126134006e-07
10epsilongeo,8,,2.926114875942726e-07
10epsilongeo,9,,3.137184391736802e-07
10epsilongeo,10,,3.529445841075528e-07
50epsilongeo,1,,1.5875204940430646e-07
50epsilongeo,2,,1.3427806317630347e-07
50epsilongeo,3,,1.6827959339818564e-07
50epsilongeo,4,,1.506735708820636e-07
50epsilongeo,5,,1.3671740080883156e-07
50epsilongeo,6,,1.4358071920428463e-07
50epsilongeo,7,,1.5992594819105916e-07
50epsilongeo,8,,1.395362881189201e-07
50epsilongeo,9,,1.5460132254891245e-07
50epsilongeo,10,,1.4515602798120013e-07
closest10kgeo,1,,9.922756585419175e-07
closest10kgeo,2,,9.922756585419175e-07
closest10kgeo,3,,9.922756585419175e-07
closest10kgeo,4,,9.922756585419175e-07
closest10kgeo,5,,9.922756585419175e-07
closest10kgeo,6,,9.922756585419175e-07
closest10kgeo,7,,9.922756585419175e-07
closest10kgeo,8,,9.922756585419175e-07
closest10kgeo,9,,9.922756585419175e-07
closest10kgeo,10,,9.922756585419175e-07
uniformgeo,1,,1.478284511968521e-07
uniformgeo,2,,1.435457427041207e-07
uniformgeo,3,,1.3270794622363098e-07
uniformgeo,4,,1.4524210296207238e-07
uniformgeo,5,,1.791638430429555e-07
uniformgeo,6,,1.381566291397967e-07
uniformgeo,7,,1.1799650234998359e-07
uniformgeo,8,,1.4218329872117173e-07
uniformgeo,9,,1.4490982621051481e-07
uniformgeo,10,,1.698636463001421e-07
