seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
1	3622389	20063138	24.954253801585317	372.26992986426706	174.46082105868922	970.9764589774746	2151993
9	3610775	20074010	24.947297634117714	372.27167221613894	174.9732110575195	972.498556786707	2146847
3	3600899	20080832	24.93773183618777	372.2454621008496	175.40766744014863	973.7866139181282	2147746
10	3612743	20070975	24.9501718557874	372.30524755230743	174.90477165698542	972.3473208863277	2149718
6	3622519	20063217	24.95013187042854	372.2770220717833	174.41679574978158	970.9589421640242	2156743
2	3584064	20095094	24.931241925215662	372.2092104155446	176.18891905765892	975.9145330207109	2137243
7	3610482	20073516	24.937215881443787	372.15381766035216	174.9270756838353	972.2591311488139	2152434
8	3565437	20109786	24.92755994638636	372.21775197560066	177.0653633425046	978.3565579008275	2122122
5	3609089	20073868	24.942133022369692	372.2083516858767	175.01938136007647	972.5556778709974	2146836
4	3599145	20082980	24.937983313104446	372.2059747425912	175.4886487757305	973.8928558429637	2140924
