seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
10	3053287	20407918	1763009	0.0018529970565824582	0.0012961651490216465	0.019182976219473215	0.01066029172930987	0.054098761678689426
4	3054407	20407127	1763861	0.0018530562640308825	0.0012962004291301886	0.019183121788756592	0.010657174429248777	0.05409082506592015
2	3054076	20406482	1762849	0.001853083372571661	0.001296199721307591	0.019182750097528938	0.010657995135583	0.054091758296186884
6	3055434	20404718	1764377	0.0018532451993947554	0.0012963048483097478	0.01918337411282532	0.01065451689844526	0.05408283553795905
7	3055223	20405550	1764010	0.0018531827607272803	0.0012962644284908267	0.019183137039040676	0.010654525903760367	0.054083034294969724
8	3057564	20403657	1767369	0.0018532654128734028	0.001296403861733221	0.01918568456750492	0.010647562961865436	0.05407047613627647
9	3054206	20406405	1763776	0.0018532073437802761	0.0012962718978098732	0.019183010845190147	0.010659086789494657	0.05409363095721772
5	3054491	20406056	1763789	0.0018530468002616182	0.0012961759323629652	0.019182608273759907	0.010656970670809878	0.05408935685658467
1	3055515	20405645	1765822	0.0018530663911053306	0.0012961912275664708	0.019182750593055777	0.010653489078650772	0.054080950123053834
3	3056517	20404678	1766211	0.0018532074018474942	0.0012963075424395549	0.01918393672506314	0.010650570615065108	0.05407478955114028
