seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
6	2972112	20586526	24.790412962210244	371.5810335099497	211.47415565444498	1066.9328926576954	1688399
10	2971716	20586316	24.790938478670476	371.61003164189356	211.49084344155054	1067.0478391256909	1688930
2	2971413	20587307	24.79345132037664	371.63631828027314	211.57988280374417	1067.2860052541384	1687301
1	2968760	20589216	24.78739025048862	371.5974795686802	211.66291437170602	1067.5061602422807	1686328
7	2970907	20587828	24.798546770303577	371.73595742777064	211.6308055921267	1067.5925002656581	1686177
4	2974639	20584920	24.79526264201558	371.6551767770289	211.3349721736447	1066.7082478908765	1691277
9	2974029	20584631	24.79614114831677	371.6843421469296	211.36976253451158	1066.859748786663	1690129
8	2971171	20587097	24.79476108653599	371.67578568496515	211.57611607214844	1067.3651133654098	1688177
5	2973037	20585164	24.793039902024532	371.6432586043124	211.41170779748543	1066.908148507282	1688838
3	2975741	20583561	24.79122015246969	371.6424412509958	211.20853453058376	1066.4533655715775	1692096
