seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
1	3239965	20256687	1934007	0.0018543497253546706	0.0012969435422996195	0.01918558357388095	0.010050026313768095	0.05257696786549423
2	3234777	20260985	1928467	0.001854458413624836	0.0012971598623664324	0.01918978978116955	0.010068518994821994	0.052630945724140635
6	3238600	20258045	1933435	0.0018545415435955682	0.0012971232409589278	0.019187754961404613	0.010055998923996378	0.05259441694847597
3	3241362	20256012	1932839	0.001854495365808249	0.0012970506958992893	0.019186471079576675	0.010047014449948872	0.052569655480883416
5	3236961	20259819	1931280	0.0018542884944640263	0.0012969869070260983	0.019187508560443396	0.010059668129049897	0.05260580311787273
7	3239559	20256903	1932402	0.0018544391117749218	0.0012970291217550898	0.019186643305303536	0.010052754336682063	0.05258505750504861
8	3242989	20254026	1935407	0.0018542512392970751	0.0012967839566211162	0.01918271848155072	0.010038434956947012	0.0525429696654529
10	3250404	20248716	1940562	0.0018543547712918645	0.00129690753330886	0.01918458179145357	0.010017179746011873	0.05249203327362824
9	3253434	20245943	1944766	0.001854547553402188	0.0012970913386055245	0.019186847473301703	0.010008927951986681	0.05247376983479032
4	3240257	20256816	1934552	0.0018542377805241855	0.0012969167175336598	0.01918634499583879	0.01004842217824732	0.05257563626671294
