seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
3	38609	421694	27481	0.000225088908049297	0.00014842261293302567	0.005987998800630085	0.0017678717232260295	0.02059664518631717
2	38915	421386	27817	0.00022526310467274984	0.0001484938139342018	0.005986669456805693	0.001755838352210605	0.020517404404072126
7	38947	421358	27861	0.00022522381969147944	0.0001485205320471365	0.0059905395293710665	0.001752864468148764	0.02051163342523736
4	38598	421695	27481	0.00022522747969822373	0.00014853234699708086	0.005991372571445086	0.0017703584918390136	0.02061504449577431
5	38753	421554	27588	0.00022496600129451595	0.00014833296217648686	0.005985646068851791	0.0017606278328109752	0.020552830167366667
8	38981	421316	27868	0.00022527165830558407	0.00014860252267680295	0.005995382457714017	0.001752514708557892	0.020520595478625718
10	38918	421382	27850	0.00022531865892087008	0.00014858156083945808	0.0059916737977631605	0.001755710372714014	0.020527826185793296
9	38860	421437	27630	0.00022509593589141197	0.00014833695968965	0.005980550801584589	0.0017560167612946014	0.020508227959930677
6	38724	421575	27525	0.00022498905891734896	0.0001483914654288613	0.005989567258423157	0.0017623800394777267	0.020572459879740143
1	38757	421542	27521	0.00022488160993780972	0.00014837044294427112	0.005992297070992624	0.0017604127668904154	0.02057195874742388
