seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
6	40115	420186	28665	0.000225810751183869	0.00014877033809856726	0.005986888164408521	0.0017067629098881808	0.02021253539318882
7	40359	419945	28997	0.00022588432017516677	0.00014881063916440403	0.0059871808449797215	0.001695309416325644	0.020143330604627533
3	40539	419760	29185	0.00022562487233176195	0.0001486223856218849	0.005982295616441576	0.0016871031929386	0.020091147881222765
4	40010	420291	28539	0.00022603058578256785	0.00014892893698006563	0.005990948527613276	0.0017125150666546778	0.020249290280785773
10	39995	420308	28686	0.0002259065268808546	0.00014881210902743008	0.0059863762447084435	0.001709997725515777	0.020226946572231532
9	39948	420348	28581	0.00022559211816498538	0.00014866838016298502	0.0059875052228146	0.001711873159245186	0.0202516378230102
5	40060	420244	28732	0.00022603236973851515	0.00014889126941322402	0.005987730449332117	0.0017082034999734567	0.02021560320467546
8	40326	419977	28833	0.000225612534137734	0.00014870146750457504	0.005989414688370639	0.0016956383267436642	0.020160275127908057
1	40189	420112	28883	0.00022596264237134426	0.0001489134349210912	0.005992490177240099	0.0017038990250492082	0.020204939369436428
2	40182	420119	28792	0.00022606068588180224	0.00014895616919386254	0.005991964478584675	0.0017056061397212555	0.02021028469736722
