seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
6	3334808	20179853	1991256	0.0018566211353292276	0.0012983617135579925	0.019192847697883198	0.009772780725931211	0.05186396806035044
7	3368386	20152873	2015760	0.0018573940870357424	0.0012987926910329355	0.019193977833184665	0.009678206714924753	0.05161561894567308
3	3334035	20180053	1994466	0.0018562647974830998	0.0012981606229898546	0.019192264151090217	0.009773745844523776	0.05186893410096144
4	3343626	20173443	2000692	0.0018565619815226375	0.001298274639410595	0.019191355648049947	0.009748097590048577	0.05179838419622752
10	3346244	20171104	2001229	0.0018568737419889312	0.0012983938109374028	0.019190391175133884	0.009738663678130048	0.051769081603558385
9	3355286	20163506	2007771	0.0018569134544331209	0.0012984359543769326	0.019190969001922548	0.009715091509508458	0.05170934893768816
5	3349862	20168104	2006972	0.001856581667900473	0.0012983119274781374	0.019192068144597382	0.00972877294465003	0.051750050320881154
8	3352146	20165631	2006042	0.0018569081573767009	0.0012985039554084322	0.019192805011197994	0.009723949523480276	0.05173579574942019
1	3341156	20175595	2000057	0.0018566983546059747	0.0012983911896160259	0.019192607760066493	0.009755055350263117	0.05181730986245844
2	3338123	20178075	1997749	0.0018568274151704212	0.0012984693302547374	0.019192957043350906	0.009765647372384122	0.051843808108049894
