seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
1	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
2	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
7	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
9	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
5	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
10	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
4	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
6	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
3	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
8	2788334	20619980	1493836	0.0018509422093455664	0.0012945545013886652	0.019167877434886058	0.011657699074363226	0.056460262701658506
