seed	segsites	monosites	ac_mean	ac_sd	seg_ac_mean	seg_ac_sd	singletons
9	3820244	19903569	25.148176518352354	372.70146765101015	166.62138436814053	946.976034742208	2234754
8	3859508	19870184	25.169820389018238	372.8465375368608	165.02673416885924	942.5354960683326	2261077
3	3804417	19915420	25.157469070398985	372.8690355565123	167.36505923888802	949.2801854944148	2221502
6	3791444	19926717	25.14199152408655	372.7859946842497	167.83412997353503	950.6496626357444	2215749
5	3836089	19889908	25.16645477827873	372.8696948841699	166.0237770048743	945.4157338537572	2245456
1	3840393	19887105	25.16240801808487	372.845683501274	165.80109627698639	944.8162015555782	2247276
7	3830014	19894611	25.159080540830324	372.78862598937997	166.22258650011648	945.8946706831621	2240294
2	3793987	19923179	25.123170249381275	372.6854013835619	167.574302529126	950.0367345065999	2219036
10	3821725	19900421	25.172696198008403	372.8521835637101	166.70336103957212	947.1232593636871	2235045
4	3829281	19895596	25.167971689761234	372.79913528945286	166.29984894240957	945.9643204386905	2238833
