seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
9	3820244	19783934	2234754	0.0018847059028731373	0.0013139578556327536	0.019232223453095672	0.008623168357459514	0.04862497950358774
8	3859508	19750321	2261077	0.0018863238854569498	0.0013150086693423104	0.019238437535657234	0.008540113603853148	0.048393858983614375
3	3804417	19795698	2221502	0.0018847788628247348	0.00131420087459863	0.019237575711286217	0.0086600455846728	0.04873488237817196
6	3791444	19807016	2215749	0.0018836482006610962	0.0013135016292064902	0.019234142620507426	0.008685044838166952	0.0488072792320352
5	3836089	19770168	2245456	0.0018857574021033745	0.0013147073247913239	0.01923798763877811	0.008590892955441276	0.04853754370123949
1	3840393	19767147	2247276	0.001885422242225179	0.0013145066008038635	0.0192371399144394	0.008579446280554882	0.04850779846336771
7	3830014	19774642	2240294	0.0018854370054893043	0.0013144398933994856	0.01923521869960098	0.008601964392965141	0.048565700534180814
2	3793987	19803573	2219036	0.0018821782168088868	0.0013126504934108094	0.01923118128687146	0.008672483359673726	0.04878153266749919
10	3821725	19780818	2235045	0.0018864337466070978	0.001315009756204947	0.019237038031944584	0.008625910941531652	0.04862508206438928
4	3829281	19775790	2238833	0.001886339338201638	0.00131493965985264	0.019236447812493205	0.008606176641796803	0.04857096941586528
