seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
7	39115	421185	27871	0.00022530995455364376	0.00014855793451440987	0.0059900657573753536	0.0017460574377099536	0.02046783529791939
8	38804	421495	27726	0.0002249116276751732	0.00014829453879863905	0.005984708321281408	0.0017583522347329127	0.02053907817805624
9	38777	421519	27690	0.00022519632573005595	0.00014854398591346125	0.005993643110219545	0.0017620592760051951	0.020574058529816027
1	38889	421410	27772	0.00022514399420673535	0.00014846754397665192	0.005989449412230627	0.0017562239649643373	0.020531060292957
3	38635	421660	27513	0.00022491419810110623	0.00014827552648859297	0.005983012770025182	0.001765410474483258	0.020575414510745387
2	38816	421483	27711	0.0002251026932726612	0.00014847171512679503	0.005991521062323968	0.001758926820255376	0.02055360130499683
6	38869	421426	27680	0.00022537370657064264	0.00014853762516626868	0.005985708684429711	0.0017573176240896482	0.02051962061396404
5	38951	421350	27725	0.00022510771185401624	0.00014850110108280485	0.005993762806349107	0.0017540496269832261	0.020530981099728233
10	38814	421488	27571	0.00022499657661484893	0.00014835035921176063	0.005985821837914817	0.0017582588567754327	0.02053849515884714
4	38690	421609	27482	0.00022495204247522583	0.00014832763648489213	0.0059857843395443215	0.0017656312894778316	0.020582649375996694
