seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
2	3140328	20336863	1853926	0.0018530165293015564	0.0012963604637433982	0.01918779947364114	0.010366177726271089	0.0533855535975516
1	3140891	20337107	1854488	0.0018531361002830315	0.001296407557737437	0.01918746557104826	0.01036611191292868	0.0533834338076691
9	3137441	20340039	1851055	0.0018529994258204175	0.0012962065326090314	0.01918402117189317	0.010374546908986683	0.05339868346788855
7	3143362	20335346	1857421	0.0018530352306348852	0.001296288184955793	0.019185677120703855	0.01035409472663548	0.05335103661239651
4	3138699	20338826	1852894	0.001852970061829991	0.001296189828507761	0.019183969597589418	0.010370022321289665	0.05338768288033475
6	3140283	20338131	1853305	0.0018530720014712993	0.0012963043545506938	0.01918561828129121	0.010364923033282224	0.05337736383212857
5	3137214	20340022	1851157	0.0018529661429465022	0.0012964004102403097	0.019189494124217842	0.010377678111057253	0.05341806854539108
10	3139289	20338324	1852757	0.0018531249134779934	0.0012963352582289571	0.01918573210456752	0.010368338867775212	0.05338549968057181
8	3143309	20334861	1857232	0.001853126390198584	0.0012963754452278416	0.01918675743406271	0.010356430224106147	0.053358083470537644
3	3137990	20339449	1851266	0.001852916759454032	0.0012962235107063435	0.019185539752366004	0.010373104025864997	0.053399116819438874
