seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
3	43411	416896	31094	0.00022947987428124234	0.0001506931323633229	0.005994204434498398	0.0015969354374955553	0.01945393084394918
10	43305	417004	30806	0.00022995448001252917	0.0001508770755631247	0.00598974721210584	0.0016033600980796187	0.019466234112130908
7	43362	416952	31019	0.00022944288200355881	0.00015069753070036436	0.005996113737482454	0.0015988728580940993	0.019471601026297674
6	43586	416727	31150	0.0002294099112287285	0.0001506127200670643	0.005990415700204283	0.0015894402173311753	0.019401393852912358
2	43314	416995	30936	0.0002298178623732362	0.0001507948308731326	0.005988585860242504	0.0016010282194176687	0.01945370673585701
1	43226	417084	30937	0.00022935099240531064	0.00015056302351200402	0.005988727584829656	0.0016013080288232113	0.01947091204009859
9	43305	417000	30843	0.00022989440467956467	0.00015095359057298874	0.005998633281565025	0.001602180546834032	0.019483199818943572
4	43104	417205	30713	0.00022911495940774982	0.00015046306021534385	0.005990237172181054	0.0016058725096679187	0.01950991351994743
5	43212	417098	30771	0.0002297316560252116	0.00015081472850348416	0.005993843125119704	0.0016048632485293572	0.019492744444566654
8	43214	417094	30821	0.00022909825107328253	0.00015039555177713844	0.00598529927560041	0.0016027887530493854	0.019479527713098372
