seed	segsites	monosites	singletons	heterozygosity	af_mean	af_sd	seg_af_mean	seg_af_sd
3	3825185	19779890	2240743	0.0018836300229862174	0.0013135267235244508	0.019235029492515227	0.008607335236284602	0.04859714506272334
10	3830968	19774269	2235323	0.0018870849004428822	0.0013154248587929254	0.019239336423389274	0.008605785329467146	0.04856823216939235
7	3818803	19784491	2239040	0.001884425110039922	0.0013138436836886579	0.019232913025424094	0.008624765605295287	0.048633290258513505
6	3834432	19771271	2242784	0.0018859089353573215	0.0013147082522814307	0.019236042389591344	0.008593139972286157	0.04853863582171666
2	3848824	19759162	2250423	0.0018876281082119968	0.0013155920997057256	0.01923661256632563	0.008566947889677991	0.04845175897455743
1	3819208	19784021	2236888	0.0018849563125622622	0.0013141726844195021	0.019234538681598246	0.00862396906869276	0.04862911381167857
9	3821863	19780828	2233428	0.0018862491141394694	0.0013148459291659935	0.019235190466403266	0.008623107616965959	0.04861572955811102
4	3816165	19785508	2236020	0.001882059060048121	0.0013126573943573945	0.019232909163680124	0.008622236141213685	0.04864882020191875
5	3827385	19777618	2237026	0.0018857483199644187	0.0013146212443138404	0.01923587417601889	0.008609684970609236	0.0485850814963285
8	3807378	19792537	2227054	0.0018833513893489729	0.0013132599571061192	0.019231734469794873	0.008646130591283836	0.04869958603092437
