sigma,rho,s,w,mu,logl
26.0,1.12,0.005298316906283708,multi,1.25e-08,-5253.756808067582
25.0,1.12,0.005298316906283708,multi,1.25e-08,-5269.321022245416
28.0,1.12,0.006210169418915616,multi,1.25e-08,-5294.648128659173
27.0,1.12,0.005298316906283708,multi,1.25e-08,-5296.982426686095
29.0,1.12,0.006210169418915616,multi,1.25e-08,-5301.610489974923
27.0,1.12,0.006210169418915616,multi,1.25e-08,-5339.687160964369
24.0,1.12,0.005298316906283708,multi,1.25e-08,-5349.1571613829465
30.0,1.12,0.006210169418915616,multi,1.25e-08,-5356.634219896032
21.0,1.47,0.005298316906283708,multi,1.25e-08,-5362.660960192857
30.0,0.78,0.005298316906283708,multi,1.25e-08,-5375.48640338207
22.0,1.47,0.005298316906283708,multi,1.25e-08,-5390.622606864947
28.0,1.12,0.005298316906283708,multi,1.25e-08,-5394.07037391895
23.0,1.47,0.006210169418915616,multi,1.25e-08,-5403.615741116048
24.0,1.47,0.006210169418915616,multi,1.25e-08,-5416.96639847629
20.0,1.47,0.005298316906283708,multi,1.25e-08,-5417.440733027379
26.0,1.12,0.006210169418915616,multi,1.25e-08,-5441.0574856942985
22.0,1.47,0.006210169418915616,multi,1.25e-08,-5460.6982198686965
18.0,1.81,0.005298316906283708,multi,1.25e-08,-5471.649844918831
23.0,1.47,0.005298316906283708,multi,1.25e-08,-5493.263655409969
25.0,1.47,0.006210169418915616,multi,1.25e-08,-5494.586282730249
23.0,1.12,0.005298316906283708,multi,1.25e-08,-5499.383378658502
20.0,1.81,0.006210169418915616,multi,1.25e-08,-5510.846626597249
19.0,1.81,0.005298316906283708,multi,1.25e-08,-5523.120926657442
17.0,1.81,0.005298316906283708,multi,1.25e-08,-5523.562392294189
19.0,1.81,0.006210169418915616,multi,1.25e-08,-5540.000192176829
29.0,1.12,0.005298316906283708,multi,1.25e-08,-5540.5778759126415
29.0,0.78,0.005298316906283708,multi,1.25e-08,-5549.7616934234175
19.0,1.47,0.005298316906283708,multi,1.25e-08,-5564.092359748232
21.0,1.81,0.006210169418915616,multi,1.25e-08,-5567.182152252924
16.0,2.15,0.005298316906283708,multi,1.25e-08,-5590.216112431275
21.0,1.47,0.006210169418915616,multi,1.25e-08,-5595.086819626372
25.0,1.12,0.006210169418915616,multi,1.25e-08,-5603.530818766854
15.0,2.15,0.005298316906283708,multi,1.25e-08,-5609.702187623499
17.0,2.15,0.006210169418915616,multi,1.25e-08,-5623.093513632166
26.0,1.47,0.006210169418915616,multi,1.25e-08,-5630.928715271939
