sigma,rho,s,w,mu,logl
3.0,3.513793103448276,0.0038566204211634724,50,1.25e-08,-266.31548660342264
2.0,4.879310344827586,0.004520353656360241,50,1.25e-08,-266.4170281091258
23.0,0.4413793103448276,0.004520353656360241,50,1.25e-08,-266.60628370928794
2.0,4.537931034482758,0.0038566204211634724,50,1.25e-08,-266.9004012188741
8.0,1.4655172413793105,0.0038566204211634724,50,1.25e-08,-266.9590671993092
5.0,2.4896551724137934,0.0038566204211634724,50,1.25e-08,-267.14069503355154
1.0,5.220689655172413,0.0038566204211634724,50,1.25e-08,-267.1683204605772
21.0,0.4413793103448276,0.0038566204211634724,50,1.25e-08,-267.28656999657346
10.0,1.124137931034483,0.0038566204211634724,50,1.25e-08,-267.48376316195777
1.0,5.903448275862069,0.004520353656360241,50,1.25e-08,-267.63316025566655
4.0,2.831034482758621,0.0038566204211634724,50,1.25e-08,-267.86131982990446
5.0,2.831034482758621,0.004520353656360241,50,1.25e-08,-267.86715281236707
3.0,3.855172413793104,0.004520353656360241,50,1.25e-08,-268.3995769759774
1.0,5.562068965517241,0.0038566204211634724,50,1.25e-08,-268.4265925550892
1.0,5.562068965517241,0.004520353656360241,50,1.25e-08,-268.57557107547996
14.0,0.7827586206896552,0.0038566204211634724,50,1.25e-08,-268.63618753920764
15.0,0.7827586206896552,0.004520353656360241,50,1.25e-08,-268.64711703159196
7.0,1.806896551724138,0.0038566204211634724,50,1.25e-08,-268.70619330907084
4.0,3.1724137931034484,0.004520353656360241,50,1.25e-08,-269.00274558854335
8.0,1.806896551724138,0.004520353656360241,50,1.25e-08,-269.2371897938415
12.0,1.124137931034483,0.004520353656360241,50,1.25e-08,-269.4332865923391
9.0,1.4655172413793105,0.004520353656360241,50,1.25e-08,-269.48402932029217
20.0,0.4413793103448276,0.0038566204211634724,50,1.25e-08,-269.4879314343418
24.0,0.4413793103448276,0.004520353656360241,50,1.25e-08,-271.1324588754551
6.0,2.148275862068966,0.0038566204211634724,50,1.25e-08,-271.67022112708196
16.0,0.7827586206896552,0.004520353656360241,50,1.25e-08,-271.74554427695784
3.0,4.196551724137931,0.004520353656360241,50,1.25e-08,-271.8076743859242
2.0,4.196551724137931,0.0038566204211634724,50,1.25e-08,-271.92213192544205
5.0,2.148275862068966,0.0032903445623126675,50,1.25e-08,-273.41092507503504
6.0,1.806896551724138,0.0032903445623126675,50,1.25e-08,-273.6078942078632
9.0,1.124137931034483,0.0032903445623126675,50,1.25e-08,-273.72491733505876
12.0,0.7827586206896552,0.0032903445623126675,50,1.25e-08,-273.73876282497145
13.0,0.7827586206896552,0.0038566204211634724,50,1.25e-08,-273.8393617127665
3.0,3.1724137931034484,0.0032903445623126675,50,1.25e-08,-274.4328093483989
6.0,2.4896551724137934,0.004520353656360241,50,1.25e-08,-274.6973507409002
2.0,4.537931034482758,0.004520353656360241,50,1.25e-08,-274.70086858104446
4.0,3.513793103448276,0.004520353656360241,50,1.25e-08,-274.8789185495409
18.0,0.4413793103448276,0.0032903445623126675,50,1.25e-08,-275.57845061416765
11.0,1.124137931034483,0.004520353656360241,50,1.25e-08,-275.6707750228845
2.0,4.196551724137931,0.0032903445623126675,50,1.25e-08,-275.8962847472101
1.0,4.879310344827586,0.0032903445623126675,50,1.25e-08,-275.913377947096
7.0,2.148275862068966,0.004520353656360241,50,1.25e-08,-276.09839025666156
7.0,1.4655172413793105,0.0032903445623126675,50,1.25e-08,-276.6873261722251
1.0,5.220689655172413,0.0032903445623126675,50,1.25e-08,-276.7028069039254
3.0,3.855172413793104,0.0038566204211634724,50,1.25e-08,-277.7172455870277
2.0,5.220689655172413,0.004520353656360241,50,1.25e-08,-277.7519556365253
22.0,0.4413793103448276,0.004520353656360241,50,1.25e-08,-278.26062054159183
4.0,2.4896551724137934,0.0032903445623126675,50,1.25e-08,-279.0636242755131
19.0,0.4413793103448276,0.0032903445623126675,50,1.25e-08,-279.27143566164455
1.0,6.244827586206896,0.004520353656360241,50,1.25e-08,-279.74606529335347
10.0,1.4655172413793105,0.004520353656360241,50,1.25e-08,-279.916543843819
6.0,2.148275862068966,0.004520353656360241,50,1.25e-08,-280.1697356878931
4.0,3.1724137931034484,0.0038566204211634724,50,1.25e-08,-280.5335796250015
2.0,3.855172413793104,0.0032903445623126675,50,1.25e-08,-280.63518469295946
11.0,1.124137931034483,0.0038566204211634724,50,1.25e-08,-282.9277279707585
1.0,5.220689655172413,0.004520353656360241,50,1.25e-08,-285.446584702883
8.0,1.124137931034483,0.0028072162039411755,50,1.25e-08,-285.65330660543304
1.0,6.244827586206896,0.005298316906283708,50,1.25e-08,-285.82342692389784
26.0,0.4413793103448276,0.005298316906283708,50,1.25e-08,-285.9469297471717
5.0,3.1724137931034484,0.005298316906283708,50,1.25e-08,-285.9713327444074
1.0,4.879310344827586,0.0038566204211634724,50,1.25e-08,-286.0990565660845
11.0,0.7827586206896552,0.0028072162039411755,50,1.25e-08,-286.11022680384303
2.0,5.220689655172413,0.005298316906283708,50,1.25e-08,-286.11100113564703
1.0,5.903448275862069,0.0038566204211634724,50,1.25e-08,-286.19432844183666
22.0,0.4413793103448276,0.0038566204211634724,50,1.25e-08,-286.24511986867924
9.0,1.806896551724138,0.005298316906283708,50,1.25e-08,-286.25222946491795
13.0,1.124137931034483,0.005298316906283708,50,1.25e-08,-286.539885576447
3.0,4.537931034482758,0.005298316906283708,50,1.25e-08,-286.6506331697158
1.0,4.879310344827586,0.0028072162039411755,50,1.25e-08,-286.81578157024546
5.0,2.4896551724137934,0.004520353656360241,50,1.25e-08,-286.83286107336835
2.0,3.855172413793104,0.0028072162039411755,50,1.25e-08,-286.8914434263477
2.0,4.879310344827586,0.0038566204211634724,50,1.25e-08,-287.063032449651
