sigma,rho,s,w,mu,logl
123.20408163265307,0.1,0.005298316906283708,multi,1.25e-08,-4874.588782568222
133.38775510204084,0.1,0.006210169418915616,multi,1.25e-08,-4929.441262447442
143.57142857142858,0.1,0.006210169418915616,multi,1.25e-08,-4986.750834004686
133.38775510204084,0.1,0.005298316906283708,multi,1.25e-08,-5017.050682799505
51.91836734693878,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-5097.464482876002
51.91836734693878,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-5102.2045129453545
113.02040816326532,0.1,0.005298316906283708,multi,1.25e-08,-5138.990804014141
31.551020408163268,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-5203.962120618127
123.20408163265307,0.1,0.006210169418915616,multi,1.25e-08,-5227.937865646223
153.75510204081633,0.1,0.006210169418915616,multi,1.25e-08,-5336.658735594024
21.367346938775512,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-5363.76630668663
113.02040816326532,0.1,0.004520353656360241,multi,1.25e-08,-5398.784219727735
143.57142857142858,0.1,0.005298316906283708,multi,1.25e-08,-5486.868169409753
31.551020408163268,1.124137931034483,0.006210169418915616,multi,1.25e-08,-5528.740481521114
21.367346938775512,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-5536.269186057609
41.734693877551024,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-5567.5455150755515
102.83673469387756,0.1,0.004520353656360241,multi,1.25e-08,-5567.791595896315
62.102040816326536,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-5574.696119937653
41.734693877551024,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-5598.679430313956
21.367346938775512,1.806896551724138,0.006210169418915616,multi,1.25e-08,-5607.671929605357
41.734693877551024,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-5646.121233007541
31.551020408163268,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-5666.925331503033
143.57142857142858,0.1,0.007278953843983146,multi,1.25e-08,-5669.660555740871
153.75510204081633,0.1,0.007278953843983146,multi,1.25e-08,-5705.350471014297
123.20408163265307,0.1,0.004520353656360241,multi,1.25e-08,-5705.624884502329
31.551020408163268,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-5758.503295561881
21.367346938775512,1.124137931034483,0.004520353656360241,multi,1.25e-08,-5880.422641180157
21.367346938775512,1.124137931034483,0.005298316906283708,multi,1.25e-08,-5914.092833239816
102.83673469387756,0.1,0.005298316906283708,multi,1.25e-08,-5915.049427456228
62.102040816326536,0.4413793103448276,0.007278953843983146,multi,1.25e-08,-5916.244039045483
11.183673469387756,3.1724137931034484,0.005298316906283708,multi,1.25e-08,-5926.64560465053
163.9387755102041,0.1,0.006210169418915616,multi,1.25e-08,-5928.5691832032
11.183673469387756,2.831034482758621,0.005298316906283708,multi,1.25e-08,-5941.599610733189
133.38775510204084,0.1,0.007278953843983146,multi,1.25e-08,-5948.5305839477005
113.02040816326532,0.1,0.006210169418915616,multi,1.25e-08,-5962.74211832089
41.734693877551024,0.7827586206896552,0.007278953843983146,multi,1.25e-08,-5994.7043072925935
21.367346938775512,1.806896551724138,0.005298316906283708,multi,1.25e-08,-5994.722196332695
163.9387755102041,0.1,0.007278953843983146,multi,1.25e-08,-6003.631999912401
31.551020408163268,1.124137931034483,0.007278953843983146,multi,1.25e-08,-6061.214368227477
11.183673469387756,3.513793103448276,0.006210169418915616,multi,1.25e-08,-6078.747200214454
11.183673469387756,3.1724137931034484,0.006210169418915616,multi,1.25e-08,-6080.316461626477
31.551020408163268,1.124137931034483,0.005298316906283708,multi,1.25e-08,-6111.534724240535
51.91836734693878,0.4413793103448276,0.007278953843983146,multi,1.25e-08,-6124.586801592804
11.183673469387756,3.513793103448276,0.005298316906283708,multi,1.25e-08,-6149.837809533006
21.367346938775512,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-6222.214198945072
153.75510204081633,0.1,0.005298316906283708,multi,1.25e-08,-6222.321684578775
21.367346938775512,1.806896551724138,0.007278953843983146,multi,1.25e-08,-6264.772739175323
11.183673469387756,3.855172413793104,0.006210169418915616,multi,1.25e-08,-6272.949584463007
11.183673469387756,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-6290.654148704941
51.91836734693878,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-6292.752836483483
