sigma,rho,s,w,mu,logl
30.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-133.91954654876417
29.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-142.11132189264436
21.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-153.87139965201777
20.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-154.51546987751203
28.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-156.73961413925167
22.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-162.15041513426672
19.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-165.81527771103265
16.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-175.52333688407066
15.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-176.51706892294146
23.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-177.97867041588847
27.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-178.76997235491763
17.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-188.13804260383267
18.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-189.92409396394646
14.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-194.29327483125485
13.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-197.85147506125236
12.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-198.29398389529774
24.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-200.2866185936025
26.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-204.76043508481712
25.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-207.66664729728313
26.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-209.3202222689431
27.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-209.84468193967678
18.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-211.96176162094775
14.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-215.8425177154104
10.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-219.8291658688588
24.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-220.18671394240164
28.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-221.51124419631765
11.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-221.7278117299927
11.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-222.02229027076714
25.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-228.26112249645917
17.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-229.4856261544801
13.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-232.95798953764324
17.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-234.92675615384633
29.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-238.54499420635898
9.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-240.43229709816342
18.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-240.4674005019424
23.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-244.18391629084545
16.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-245.10016103424755
19.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-245.23155371483858
12.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-246.7602483146709
9.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-247.66299831149854
15.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-248.73669495731406
25.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-249.67843798382978
8.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-253.4870399295794
19.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-258.1053654519367
10.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-259.33847630224204
30.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-259.9037052186411
26.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-261.3035301709442
13.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-262.8791339997408
8.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-266.0384744888713
22.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-269.0099144105918
23.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-270.6797007986029
7.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-272.83746008579783
