sigma,rho,s,w,mu,logl
28.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-289.75655153848334
29.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-291.6018317221499
27.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-296.4132647783256
30.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-300.98204952322567
26.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-312.7118670249058
25.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-339.98698655097655
18.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-378.6802023586963
24.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-379.79213409797194
19.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-382.0082047891235
17.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-393.01298972887116
20.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-400.4680719569915
24.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-427.7198683563595
16.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-428.14012857135504
21.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-432.0468850527486
23.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-432.28304697787144
23.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-433.92631452514456
25.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-434.7053173013376
22.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-450.7053750236191
26.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-451.2483732592618
14.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-474.1395002832362
13.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-474.87700384882396
22.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-475.16893029037124
27.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-475.6434734038646
30.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-481.75155461256054
21.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-485.6544129740605
15.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-487.8985012006556
29.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-489.5859621347545
15.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-498.2360771612889
22.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-504.46331654203186
12.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-505.3868326041015
28.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-506.4396429091764
28.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-507.7253370045437
23.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-528.6261743105365
16.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-528.7069039459986
15.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-533.1437350504023
27.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-537.0931554797623
20.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-540.1961336830036
29.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-542.4125070100517
16.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-543.3581687646813
17.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-544.1453882682588
14.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-562.8017632467731
11.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-571.9455999445051
18.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-575.10141290364
11.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-575.251861684591
14.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-576.9366251208785
26.0,0.4413793103448276,0.006210169418915616,multi,1.25e-08,-578.7609887968194
10.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-579.8727308139776
30.0,0.4413793103448276,0.004520353656360241,multi,1.25e-08,-582.5389212050309
24.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-591.5173120618132
21.0,0.4413793103448276,0.005298316906283708,multi,1.25e-08,-593.7839014280707
12.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-606.3559926701307
17.0,1.124137931034483,0.005298316906283708,multi,1.25e-08,-606.6352506288706
