s	width	allele counts	sampnum	se_f	f	n	f_per_kb
-0.1	0.0	1	100	0	0	38	0
-0.1	0.0	1	1000	0	0	38	0
-0.1	0.0	1	10000	0	0	38	0
-0.1	0.0	1.0555526439717928	100	0.1938017126876922	3.0276315789473687	38	3.027631578947369e-5
-0.1	0.0	1.0806473169992383	1000	1.4594240762793718	28.150526315789474	38	2.815052631578947e-4
-0.1	0.0	1.106338589938541	10000	6.709707183152	144.35605263157893	38	0.0014435605263157893
-0.1	0.0	1.1760876614785134	100	0	0	38	0
-0.1	0.0	1.2619784495374968	1000	0	0	38	0
-0.1	0.0	1.3103867394783963	100	0	0	38	0
-0.1	0.0	1.3541419226309606	10000	0	0	38	0
-0.1	0.0	1.4600216150913115	100	0	0	38	0
-0.1	0.0	1.4737366965564649	1000	0	0	38	0
-0.1	0.0	1.626743504274438	100	0	0	38	0
-0.1	0.0	1.6574495035272516	10000	0	0	38	0
-0.1	0.0	1.7210276859903137	1000	0	0	38	0
-0.1	0.0	1.8125035967591316	100	0	0	38	0
-0.1	0.0	2.009813763113885	1000	0.2916394283833493	1.9171052631578946	38	1.917105263157895e-5
-0.1	0.0	2.019475891333	100	0.04048163097822497	0.0886842105263158	38	8.86842105263158e-7
-0.1	0.0	2.0286934558567684	10000	2.9331909422744173	49.22736842105263	38	4.922736842105263e-4
-0.1	0.0	2.2500826387144484	100	0	0	38	0
-0.1	0.0	2.347057746533386	1000	0	0	38	0
-0.1	0.0	2.4830905129101035	10000	0	0	38	0
-0.1	0.0	2.5070226897842858	100	0	0	38	0
-0.1	0.0	2.740890806234484	1000	0	0	38	0
-0.1	0.0	2.7933030809411377	100	0	0	38	0
-0.1	0.0	3.0392657291341303	10000	1.2197537528692795	14.628157894736843	38	1.4628157894736843e-4
-0.1	0.0	3.112274226232318	100	0.003928594520631917	0.0018421052631578947	38	1.8421052631578947e-8
-0.1	0.0	3.2008085113358145	1000	0.046136663833055605	0.11105263157894738	38	1.1105263157894737e-6
-0.1	0.0	3.467669128122832	100	0	0	38	0
-0.1	0.0	3.720015893203823	10000	0.6836676777491109	4.983421052631579	38	4.9834210526315786e-5
-0.1	0.0	3.7378997743857276	1000	0.017698277274700393	0.029473684210526315	38	2.9473684210526315e-7
-0.1	0.0	3.8636470657963677	100	0	0	38	0
-0.1	0.0	4.304842272283861	100	0	0	38	0
-0.1	0.0	4.365114212196933	1000	0	0	38	0
-0.1	0.0	4.5532439342286635	10000	0.31423381044131227	1.7423684210526316	38	1.7423684210526316e-5
-0.1	0.0	4.796418170100732	100	0	0	38	0
-0.1	0.0	5.097574369461243	1000	0.005897416074728298	0.002368421052631579	38	2.3684210526315793e-8
-0.1	0.0	5.344127800126624	100	0	0	38	0
-0.1	0.0	5.573102621003827	10000	0.19830002987699633	0.7347368421052631	38	7.347368421052631e-6
-0.1	0.0	5.952940333057172	1000	0.002732763127330939	7.894736842105263e-4	38	7.894736842105263e-9
-0.1	0.0	5.954381150942568	100	0	0	38	0
-0.1	0.0	6.634320176598333	100	0	0	38	0
-0.1	0.0	6.821394432824586	10000	0.0979389306629522	0.28157894736842104	38	2.8157894736842104e-6
-0.1	0.0	6.951835528136526	1000	0	0	38	0
-0.1	0.0	7.391902380762504	100	0	0	38	0
-0.1	0.0	8.118343962208348	1000	0	0	38	0
-0.1	0.0	8.235993945462319	100	0	0	38	0
-0.1	0.0	8.349284980470902	10000	0.03395357050758243	0.08657894736842105	38	8.657894736842104e-7
-0.1	0.0	9.176473494323238	100	0	0	38	0
-0.1	0.0	9.48059090609579	1000	0	0	38	0
-0.1	0.0	10.21940020792074	10000	0.015119250961750097	0.016052631578947367	38	1.6052631578947367e-7
-0.1	0.0	10.224347704676473	100	0	0	38	0
-0.1	0.0	11.071421012358362	1000	0	0	38	0
-0.1	0.0	11.391880121573063	100	0	0	38	0
-0.1	0.0	12.508393335947712	10000	0.007669377136472748	0.004210526315789474	38	4.2105263157894737e-8
-0.1	0.0	12.692734681248593	100	0	0	38	0
-0.1	0.0	12.929190221052218	1000	0	0	38	0
-0.1	0.0	14.142135623730951	100	0	0	38	0
-0.1	0.0	15.098690546187088	1000	0	0	38	0
-0.1	0.0	15.310086762774377	10000	5.40738070435875e-4	8.771929824561403e-5	38	8.771929824561403e-10
-0.1	0.0	15.757045666090121	100	0	0	38	0
-0.1	0.0	17.55636452153805	100	0	0	38	0
-0.1	0.0	17.63223004007799	1000	0	0	38	0
-0.1	0.0	18.739317703580973	10000	6.831907818327347e-4	1.9736842105263157e-4	38	1.9736842105263157e-9
-0.1	0.0	19.56115008769927	100	0	0	38	0
-0.1	0.0	20.59089397422876	1000	0	0	38	0
-0.1	0.0	21.794864892676273	100	0	0	38	0
-0.1	0.0	22.936645195870106	10000	0	0	38	0
-0.1	0.0	24.04601764463227	1000	0	0	38	0
-0.1	0.0	24.283650683132347	100	0	0	38	0
-0.1	0.0	27.056634367967558	100	0	0	38	0
-0.1	0.0	28.074111403783828	10000	0	0	38	0
-0.1	0.0	28.08090631177286	1000	0	0	38	0
-0.1	0.0	30.14626889812659	100	0	0	38	0
-0.1	0.0	32.79284374419429	1000	0	0	38	0
-0.1	0.0	33.58871307194372	100	0	0	38	0
-0.1	0.0	34.362293368603815	10000	0	0	38	0
-0.1	0.0	37.42425471098598	100	0	0	38	0
-0.1	0.0	38.295437792913965	1000	0	0	38	0
-0.1	0.0	41.69778215893126	100	0	0	38	0
-0.1	0.0	42.058934246120046	10000	0	0	38	0
-0.1	0.0	44.72135954999582	1000	0	0	38	0
-0.1	0.0	46.45930962155633	100	0	0	38	0
-0.1	0.0	51.479507812354285	10000	0	0	38	0
-0.1	0.0	51.764562496025064	100	0	0	38	0
-0.1	0.0	52.22554213416182	1000	0	0	38	0
-0.1	0.0	57.67562953973838	100	0	0	38	0
-0.1	0.0	60.98891622822693	1000	0	0	38	0
-0.1	0.0	63.0101492608963	10000	0	0	38	0
-0.1	0.0	64.26168951124772	100	0	0	38	0
-0.1	0.0	71.2227724345744	1000	0	0	38	0
-0.1	0.0	71.59982078730054	100	0	0	38	0
-0.1	0.0	77.12348230585881	10000	0	0	38	0
-0.1	0.0	79.77590343117669	100	0	0	38	0
-0.1	0.0	83.17385562787595	1000	0	0	38	0
-0.1	0.0	88.88562426945661	100	0	0	38	0
-0.1	0.0	94.39799131968466	10000	0	0	38	0
-0.1	0.0	97.13031413318771	1000	0	0	38	0
-0.1	0.0	99.03559673989747	100	0	0	38	0
-0.1	0.0	110.34460861628762	100	0	0	38	0
-0.1	0.0	113.42864716794253	1000	0	0	38	0
-0.1	0.0	115.54173254070393	10000	0	0	38	0
-0.1	0.0	122.94501221273003	100	0	0	38	0
-0.1	0.0	132.46181805514686	1000	0	0	38	0
-0.1	0.0	136.98427333727636	100	0	0	38	0
-0.1	0.0	141.4213562373095	10000	0	0	38	0
-0.1	0.0	152.62669712272165	100	0	0	38	0
-0.1	0.0	154.68872882258793	1000	0	0	38	0
-0.1	0.0	170.05535093240493	100	0	0	38	0
-0.1	0.0	173.0976294037676	10000	0	0	38	0
-0.1	0.0	180.64528462674488	1000	0	0	38	0
-0.1	0.0	189.4742068452859	100	0	0	38	0
-0.1	0.0	210.9573147718093	1000	0	0	38	0
-0.1	0.0	211.86891500973533	10000	0	0	38	0
-0.1	0.0	246.35566185790955	1000	0	0	38	0
-0.1	0.0	259.3243899527689	10000	0	0	38	0
-0.1	0.0	287.69380286764516	1000	0	0	38	0
-0.1	0.0	317.409183037944	10000	0	0	38	0
-0.1	0.0	335.96842704668774	1000	0	0	38	0
-0.1	0.0	388.50410289276914	10000	0	0	38	0
-0.1	0.0	392.34346672442524	1000	0	0	38	0
-0.1	0.0	458.17816047324357	1000	0	0	38	0
-0.1	0.0	475.5232237451433	10000	0	0	38	0
-0.1	0.0	535.0598252273023	1000	0	0	38	0
-0.1	0.0	582.0333289591675	10000	0	0	38	0
-0.1	0.0	624.8421275177529	1000	0	0	38	0
-0.1	0.0	712.4001081403561	10000	0	0	38	0
-0.1	0.0	729.6897765685391	1000	0	0	38	0
-0.1	0.0	852.1307168321739	1000	0	0	38	0
-0.1	0.0	871.9671002105022	10000	0	0	38	0
-0.1	0.0	995.1170783611925	1000	0	0	38	0
-0.1	0.0	1067.2747170607029	10000	0	0	38	0
-0.1	0.0	1162.0963545680327	1000	0	0	38	0
-0.1	0.0	1306.3283252338515	10000	0	0	38	0
-0.1	0.0	1357.0945235150923	1000	0	0	38	0
-0.1	0.0	1584.8131168428295	1000	0	0	38	0
-0.1	0.0	1598.9263739030541	10000	0	0	38	0
-0.1	0.0	1850.742576730435	1000	0	0	38	0
-0.1	0.0	1957.062018620097	10000	0	0	38	0
-0.1	0.0	2395.4147027895547	10000	0	0	38	0
-0.1	0.0	2931.9518460565623	10000	0	0	38	0
-0.1	0.0	3588.6653019135715	10000	0	0	38	0
-0.1	0.0	4392.472770819839	10000	0	0	38	0
-0.1	0.0	5376.321116406638	10000	0	0	38	0
-0.1	0.0	6580.536808046029	10000	0	0	38	0
-0.1	0.0	8054.478842400569	10000	0	0	38	0
-0.1	0.0	9858.561894731161	10000	0	0	38	0
-0.1	0.0	12066.732625903607	10000	0	0	38	0
-0.1	0.0	14769.500645207127	10000	0	0	38	0
-0.1	0.0	18077.64836360904	10000	0	0	38	0
-0.1	1.224744871391589	1	100	0	0	38	0
-0.1	1.224744871391589	1	1000	0	0	38	0
-0.1	1.224744871391589	1	10000	0	0	38	0
-0.1	1.224744871391589	1.0555526439717928	100	0.38784776529837284	0.7710526315789473	38	7.710526315789473e-6
-0.1	1.224744871391589	1.0806473169992383	1000	0.5074913196743447	0.786578947368421	38	7.865789473684209e-6
-0.1	1.224744871391589	1.106338589938541	10000	0.4441544622586145	0.7860526315789473	38	7.860526315789473e-6
-0.1	1.224744871391589	1.1760876614785134	100	0	0	38	0
-0.1	1.224744871391589	1.2619784495374968	1000	0	0	38	0
-0.1	1.224744871391589	1.3103867394783963	100	0	0	38	0
-0.1	1.224744871391589	1.3541419226309606	10000	0	0	38	0
-0.1	1.224744871391589	1.4600216150913115	100	0	0	38	0
-0.1	1.224744871391589	1.4737366965564649	1000	0	0	38	0
-0.1	1.224744871391589	1.626743504274438	100	0	0	38	0
-0.1	1.224744871391589	1.6574495035272516	10000	0	0	38	0
-0.1	1.224744871391589	1.7210276859903137	1000	0	0	38	0
-0.1	1.224744871391589	1.8125035967591316	100	0	0	38	0
-0.1	1.224744871391589	2.009813763113885	1000	0.2897072638367433	0.3831578947368421	38	3.83157894736842e-6
-0.1	1.224744871391589	2.019475891333	100	0.2340048084027736	0.3265789473684211	38	3.2657894736842107e-6
-0.1	1.224744871391589	2.0286934558567684	10000	0.2614274471044945	0.39552631578947367	38	3.955263157894736e-6
-0.1	1.224744871391589	2.2500826387144484	100	0	0	38	0
-0.1	1.224744871391589	2.347057746533386	1000	0	0	38	0
-0.1	1.224744871391589	2.4830905129101035	10000	0	0	38	0
-0.1	1.224744871391589	2.5070226897842858	100	0	0	38	0
-0.1	1.224744871391589	2.740890806234484	1000	0	0	38	0
-0.1	1.224744871391589	2.7933030809411377	100	0	0	38	0
-0.1	1.224744871391589	3.0392657291341303	10000	0.20830976632943043	0.26552631578947367	38	2.6552631578947365e-6
-0.1	1.224744871391589	3.112274226232318	100	0.14145379091575497	0.16447368421052633	38	1.6447368421052632e-6
-0.1	1.224744871391589	3.2008085113358145	1000	0.20850343932541332	0.2642105263157895	38	2.642105263157895e-6
-0.1	1.224744871391589	3.467669128122832	100	0	0	38	0
-0.1	1.224744871391589	3.720015893203823	10000	0.19388885379120321	0.18263157894736842	38	1.8263157894736843e-6
-0.1	1.224744871391589	3.7378997743857276	1000	0.16358536211107888	0.1957894736842105	38	1.9578947368421052e-6
-0.1	1.224744871391589	3.8636470657963677	100	0.1052805639947364	0.08394736842105263	38	8.394736842105262e-7
-0.1	1.224744871391589	4.304842272283861	100	0	0	38	0
-0.1	1.224744871391589	4.365114212196933	1000	0	0	38	0
-0.1	1.224744871391589	4.5532439342286635	10000	0.1886215626150866	0.1405263157894737	38	1.405263157894737e-6
-0.1	1.224744871391589	4.796418170100732	100	0.068464670416981	0.04131578947368421	38	4.1315789473684207e-7
