s	width	allele counts	se_f	f	n	f_per_kb
-0.1	0.0	1	0	0	14	0
-0.1	0.0	1.106338589938541	11.7057008981301	330.23214285714283	14	0.0033023214285714283
-0.1	0.0	1.3541419226309606	0	0	14	0
-0.1	0.0	1.6574495035272516	0	0	14	0
-0.1	0.0	2.0286934558567684	6.128735102453356	122.62357142857142	14	0.0012262357142857143
-0.1	0.0	2.4830905129101035	0	0	14	0
-0.1	0.0	3.0392657291341303	3.2120289880043456	46.739285714285714	14	4.6739285714285714e-4
-0.1	0.0	3.720015893203823	1.4930640006008153	19.40357142857143	14	1.940357142857143e-4
-0.1	0.0	4.5532439342286635	0.8951704976037915	8.569285714285714	14	8.569285714285714e-5
-0.1	0.0	5.573102621003827	0.6501263613439203	3.992142857142857	14	3.992142857142857e-5
-0.1	0.0	6.821394432824586	0.32953180239729335	1.9728571428571429	14	1.9728571428571427e-5
-0.1	0.0	8.349284980470902	0.1874393674859059	0.7278571428571429	14	7.278571428571429e-6
-0.1	0.0	10.21940020792074	0.09163052900727926	0.18	14	1.8e-6
-0.1	0.0	12.508393335947712	0.05471830961016072	0.05964285714285714	14	5.964285714285715e-7
-0.1	0.0	15.310086762774377	0.04382295939860487	0.02023809523809524	14	2.0238095238095238e-7
-0.1	0.0	18.739317703580973	0.009273025988802738	0.0032142857142857147	14	3.2142857142857145e-8
-0.1	0.0	22.936645195870106	5.345224838248488e-4	1.4285714285714287e-4	14	1.4285714285714286e-9
-0.1	0.0	28.074111403783828	0	0	14	0
-0.1	0.0	34.362293368603815	0	0	14	0
-0.1	0.0	42.058934246120046	0	0	14	0
-0.1	0.0	51.479507812354285	0	0	14	0
-0.1	0.0	63.0101492608963	0	0	14	0
-0.1	0.0	77.12348230585881	0	0	14	0
-0.1	0.0	94.39799131968466	0	0	14	0
-0.1	0.0	115.54173254070393	0	0	14	0
-0.1	0.0	141.4213562373095	0	0	14	0
-0.1	0.0	173.0976294037676	0	0	14	0
-0.1	0.0	211.86891500973533	0	0	14	0
-0.1	0.0	259.3243899527689	0	0	14	0
-0.1	0.0	317.409183037944	0	0	14	0
-0.1	0.0	388.50410289276914	0	0	14	0
-0.1	0.0	475.5232237451433	0	0	14	0
-0.1	0.0	582.0333289591675	0	0	14	0
-0.1	0.0	712.4001081403561	0	0	14	0
-0.1	0.0	871.9671002105022	0	0	14	0
-0.1	0.0	1067.2747170607029	0	0	14	0
-0.1	0.0	1306.3283252338515	0	0	14	0
-0.1	0.0	1598.9263739030541	0	0	14	0
-0.1	0.0	1957.062018620097	0	0	14	0
-0.1	0.0	2395.4147027895547	0	0	14	0
-0.1	0.0	2931.9518460565623	0	0	14	0
-0.1	0.0	3588.6653019135715	0	0	14	0
-0.1	0.0	4392.472770819839	0	0	14	0
-0.1	0.0	5376.321116406638	0	0	14	0
-0.1	0.0	6580.536808046029	0	0	14	0
-0.1	0.0	8054.478842400569	0	0	14	0
-0.1	0.0	9858.561894731161	0	0	14	0
-0.1	0.0	12066.732625903607	0	0	14	0
-0.1	0.0	14769.500645207127	0	0	14	0
-0.1	0.0	18077.64836360904	0	0	14	0
-0.1	1.224744871391589	1	0	0	14	0
-0.1	1.224744871391589	1.106338589938541	11.599938802415313	329.4157142857143	14	0.0032941571428571426
-0.1	1.224744871391589	1.3541419226309606	0	0	14	0
-0.1	1.224744871391589	1.6574495035272516	0	0	14	0
-0.1	1.224744871391589	2.0286934558567684	6.148779562635997	123.28142857142856	14	0.0012328142857142856
-0.1	1.224744871391589	2.4830905129101035	0	0	14	0
-0.1	1.224744871391589	3.0392657291341303	3.149731891607759	46.824285714285715	14	4.6824285714285713e-4
-0.1	1.224744871391589	3.720015893203823	1.48298407214702	19.464285714285715	14	1.9464285714285715e-4
-0.1	1.224744871391589	4.5532439342286635	0.9505906203369185	8.619285714285715	14	8.619285714285714e-5
-0.1	1.224744871391589	5.573102621003827	0.5065749025249197	4.082142857142857	14	4.082142857142857e-5
-0.1	1.224744871391589	6.821394432824586	0.42792176033363033	1.9635714285714285	14	1.9635714285714283e-5
-0.1	1.224744871391589	8.349284980470902	0.15504917688510073	0.7003571428571428	14	7.003571428571428e-6
-0.1	1.224744871391589	10.21940020792074	0.08415791671052074	0.16464285714285715	14	1.6464285714285714e-6
-0.1	1.224744871391589	12.508393335947712	0.0550873432343164	0.055	14	5.499999999999999e-7
-0.1	1.224744871391589	15.310086762774377	0.0354699824939294	0.016666666666666666	14	1.6666666666666665e-7
-0.1	1.224744871391589	18.739317703580973	0.011211013031248033	0.003928571428571429	14	3.9285714285714285e-8
-0.1	1.224744871391589	22.936645195870106	0.0021380899352993954	5.714285714285715e-4	14	5.714285714285714e-9
-0.1	1.224744871391589	28.074111403783828	0	0	14	0
-0.1	1.224744871391589	34.362293368603815	0	0	14	0
-0.1	1.224744871391589	42.058934246120046	0	0	14	0
-0.1	1.224744871391589	51.479507812354285	0	0	14	0
-0.1	1.224744871391589	63.0101492608963	0	0	14	0
-0.1	1.224744871391589	77.12348230585881	0	0	14	0
-0.1	1.224744871391589	94.39799131968466	0	0	14	0
-0.1	1.224744871391589	115.54173254070393	0	0	14	0
-0.1	1.224744871391589	141.4213562373095	0	0	14	0
-0.1	1.224744871391589	173.0976294037676	0	0	14	0
-0.1	1.224744871391589	211.86891500973533	0	0	14	0
-0.1	1.224744871391589	259.3243899527689	0	0	14	0
-0.1	1.224744871391589	317.409183037944	0	0	14	0
-0.1	1.224744871391589	388.50410289276914	0	0	14	0
-0.1	1.224744871391589	475.5232237451433	0	0	14	0
-0.1	1.224744871391589	582.0333289591675	0	0	14	0
-0.1	1.224744871391589	712.4001081403561	0	0	14	0
-0.1	1.224744871391589	871.9671002105022	0	0	14	0
-0.1	1.224744871391589	1067.2747170607029	0	0	14	0
-0.1	1.224744871391589	1306.3283252338515	0	0	14	0
-0.1	1.224744871391589	1598.9263739030541	0	0	14	0
-0.1	1.224744871391589	1957.062018620097	0	0	14	0
-0.1	1.224744871391589	2395.4147027895547	0	0	14	0
-0.1	1.224744871391589	2931.9518460565623	0	0	14	0
-0.1	1.224744871391589	3588.6653019135715	0	0	14	0
-0.1	1.224744871391589	4392.472770819839	0	0	14	0
-0.1	1.224744871391589	5376.321116406638	0	0	14	0
-0.1	1.224744871391589	6580.536808046029	0	0	14	0
-0.1	1.224744871391589	8054.478842400569	0	0	14	0
-0.1	1.224744871391589	9858.561894731161	0	0	14	0
-0.1	1.224744871391589	12066.732625903607	0	0	14	0
-0.1	1.224744871391589	14769.500645207127	0	0	14	0
-0.1	1.224744871391589	18077.64836360904	0	0	14	0
-0.1	11.022703842524301	1	0	0	14	0
-0.1	11.022703842524301	1.106338589938541	11.497721131110774	329.96285714285716	14	0.0032996285714285718
-0.1	11.022703842524301	1.3541419226309606	0	0	14	0
-0.1	11.022703842524301	1.6574495035272516	0	0	14	0
-0.1	11.022703842524301	2.0286934558567684	5.626038365698165	123.2	14	0.001232
-0.1	11.022703842524301	2.4830905129101035	0	0	14	0
-0.1	11.022703842524301	3.0392657291341303	2.909385815627729	46.60785714285714	14	4.6607857142857143e-4
-0.1	11.022703842524301	3.720015893203823	1.5226655704915775	19.53214285714286	14	1.953214285714286e-4
-0.1	11.022703842524301	4.5532439342286635	0.8508612314383793	8.615714285714287	14	8.615714285714286e-5
-0.1	11.022703842524301	5.573102621003827	0.6077412694144199	3.9957142857142856	14	3.995714285714286e-5
-0.1	11.022703842524301	6.821394432824586	0.41722263274506727	1.8885714285714286	14	1.8885714285714285e-5
-0.1	11.022703842524301	8.349284980470902	0.17173004626799815	0.7071428571428572	14	7.0714285714285726e-6
