s	width	allele counts	se_f	f	n	f_per_kb
-0.2	0.0	1	0	0	20	0
-0.2	0.0	1.106338589938541	0.9498232522560793	6.092	20	6.091999999999999e-5
-0.2	0.0	1.3541419226309606	0	0	20	0
-0.2	0.0	1.6574495035272516	0	0	20	0
-0.2	0.0	2.0286934558567684	1.1518172141172585	8.5925	20	8.5925e-5
-0.2	0.0	2.4830905129101035	0	0	20	0
-0.2	0.0	3.0392657291341303	1.129885299255497	8.3225	20	8.322499999999999e-5
-0.2	0.0	3.720015893203823	0.7351367577747551	6.3645	20	6.3645e-5
-0.2	0.0	4.5532439342286635	0.534111165247559	4.143	20	4.143e-5
-0.2	0.0	5.573102621003827	0.4331801011126896	2.5065	20	2.5065e-5
-0.2	0.0	6.821394432824586	0.3669733964256954	1.522	20	1.522e-5
-0.2	0.0	8.349284980470902	0.2482171958503066	0.76725	20	7.6725e-6
-0.2	0.0	10.21940020792074	0.1296399365855088	0.32475	20	3.2475e-6
-0.2	0.0	12.508393335947712	0.08153300913708121	0.1515	20	1.5150000000000001e-6
-0.2	0.0	15.310086762774377	0.04702711672644135	0.06416666666666666	20	6.416666666666666e-7
-0.2	0.0	18.739317703580973	0.0177815694056041	0.017	20	1.7000000000000001e-7
-0.2	0.0	22.936645195870106	0.005562089724668522	0.0029	20	2.8999999999999998e-8
-0.2	0.0	28.074111403783828	0	0	20	0
-0.2	0.0	34.362293368603815	0	0	20	0
-0.2	0.0	42.058934246120046	0	0	20	0
-0.2	0.0	51.479507812354285	0	0	20	0
-0.2	0.0	63.0101492608963	0	0	20	0
-0.2	0.0	77.12348230585881	0	0	20	0
-0.2	0.0	94.39799131968466	0	0	20	0
-0.2	0.0	115.54173254070393	0	0	20	0
-0.2	0.0	141.4213562373095	0	0	20	0
-0.2	0.0	173.0976294037676	0	0	20	0
-0.2	0.0	211.86891500973533	0	0	20	0
-0.2	0.0	259.3243899527689	0	0	20	0
-0.2	0.0	317.409183037944	0	0	20	0
-0.2	0.0	388.50410289276914	0	0	20	0
-0.2	0.0	475.5232237451433	0	0	20	0
-0.2	0.0	582.0333289591675	0	0	20	0
-0.2	0.0	712.4001081403561	0	0	20	0
-0.2	0.0	871.9671002105022	0	0	20	0
-0.2	0.0	1067.2747170607029	0	0	20	0
-0.2	0.0	1306.3283252338515	0	0	20	0
-0.2	0.0	1598.9263739030541	0	0	20	0
-0.2	0.0	1957.062018620097	0	0	20	0
-0.2	0.0	2395.4147027895547	0	0	20	0
-0.2	0.0	2931.9518460565623	0	0	20	0
-0.2	0.0	3588.6653019135715	0	0	20	0
-0.2	0.0	4392.472770819839	0	0	20	0
-0.2	0.0	5376.321116406638	0	0	20	0
-0.2	0.0	6580.536808046029	0	0	20	0
-0.2	0.0	8054.478842400569	0	0	20	0
-0.2	0.0	9858.561894731161	0	0	20	0
-0.2	0.0	12066.732625903607	0	0	20	0
-0.2	0.0	14769.500645207127	0	0	20	0
-0.2	0.0	18077.64836360904	0	0	20	0
-0.2	1.224744871391589	1	0	0	20	0
-0.2	1.224744871391589	1.106338589938541	0.3465844622508115	0.4205	20	4.2049999999999996e-06
-0.2	1.224744871391589	1.3541419226309606	0	0	20	0
-0.2	1.224744871391589	1.6574495035272516	0	0	20	0
-0.2	1.224744871391589	2.0286934558567684	0.17315265549584608	0.2265	20	2.265e-6
-0.2	1.224744871391589	2.4830905129101035	0	0	20	0
-0.2	1.224744871391589	3.0392657291341303	0.17655996446712255	0.1905	20	1.905e-6
-0.2	1.224744871391589	3.720015893203823	0.14725559590832463	0.15	20	1.5e-6
-0.2	1.224744871391589	4.5532439342286635	0.1312290083463978	0.12	20	1.2e-6
-0.2	1.224744871391589	5.573102621003827	0.09705532876717932	0.0925	20	9.25e-7
-0.2	1.224744871391589	6.821394432824586	0.08368330022676032	0.0715	20	7.149999999999999e-7
-0.2	1.224744871391589	8.349284980470902	0.05073862330352334	0.03925	20	3.925e-7
-0.2	1.224744871391589	10.21940020792074	0.05080665103580125	0.025500000000000002	20	2.55e-7
-0.2	1.224744871391589	12.508393335947712	0.03357924641015168	0.01475	20	1.475e-7
-0.2	1.224744871391589	15.310086762774377	0.03026732745240503	0.011166666666666667	20	1.1166666666666667e-7
-0.2	1.224744871391589	18.739317703580973	0.016809204088988363	0.005125	20	5.1250000000000006e-8
-0.2	1.224744871391589	22.936645195870106	0.0027739388677664226	0.0013000000000000002	20	1.3000000000000002e-8
-0.2	1.224744871391589	28.074111403783828	0.012489761889114765	0.004166666666666667	20	4.166666666666666e-8
-0.2	1.224744871391589	34.362293368603815	0.022941573387056196	0.011428571428571434	20	1.1428571428571434e-7
-0.2	1.224744871391589	42.058934246120046	0.021326873336609597	0.0145	20	1.4500000000000001e-7
-0.2	1.224744871391589	51.479507812354285	0.019293031193453738	0.015700000000000002	20	1.5700000000000002e-7
-0.2	1.224744871391589	63.0101492608963	0.017081472567559878	0.011961538461538468	20	1.1961538461538468e-7
-0.2	1.224744871391589	77.12348230585881	0.00886780425486668	0.0044062500000000004	20	4.40625e-8
-0.2	1.224744871391589	94.39799131968466	0.010208891264694323	0.004289473684210528	20	4.2894736842105277e-8
-0.2	1.224744871391589	115.54173254070393	0.009365796148686791	0.006021739130434782	20	6.021739130434782e-8
-0.2	1.224744871391589	141.4213562373095	0.012426087882105958	0.005724137931034482	20	5.724137931034482e-8
-0.2	1.224744871391589	173.0976294037676	6.507039895853557e-4	2.4285714285714286e-4	20	2.428571428571429e-9
-0.2	1.224744871391589	211.86891500973533	0.005251956427120635	0.001697674418604653	20	1.697674418604653e-8
-0.2	1.224744871391589	259.3243899527689	0.0015802460790989578	4.903846153846154e-4	20	4.903846153846154e-9
-0.2	1.224744871391589	317.409183037944	0	0	20	0
-0.2	1.224744871391589	388.50410289276914	0	0	20	0
-0.2	1.224744871391589	475.5232237451433	0	0	20	0
-0.2	1.224744871391589	582.0333289591675	0	0	20	0
-0.2	1.224744871391589	712.4001081403561	0	0	20	0
-0.2	1.224744871391589	871.9671002105022	0	0	20	0
-0.2	1.224744871391589	1067.2747170607029	0	0	20	0
-0.2	1.224744871391589	1306.3283252338515	0	0	20	0
-0.2	1.224744871391589	1598.9263739030541	0	0	20	0
-0.2	1.224744871391589	1957.062018620097	0	0	20	0
-0.2	1.224744871391589	2395.4147027895547	0	0	20	0
-0.2	1.224744871391589	2931.9518460565623	0	0	20	0
-0.2	1.224744871391589	3588.6653019135715	0	0	20	0
-0.2	1.224744871391589	4392.472770819839	0	0	20	0
-0.2	1.224744871391589	5376.321116406638	0	0	20	0
-0.2	1.224744871391589	6580.536808046029	0	0	20	0
-0.2	1.224744871391589	8054.478842400569	0	0	20	0
-0.2	1.224744871391589	9858.561894731161	0	0	20	0
-0.2	1.224744871391589	12066.732625903607	0	0	20	0
-0.2	1.224744871391589	14769.500645207127	0	0	20	0
-0.2	1.224744871391589	18077.64836360904	0	0	20	0
-0.2	11.022703842524301	1	0	0	20	0
-0.2	11.022703842524301	1.106338589938541	1.3403309685533487	7.7135	20	7.7135e-5
-0.2	11.022703842524301	1.3541419226309606	0	0	20	0
-0.2	11.022703842524301	1.6574495035272516	0	0	20	0
-0.2	11.022703842524301	2.0286934558567684	0.8177987141357616	5.935	20	5.935e-5
-0.2	11.022703842524301	2.4830905129101035	0	0	20	0
-0.2	11.022703842524301	3.0392657291341303	0.6538380613931218	4.4190000000000005	20	4.419000000000001e-5
-0.2	11.022703842524301	3.720015893203823	0.44815528323867476	3.477	20	3.477e-5
-0.2	11.022703842524301	4.5532439342286635	0.6285279376615271	2.835	20	2.8349999999999998e-5
-0.2	11.022703842524301	5.573102621003827	0.4983720867405249	2.188	20	2.188e-5
-0.2	11.022703842524301	6.821394432824586	0.5025123721964727	1.7815	20	1.7815e-5
-0.2	11.022703842524301	8.349284980470902	0.34702978410020024	1.15425	20	1.15425e-5
-0.2	11.022703842524301	10.21940020792074	0.2352188230921201	0.586	20	5.86e-6
-0.2	11.022703842524301	12.508393335947712	0.145322689937003	0.3065	20	3.065e-6
-0.2	11.022703842524301	15.310086762774377	0.1196701118597063	0.15866666666666665	20	1.5866666666666666e-6
-0.2	11.022703842524301	18.739317703580973	0.05981110616810754	0.0745	20	7.45e-7
-0.2	11.022703842524301	22.936645195870106	0.03250441265590354	0.028300000000000002	20	2.83e-7
-0.2	11.022703842524301	28.074111403783828	0.019874606914351795	0.008166666666666668	20	8.166666666666668e-8
-0.2	11.022703842524301	34.362293368603815	0.004576008044579919	0.001357142857142857	20	1.3571428571428568e-8
-0.2	11.022703842524301	42.058934246120046	5.590169943749475e-4	1.25e-4	20	1.25e-9
-0.2	11.022703842524301	51.479507812354285	0	0	20	0
-0.2	11.022703842524301	63.0101492608963	0	0	20	0
-0.2	11.022703842524301	77.12348230585881	0	0	20	0
-0.2	11.022703842524301	94.39799131968466	0	0	20	0
-0.2	11.022703842524301	115.54173254070393	0	0	20	0
-0.2	11.022703842524301	141.4213562373095	0	0	20	0
-0.2	11.022703842524301	173.0976294037676	0	0	20	0
-0.2	11.022703842524301	211.86891500973533	0	0	20	0
-0.2	11.022703842524301	259.3243899527689	0	0	20	0
-0.2	11.022703842524301	317.409183037944	0	0	20	0
-0.2	11.022703842524301	388.50410289276914	0	0	20	0
-0.2	11.022703842524301	475.5232237451433	0	0	20	0
-0.2	11.022703842524301	582.0333289591675	0	0	20	0
-0.2	11.022703842524301	712.4001081403561	0	0	20	0
-0.2	11.022703842524301	871.9671002105022	0	0	20	0
-0.2	11.022703842524301	1067.2747170607029	0	0	20	0
-0.2	11.022703842524301	1306.3283252338515	0	0	20	0
-0.2	11.022703842524301	1598.9263739030541	0	0	20	0
-0.2	11.022703842524301	1957.062018620097	0	0	20	0
-0.2	11.022703842524301	2395.4147027895547	0	0	20	0
-0.2	11.022703842524301	2931.9518460565623	0	0	20	0
-0.2	11.022703842524301	3588.6653019135715	0	0	20	0
-0.2	11.022703842524301	4392.472770819839	0	0	20	0
-0.2	11.022703842524301	5376.321116406638	0	0	20	0
