w,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.4897561593198209, 0.0]",,,,,,,
0.01,0,2,[0.25142334 0.48975616 1.        ],[1.],"[1.0, 0.4897561593198209, 0.251423336273295]",,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.4897561593198209, 0.2398610955917018]",2.0418324118451348,-2.0418324118451348,[1],,,0.0,[]
0.01,1,1,[-0.02360816  1.        ],[-0.51336432  1.        ],"[1.0, 0.4897561593198209, 0.251423336273295]",1.9479343746654458,-1.8583544398603933,[1],,,0.04598714205679423,[0.04598714]
0.01,2,0,[1.],[-0.01156224 -0.48975616  1.        ],"[1.0, 0.4897561593198209, 0.251423336273295]",1.9518884359774453,-1.8695342981823764,[1],-44.31012788168459,1.8695342981823764,0.04041186370574645,[]
0.0109749876549305,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0109749876549305,0,1,[0.48235297 1.        ],[1.],"[1.0, 0.4823529723415525, 0.0]",,,,,,,
0.0109749876549305,0,2,[0.24397147 0.48235297 1.        ],[1.],"[1.0, 0.4823529723415525, 0.2439714748159314]",,,,,,,
0.0109749876549305,1,0,[1.],[-0.48235297  1.        ],"[1.0, 0.4823529723415525, 0.2326643899267305]",2.0731705977586543,-2.0731705977586543,[1],,,0.0,[]
0.0109749876549305,1,1,[-0.02344152  1.        ],[-0.50579449  1.        ],"[1.0, 0.4823529723415525, 0.24397147481593137]",1.9770875783960904,-1.8854576159212748,[1],,,0.04634592998108363,[0.04634593]
0.0109749876549305,2,0,[1.],[-0.01130708 -0.48235297  1.        ],"[1.0, 0.4823529723415525, 0.2439714748159314]",1.9811625310876184,-1.89697412795901,[1],-44.64051965701094,1.89697412795901,0.04068866756685291,[]
0.0120450354025878,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0120450354025878,0,1,[0.47494983 1.        ],[1.],"[1.0, 0.4749498263189358, 0.0]",,,,,,,
0.0120450354025878,0,2,[0.23665013 0.47494983 1.        ],[1.],"[1.0, 0.4749498263189358, 0.2366501307009136]",,,,,,,
0.0120450354025878,1,0,[1.],[-0.47494983  1.        ],"[1.0, 0.4749498263189358, 0.22557733752038728]",2.1054855578123433,-2.1054855578123433,[1],,,0.0,[]
0.0120450354025878,1,1,[-0.02331361  1.        ],[-0.49826343  1.        ],"[1.0, 0.4749498263189358, 0.2366501307009136]",2.00697047963685,-1.9130648943129762,[1],,,0.046789719269246854,[0.04678972]
0.0120450354025878,2,0,[1.],[-0.01107279 -0.47494983  1.        ],"[1.0, 0.4749498263189358, 0.2366501307009136]",2.01118515171175,-1.9249696836338719,[1],-44.90459231425395,1.9249696836338719,0.041030326845383956,[]
0.0132194114846602,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
0.0132194114846602,0,1,[0.46754682 1.        ],[1.],"[1.0, 0.4675468209432909, 0.0]",,,,,,,
