w,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.01,,,0_0,,,,0.4897561593198209,1.0,0
0.01,,,0_1,,,,0.251423336273295,1.0,1
0.01,-2.0418324118451348,2.0418324118451348,1_0,,,0.0,0.0115622406815932,0.0459871420567943,1
0.0109749876549305,,,0_0,,,,0.4823529723415525,1.0,0
0.0109749876549305,,,0_1,,,,0.2439714748159314,1.0,1
0.0109749876549305,-2.0731705977586543,2.0731705977586543,1_0,,,0.0,0.0113070848892009,0.0463459299810837,1
0.0120450354025878,,,0_0,,,,0.4749498263189358,1.0,0
0.0120450354025878,,,0_1,,,,0.2366501307009136,1.0,1
0.0120450354025878,-2.1054855578123437,2.1054855578123437,1_0,,,0.0,0.0110727931805263,0.0467897192692468,1
0.0132194114846602,,,0_0,,,,0.4675468209432909,1.0,0
0.0132194114846602,,,0_1,,,,0.22944194936392,1.0,1
0.0132194114846602,-2.13882322626527,2.13882322626527,1_0,,,0.0,0.0108419195897422,0.0472534321635569,1
0.0145082877849593,,,0_0,,,,0.460143845123951,1.0,0
0.0145082877849593,,,0_1,,,,0.222361965372879,1.0,1
0.0145082877849593,-2.173233458616893,2.173233458616893,1_0,,,0.0,0.0106296071674243,0.0478031715073195,1
0.0159228279334109,,,0_0,,,,0.4527409487660052,1.0,0
0.0159228279334109,,,0_1,,,,0.2154175443507776,1.0,1
0.0159228279334109,-2.2087686186230977,2.2087686186230977,1_0,,,0.0,0.010443177661235,0.0484787703467169,1
0.0174752840000768,,,0_0,,,,0.4453381214298439,1.0,0
0.0174752840000768,,,0_1,,,,0.2085845359486588,1.0,1
0.0174752840000768,-2.245484839225771,2.245484839225771,1_0,,,0.0,0.0102584935499963,0.0491814673764762,1
0.0191791026167248,,,0_0,,,,0.4379354492936189,1.0,0
0.0191791026167248,,,0_1,,,,0.2018899894536098,1.0,1
0.0191791026167248,-2.283441547408368,2.283441547408368,1_0,,,0.0,0.0101025317056059,0.0500397851966172,1
0.0210490414451202,,,0_0,,,,0.4305328806500256,1.0,0
0.0210490414451202,,,0_1,,,,0.195306589988238,1.0,1
0.0210490414451202,-2.322702968679613,2.322702968679613,1_0,,,0.0,0.0099480286674288,0.0509354480462124,1
0.0231012970008316,,,0_0,,,,0.4231304965701341,1.0,0
0.0231012970008316,,,0_1,,,,0.1888378208473384,1.0,1
0.0231012970008316,-2.363337098379648,2.363337098379648,1_0,,,0.0,0.0097984037196501,0.0518879304775045,1
0.0253536449397011,,,0_0,,,,0.4157282422447028,1.0,0
0.0253536449397011,,,0_1,,,,0.1824745218600782,1.0,1
0.0253536449397011,-2.4054175261236828,2.4054175261236828,1_0,,,0.0,0.0096445504602079,0.0528542306174852,1
0.0278255940220712,,,0_0,,,,0.4083262241139249,1.0,0
0.0278255940220712,,,0_1,,,,0.1762192299469532,1.0,1
0.0278255940220712,-2.449022230129886,2.449022230129886,1_0,,,0.0,0.0094889246478179,0.0538472710990418,1
0.0305385550883341,,,0_0,,,,0.4009244581067744,1.0,0
0.0305385550883341,,,0_1,,,,0.1700662397115664,1.0,1
0.0305385550883341,-2.4942354595230998,2.4942354595230998,1_0,,,0.0,0.0093258186033556,0.0548363897453859,1
0.0335160265093884,,,0_0,,,,0.3935229887085454,1.0,0
0.0335160265093884,,,0_1,,,,0.164017832347333,1.0,1
0.0335160265093884,-2.541147604316019,2.541147604316019,1_0,,,0.0,0.009157489705227,0.0558322810036572,1
0.0367837977182863,,,0_0,,,,0.3861218670640604,1.0,0
0.0367837977182863,,,0_1,,,,0.158074288018897,1.0,1
0.0367837977182863,-2.589855911564037,2.589855911564037,1_0,,,0.0,0.008984191793861,0.0568352507321562,1
0.0403701725859655,,,0_0,,,,0.3787211578652362,1.0,0
0.0403701725859655,,,0_1,,,,0.1522379956623566,1.0,1
0.0403701725859655,-2.640465100066681,2.640465100066681,1_0,,,0.0,0.0088082802475714,0.0578586193889928,1
0.0443062145758388,,,0_0,,,,0.3713209333158868,1.0,0
0.0443062145758388,,,0_1,,,,0.1465122971620654,1.0,1
0.0443062145758388,-2.693088135565169,2.693088135565169,1_0,,,0.0,0.0086330616434841,0.0589238023749954,1
0.0486260158006535,,,0_0,,,,0.3639212798579865,1.0,0
0.0486260158006535,,,0_1,,,,0.1408973224860366,1.0,1
0.0486260158006535,-2.74784700798544,2.74784700798544,1_0,,,0.0,0.0084586245525616,0.0600339623444578,1
0.0533669923120631,,,0_0,,,,0.3565222995831195,1.0,0
0.0533669923120631,,,0_1,,,,0.1353945393545126,1.0,1
0.0533669923120631,-2.804873639515108,2.804873639515108,1_0,,,0.0,0.008286389254477,0.0612017980487395,1
0.0585702081805666,,,0_0,,,,0.3491241126136038,1.0,0
0.0585702081805666,,,0_1,,,,0.1300036609698804,1.0,1
0.0585702081805666,-2.864310896528533,2.864310896528533,1_0,,,0.0,0.008116014961644,0.0624291262345636,1
0.0642807311728432,,,0_0,,,,0.3417268589482709,1.0,0
0.0642807311728432,,,0_1,,,,0.1247247442062948,1.0,1
0.0642807311728432,-2.9263137321944472,2.9263137321944472,1_0,,,0.0,0.0079474980796433,0.0637202996904785,1
0.0705480231071864,,,0_0,,,,0.3343307020481539,1.0,0
0.0705480231071864,,,0_1,,,,0.1195583926552116,1.0,1
0.0705480231071864,-2.9910504595416105,2.9910504595416105,1_0,,,0.0,0.0077813743232001,0.0650843002351198,1
0.0774263682681127,,,0_0,,,,0.326935833748163,1.0,0
0.0774263682681127,,,0_1,,,,0.1144959306893804,1.0,1
0.0774263682681127,-3.058704176093144,3.058704176093144,1_0,,,0.0,0.0076088913007739,0.0664555609527846,1
0.0849753435908644,,,0_0,,,,0.319542478422072,1.0,0
0.0849753435908644,,,0_1,,,,0.109545643794132,1.0,1
0.0849753435908644,-3.129474381428364,3.129474381428364,1_0,,,0.0,0.0074382482780116,0.0679009043206707,1
0.093260334688322,,,0_0,,,,0.3121508983638912,1.0,0
0.093260334688322,,,0_1,,,,0.1047055667191622,1.0,1
0.093260334688322,-3.2035787987201174,3.2035787987201174,1_0,,,0.0,0.0072673833697778,0.069407803209453,1
0.1023531021899026,,,0_0,,,,0.3047614005915244,1.0,0
0.1023531021899026,,,0_1,,,,0.0999745001575856,1.0,1
0.1023531021899026,-3.281255428210585,3.281255428210585,1_0,,,0.0,0.0070949888670779,0.0709679853952203,1
0.1123324032978027,,,0_0,,,,0.2973743427461334,1.0,0
0.1123324032978027,,,0_1,,,,0.0953546668154718,1.0,1
0.1123324032978027,-3.362764893451799,3.362764893451799,1_0,,,0.0,0.0069231670917769,0.0726043865810421,1
0.1232846739442066,,,0_0,,,,0.2899901420082654,1.0,0
0.1232846739442066,,,0_1,,,,0.0908463634301058,1.0,1
