w,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.01,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4897561593198209, 0.251423336273295]","[0.0, 0.4897561593198209, 0.251423336273295]",0.4897561593198209,1.0,,,,,,,
0.01,0,1,[0.48975616 1.        ],[1.],"[1.0, 0.4897561593198209, 0.0]","[1, 0.4897561593198209, 0.251423336273295]","[0.0, 0.0, 0.251423336273295]",0.251423336273295,1.0,,,,,,,
0.01,1,0,[1.],[-0.48975616  1.        ],"[1.0, 0.4897561593198209, 0.2398610955917018]","[1, 0.4897561593198209, 0.251423336273295]","[0.0, 0.0, 0.0115622406815932]",0.0115622406815932,0.045987142056794376,2.0418324118451348,-2.0418324118451348,[1],,,0.0,[]
0.0109749876549305,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4823529723415525, 0.2439714748159314]","[0.0, 0.4823529723415525, 0.2439714748159314]",0.4823529723415525,1.0,,,,,,,
0.0109749876549305,0,1,[0.48235297 1.        ],[1.],"[1.0, 0.4823529723415525, 0.0]","[1, 0.4823529723415525, 0.2439714748159314]","[0.0, 0.0, 0.2439714748159314]",0.2439714748159314,1.0,,,,,,,
0.0109749876549305,1,0,[1.],[-0.48235297  1.        ],"[1.0, 0.4823529723415525, 0.2326643899267305]","[1, 0.4823529723415525, 0.2439714748159314]","[0.0, 0.0, 0.011307084889200902]",0.011307084889200902,0.046345929981083785,2.0731705977586543,-2.0731705977586543,[1],,,0.0,[]
0.0120450354025878,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4749498263189358, 0.2366501307009136]","[0.0, 0.4749498263189358, 0.2366501307009136]",0.4749498263189358,1.0,,,,,,,
0.0120450354025878,0,1,[0.47494983 1.        ],[1.],"[1.0, 0.4749498263189358, 0.0]","[1, 0.4749498263189358, 0.2366501307009136]","[0.0, 0.0, 0.2366501307009136]",0.2366501307009136,1.0,,,,,,,
0.0120450354025878,1,0,[1.],[-0.47494983  1.        ],"[1.0, 0.4749498263189358, 0.22557733752038728]","[1, 0.4749498263189358, 0.2366501307009136]","[0.0, 0.0, 0.011072793180526314]",0.011072793180526314,0.04678971926924681,2.1054855578123433,-2.1054855578123433,[1],,,0.0,[]
0.0132194114846602,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.4675468209432909, 0.22944194936392]","[0.0, 0.4675468209432909, 0.22944194936392]",0.4675468209432909,1.0,,,,,,,
0.0132194114846602,0,1,[0.46754682 1.        ],[1.],"[1.0, 0.4675468209432909, 0.0]","[1, 0.4675468209432909, 0.22944194936392]","[0.0, 0.0, 0.22944194936392]",0.22944194936392,1.0,,,,,,,
